"";"banalfreq";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"paranormal";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;0,7799;-0,0413;-0,196;-0,1088;-0,0451;-0,2852;0,5384;0,8348;-0,0782;0,5384;-0,0959;0,6628;-0,1246;0,7282;-0,3709;-0,1255;0,4161;-0,6137;-0,5161
"carrière";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;1,6174;1,0059;0,8879;-0,1484;0,8348;-0,0782;1,3722;-0,0959;-0,1064;-0,1246;-0,361;-0,3709;0,6004;-0,609;-0,6137;-0,5161
"46";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;0,6531;1,9813;-0,4312;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,5054;0,9954;0,478;-0,3602;-0,8592;1,2016
"région";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;-0,1088;-0,0451;0,8879;-0,1484;0,2942;0,7831;-0,1484;-0,0959;0,6628;1,5093;-0,361;-0,3709;-0,1255;-0,2101;-0,6137;0,5076
"moins";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;0,4074;0,6182;-0,0496;-0,3137;0,504;-0,3388;-0,086;-0,1633;0,6661;-0,1171;0,5675;0,2224;-0,408;-0,138;-0,2457;0,3607;0,4512
"persuader";25;1,2381;-0,0104;-0,0545;-0,0404;-0,0741;-0,0343;0,6326;1,6767;-0,0411;1,1316;-0,1033;1,6418;-0,2721;0,6407;0,3208;0,2407;-0,317;0,4407;0,2407;0,3722;-0,2661;0,8047;0,2192;-0,9274;0,8001;-1,5228;-0,4658;-1,2905
"chercher";28;1,1904;-0,0117;-0,0611;-0,0453;-0,083;-0,0384;0,59;-0,0103;-0,0461;-0,2208;-0,1157;0,4533;-0,3047;0,5979;1,0048;0,6162;0,2364;-0,219;0,2104;0,9056;-0,2981;0,2578;-0,476;0,7154;0,2559;-0,308;-0,9983;-0,7889
"arrêter";12;-0,0124;-0,005;1,233;-0,0194;-0,0356;-0,0164;0,9225;-0,0044;-0,0197;-0,0946;-0,0496;0,3786;-0,1306;-0,0541;0,7573;0,4731;0,7069;-0,0938;1,2251;-0,1151;-0,1277;1,3592;-0,4332;-0,4451;-0,1506;-0,7309;-0,7364;-0,6194
"siècle";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;-0,0541;-0,3422;-0,1781;-0,3696;-0,0938;0,4731;-0,1151;-0,1277;-0,1496;0,6063;0,193;-0,1506;-0,7309;1,852;0,8434
"voir";57;0,8963;-0,0238;-0,1244;0,7182;0,4915;0,7834;0,343;-0,0211;-0,0938;-0,1388;0,3782;0,6139;0,7769;-0,2572;-0,2958;1,3737;-0,3503;-0,4459;0,2403;-0,547;1,9125;0,6609;-0,2848;0,2972;0,3138;-1,3089;-1,3261;-0,428
"légende";18;-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;-0,1419;1,9073;0,2547;-0,1959;-0,0812;-0,5134;-0,2672;0,9162;-0,1408;1,674;0,484;0,4477;-0,2244;-0,6499;-0,6677;-0,2259;-0,5269;0,3669;0,4843
"new";14;-0,0145;-0,0058;-0,0305;-0,0226;1,0402;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;0,6531;1,1046;0,201;-0,1095;-0,2078;-0,1343;0,5369;0,4803;-0,5054;-0,5193;-0,1757;0,249;-0,8592;1,2016
"arme";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;-0,1088;-0,0451;-0,2852;0,5384;-0,308;1,8854;-0,1484;0,7029;-0,1064;-0,1246;0,2483;0,2408;0,6004;0,4161;-0,6137;-0,1616
"quotidien";25;-0,0259;-0,0104;-0,0545;-0,0404;-0,0741;-0,0343;-0,1152;-0,0092;-0,0411;-0,1971;0,6744;-0,4902;-0,2721;-0,1128;-0,2821;-0,3711;0,2856;-0,1955;0,6892;0,9877;0,9138;0,2907;1,917;-0,4182;0,2887;0,6533;-1,5344;-0,6719
"géant";19;-0,0197;-0,0079;1,0409;-0,0307;-0,0563;-0,026;-0,0876;-0,007;-0,0313;-0,1498;-0,0785;-0,3725;1,9627;0,7469;-0,5419;-0,282;0,8631;-0,1486;-0,282;-0,1823;-0,2022;-0,2368;-0,2632;-0,2743;-0,2384;0,6363;-0,2726;0,4437
"créer";24;-0,0248;-0,01;-0,0523;-0,0388;-0,0712;-0,0329;-0,1106;-0,0089;-0,0395;-0,1892;-0,0992;-0,4705;0,9276;-0,1083;-0,2647;0,7162;0,3045;1,1687;0,7162;0,3856;0,9433;1,532;-0,8665;-0,8903;0,3009;-0,4255;-0,4314;-0,3132
"don";10;-0,0103;-0,0042;1,31;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;0,6543;1,0059;-0,2852;-0,1484;1,5733;0,7831;0,5384;-0,0959;-0,1064;-0,1246;-0,361;0,2408;-0,1255;-0,609;-0,6137;-0,5161
"05";18;-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;0,44;-0,0812;-0,1666;0,3377;-0,5544;-0,1408;-0,2672;-0,1727;-0,1916;-0,2244;1,3002;1,2655;-0,2259;0,3717;-1,1047;0,8705
"09";20;-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;-0,0922;-0,0074;-0,0329;-0,1577;-0,0826;-0,3921;-0,2177;-0,0902;0,4365;1,5503;-0,616;-0,1564;-0,2969;-0,1919;-0,2129;-0,2493;0,6762;-0,2973;0,3576;0,5831;-1,2275;1,7195
"confronter";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;1,1597;0,6543;-0,0451;-0,2852;0,5384;0,2942;-0,0782;-0,1484;1,7189;-0,1064;0,603;0,7282;-0,3709;-0,1255;-0,609;-0,6137;-0,5161
"scientifique";38;-0,0393;-0,0159;-0,0829;-0,0615;-0,1127;-0,0521;-0,1751;-0,014;-0,0625;-0,2996;-0,157;-0,3049;-0,4136;0,4865;-0,2501;1,4213;-0,2901;0,3048;-0,1983;-0,3646;1,1947;-0,4737;1,1051;-0,2065;1,0302;-0,9594;-0,9712;0,8972
"mystérieux";29;-0,03;-0,0121;-0,0633;-0,0469;0,7455;-0,0397;-0,1336;-0,0107;-0,0477;-0,2287;-0,1198;0,8715;-0,3156;-0,1308;-0,8272;0,2014;0,8744;0,3906;0,5942;0,8806;0,2935;-0,3615;-1,0471;-0,5211;-0,3639;0,4844;-1,0473;1,4258
"accompagner";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;0,8323;-0,0055;-0,0247;1,5366;-0,062;1,5811;0,504;-0,0677;-0,4278;-0,2226;-0,462;1,543;0,3968;-0,1439;0,512;-0,187;-0,1797;-0,1876;0,4538;-0,4006;-0,9206;-0,7743
"équipe";28;-0,029;-0,0117;-0,0611;-0,0453;0,7593;1,0728;-0,129;-0,0103;-0,0461;0,3996;-0,1157;-0,549;-0,3047;0,5979;0,582;0,6162;0,2364;-0,219;-0,4156;0,9056;0,304;0,7276;-0,476;-0,495;-0,3514;-0,308;-0,5735;0,7016
"mal";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;1,3959;-0,0599;-0,0048;-0,0214;-0,1025;0,9344;-0,2549;1,3998;-0,0586;1,3431;0,4452;0,2202;-0,1017;0,4452;0,6027;0,5641;-0,162;-0,4693;-0,4822;-0,1631;-0,7918;-0,7978;-0,2493
"avant";23;-0,0238;-0,0096;-0,0502;1,0857;-0,0682;-0,0315;1,6144;-0,0085;-0,0378;-0,1813;1,7024;-0,1366;0,3585;-0,1038;1,877;-0,3414;-0,2785;-0,1799;0,2641;-0,2207;0,3656;0,3159;0,9743;-0,8532;0,8584;-0,7513;-1,4116;-1,1873
"10";20;-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;-0,0922;-0,0074;-0,0329;-0,1577;-0,0826;0,2258;-0,2177;-0,0902;0,884;1,5503;-0,616;0,5193;-0,2969;-0,1919;-0,2129;-0,2493;0,3174;-0,2973;1,7376;0,9565;-1,2275;-0,4853
"16";19;-0,0197;-0,0079;-0,0414;-0,0307;-0,0563;-0,026;-0,0876;-0,007;-0,0313;-0,1498;-0,0785;-0,3725;-0,2068;-0,0857;0,4654;0,3209;-0,5852;-0,1486;-0,282;-0,1823;-0,2022;1,0017;-0,686;1,1909;0,9968;0,6363;-1,1661;0,8058
"spectacle";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;0,3786;-0,1306;-0,0541;0,2634;0,4731;0,2418;0,7114;1,2251;-0,1151;-0,1277;-0,1496;0,6063;-0,4451;0,5331;-0,2827;-0,7364;-0,2189
"étranger";11;-0,0114;1,978;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;1,0851;-0,1197;-0,0496;-0,3137;-0,1633;-0,3388;-0,086;0,504;-0,1055;-0,1171;0,5675;0,2224;-0,408;-0,138;1,3454;-0,6751;-0,1897
"4";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;0,3527;-0,1415;-0,0586;0,7025;-0,193;1,2626;-0,1017;-0,193;0,6027;-0,1384;-0,162;1,7934;-0,4822;-0,1631;-0,7918;-0,7978;0,3598
"mot";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;0,9042;0,9038;0,5289;0,8686;0,221;0,4199;0,201;-0,1095;-0,2078;1,4381;-0,149;-0,1745;-0,1603;-0,1674;-0,1757;0,249;-0,8592;-0,7226
"important";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;0,9038;-0,1524;-0,0632;0,221;0,4199;0,201;-0,1095;0,4199;-0,1343;-0,149;0,4803;-0,5054;-0,5193;-0,1757;0,249;-0,8592;1,83
"révéler";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;0,7662;-0,185;-0,0767;-0,1516;-0,2523;-0,5236;-0,133;-0,2523;0,5043;0,4676;-0,2119;-0,6138;-0,2299;-0,2133;1,7671;-1,0433;1,4633
"28";23;-0,0238;-0,0096;-0,0502;-0,0372;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;-0,1813;-0,095;-0,4509;-0,2503;-0,1038;1,2616;0,2641;-0,7084;-0,1799;-0,3414;-0,2207;-0,2448;-0,2867;0,2537;0,2425;0,8584;0,7598;-1,4116;1,9717
"29";18;-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;-0,1959;-0,0812;1,6144;0,9167;-0,5544;-0,1408;-0,2672;-0,1727;-0,1916;-0,2244;-0,2415;-0,2518;1,8645;0,3717;-1,1047;0,8705
"donc";15;-0,0155;-0,0063;-0,0327;-0,0243;1,0117;-0,0206;-0,0691;-0,0055;-0,0247;0,6228;-0,062;0,854;-0,1632;-0,0677;-0,4278;0,3968;1,7893;-0,1173;1,052;0,5497;-0,1597;-0,187;-0,5415;-0,1876;-0,1882;-0,9136;-0,4051;-0,3129
"part";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;0,7824;-0,0063;-0,028;1,4345;0,8259;0,271;0,4598;-0,0767;-0,4849;-0,2523;0,4865;-0,133;0,3559;0,5043;1,2031;0,4133;-0,6138;-0,2299;0,411;-1,0354;-0,4894;-0,3798
"puissant";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;-0,0541;-0,3422;-0,1781;0,2418;0,7114;0,4731;-0,1151;-0,1277;1,3592;0,6063;0,193;-0,1506;0,3202;-0,7364;0,4024
"mener";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;0,7662;-0,185;0,7908;-0,4849;-0,2523;-0,1715;0,5789;1,7424;0,5043;0,4676;0,4133;-0,6138;-0,6306;1,0803;-0,484;-0,4894;0,2344
"puis";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;1,5366;-0,062;1,5811;-0,1632;-0,0677;0,6084;-0,2226;1,1048;-0,1173;0,3968;0,5497;-0,1597;-0,187;-0,1797;-0,1876;0,4538;-0,9136;-0,9206;-0,7743
"moment";20;-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;1,7298;-0,0074;-0,0329;0,5165;-0,0826;0,6573;-0,2177;-0,0902;0,4365;-0,2969;0,3958;-0,1564;0,8414;-0,1919;0,4117;0,3598;-0,2853;0,6538;-0,251;-1,2182;-1,2275;0,4068
"entre";40;-0,0414;-0,0167;-0,0873;0,8587;-0,1186;-0,0548;0,4611;-0,0148;-0,0658;0,2871;1,2589;1,0057;0,5844;0,4685;0,3265;-0,2152;-0,6365;0,7968;0,8229;-0,3838;-0,4259;0,5042;-0,7942;-0,234;-0,1649;0,5785;-1,0563;-0,7983
"ça";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;0,8323;-0,0055;-0,0247;0,6228;-0,062;-0,2941;0,504;-0,0677;0,203;1,8952;0,5618;-0,1173;-0,2226;-0,1439;0,512;-0,187;0,9501;-0,5564;-0,1882;-0,9136;-0,4051;-0,3129
"peu";23;-0,0238;-0,0096;-0,0502;1,0857;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;-0,1813;-0,095;0,5689;-0,2503;-0,1038;0,3621;-0,3414;1,1651;-0,1799;1,3911;0,3997;0,3656;0,3159;0,2537;-0,3687;-0,2886;-0,7513;-1,4116;0,5967
"depuis";50;-0,0517;-0,0209;-0,1091;-0,0809;-0,1483;-0,0685;-0,2305;-0,0185;-0,0823;-0,3943;1,9245;-0,2078;-0,1883;-0,2256;0,6769;0,2974;0,5918;0,2264;1,5873;-0,4798;0,9188;-0,6234;-1,0784;-1,8552;-0,6276;0,6978;-0,7115;0,993
"conseil";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;0,3527;-0,1415;-0,0586;0,7025;-0,193;-0,4004;-0,1017;0,4452;1,4988;0,5641;1,2947;-0,4693;-0,4822;-0,1631;-0,3209;-0,7978;0,7652
"armée";12;-0,0124;-0,005;-0,0262;-0,0194;1,1042;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;0,9671;0,3786;-0,1306;-0,0541;0,7573;-0,1781;-0,3696;-0,0938;-0,1781;0,6329;-0,1277;-0,1496;-0,4332;-0,4451;0,5331;1,8648;-0,7364;-0,6194
"ennemi";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;1,3959;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;-0,2549;0,5559;0,8986;-0,3708;1,1621;0,2202;1,6619;-0,193;-0,1247;-0,1384;0,5067;-0,4693;-0,4822;-0,1631;0,2821;0,2787;-0,671
"38";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;-0,2941;-0,1632;-0,0677;0,6084;-0,2226;-0,462;-0,1173;-0,2226;-0,1439;-0,1597;-0,187;-0,1797;-0,1876;0,4538;1,4315;-0,9206;1,6952
"33";22;-0,0228;-0,0092;-0,048;-0,0356;-0,0652;-0,0302;-0,1014;-0,0081;-0,0362;-0,1735;-0,0909;-0,4313;-0,2394;-0,0993;1,9606;1,4411;-0,6776;-0,1721;-0,3266;-0,2111;-0,2342;-0,2742;-0,3308;-0,8161;0,3275;1,2343;-1,3503;1,5193
"36";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;-0,2941;-0,1632;-0,0677;1,899;1,052;-0,462;-0,1173;-0,2226;-0,1439;-0,1597;-0,187;-0,5415;-0,1876;0,4538;0,9116;-0,9206;0,6342
"composer";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;0,6182;-0,0496;-0,3137;-0,1633;0,2663;0,7454;1,2947;1,638;-0,1171;0,5675;0,6633;0,2153;-0,138;-0,67;-0,6751;-0,5678
"train";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;-0,0599;-0,0048;-0,0214;-0,1025;-0,0537;0,3527;-0,1415;-0,0586;0,241;-0,193;1,2626;-0,1017;0,4452;-0,1247;-0,1384;-0,162;1,1008;-0,4822;-0,1631;-0,7918;-0,7978;1,3087
"eux";19;-0,0197;-0,0079;-0,0414;-0,0307;-0,0563;-0,026;0,7386;-0,007;-0,0313;-0,1498;-0,0785;0,691;-0,2068;-0,0857;-0,1821;0,3209;-0,2056;-0,1486;0,8778;0,465;-0,2022;-0,2368;0,3425;-0,7048;0,3742;0,336;0,3314;-0,4495
"image";33;-0,0341;-0,0138;-0,072;-0,0534;1,6732;-0,0452;-0,1521;-0,0122;-0,0543;-0,2602;0,5695;-0,2449;1,3225;1,3412;0,8096;-0,4899;0,4029;-0,2581;-0,1579;0,286;0,256;-0,4114;-0,6048;-0,3134;1,175;-0,4469;-1,2466;0,289
"tuer";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;1,4349;-0,185;0,7908;-0,1516;-0,2523;-0,1715;0,5789;0,9585;1,2822;0,4676;0,4133;-0,6138;-0,2299;-0,2133;-0,2131;-0,4894;-0,8775
"expliquer";19;-0,0197;1,7423;-0,0414;-0,0307;-0,0563;-0,026;0,7386;-0,007;-0,0313;-0,1498;-0,0785;-0,3725;1,1009;-0,0857;-0,1821;-0,282;-0,5852;-0,1486;0,3209;1,1951;-0,2022;0,3764;-0,686;-0,2743;0,9968;-0,2686;-0,5768;0,8058
"parvenir";16;-0,0165;-0,0067;-0,0349;1,2377;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;0,8083;-0,1741;1,9347;-0,137;-0,2375;0,5224;-0,1251;0,3755;-0,1535;-0,1703;-0,1994;-0,1998;-0,2085;0,4316;-0,1871;-0,19;-0,8259
"sembler";26;-0,0269;-0,0109;-0,0567;-0,0421;-0,0771;-0,0356;0,6178;-0,0096;-0,0428;0,4245;-0,1074;1,5843;-0,283;-0,1173;-0,2999;-0,3859;-0,3367;-0,2034;0,23;-0,2495;0,8857;0,2791;-0,4263;0,4445;0,2772;-0,4943;-0,2626;0,479
"concours";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;1,0029;-0,2156;-0,1197;-0,0496;0,8187;-0,1633;1,4572;-0,086;0,504;1,638;-0,1171;-0,1371;-0,3971;-0,408;0,565;-0,67;-0,6751;-0,1897
"parisien";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;0,7799;-0,0413;-0,196;-0,1088;-0,0451;0,8879;-0,1484;0,8348;-0,0782;1,3722;-0,0959;-0,1064;-0,1246;-0,361;0,2408;-0,1255;-0,2101;-0,6137;-0,1616
"48";19;-0,0197;-0,0079;-0,0414;-0,0307;-0,0563;-0,026;-0,0876;-0,007;-0,0313;-0,1498;-0,0785;-0,3725;-0,2068;-0,0857;1,5336;0,8778;-0,5852;-0,1486;-0,282;-0,1823;-0,2022;-0,2368;0,3425;1,1909;-0,2384;-0,2686;-1,1661;1,2707
"49";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;-0,0661;-0,3137;-0,1741;-0,0722;1,7961;1,0034;-0,4928;-0,1251;-0,2375;-0,1535;-0,1703;-0,1994;-0,1998;0,4188;-0,2008;-0,1871;-0,982;1,5736
"47";23;-0,0238;-0,0096;-0,0502;-0,0372;-0,0682;-0,0315;-0,106;-0,0085;-0,0378;-0,1813;-0,095;-0,4509;-0,2503;-0,1038;1,877;1,3911;-0,7084;-0,1799;-0,3414;-0,2207;-0,2448;-0,2867;0,2537;0,2425;0,3138;-0,1902;-1,4116;1,9717
"44";26;-0,0269;-0,0109;-0,0567;-0,0421;-0,0771;-0,0356;-0,1198;-0,0096;-0,0428;-0,205;-0,1074;-0,5098;-0,283;-0,1173;0,6438;0,23;-0,8008;-0,2034;0,23;-0,2495;-0,2768;-0,3241;1,8328;0,7978;1,434;0,6061;-1,5958;0,2444
"air";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;0,7799;-0,0413;1,1597;-0,1088;-0,0451;-0,2852;0,5384;1,5733;-0,0782;-0,1484;-0,0959;-0,1064;-0,1246;0,2483;-0,3709;-0,1255;0,4161;-0,6137;-0,5161
"philippe";18;-0,0186;-0,0075;1,0633;-0,0291;0,9368;-0,0247;-0,0829;-0,0067;-0,0296;0,5548;-0,0744;0,7272;-0,1959;-0,0812;0,4967;-0,2672;-0,1883;0,5577;-0,2672;-0,1727;0,4477;-0,2244;1,3002;0,3565;-0,2259;-0,2403;-1,1047;-0,9291
"changer";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;0,3081;-0,1632;-0,0677;1,899;0,3968;-0,462;-0,1173;0,3968;-0,1439;0,512;0,4562;-0,5415;-0,1876;-0,1882;-0,4006;0,5003;-0,3129
"pendant";27;-0,0279;-0,0113;-0,0589;-0,0437;-0,0801;-0,037;1,4842;-0,01;-0,0444;0,4118;-0,1116;-0,1777;0,8437;-0,1218;0,2848;0,6393;0,5517;1,0794;1,2157;0,3475;0,3151;1,3991;-0,9749;-0,4691;-0,3388;-1,6447;-0,5369;-0,7495
"actualité";33;-0,0341;-0,0138;-0,072;-0,0534;-0,0979;-0,0452;-0,1521;-0,0122;-0,0543;-0,2602;0,5695;-0,647;0,2498;-0,1489;0,4554;-0,4899;0,4029;-0,2581;-0,4899;-0,3166;0,7215;0,6209;0,3044;0,548;0,2114;1,2332;-1,2466;0,289
"mois";17;-0,0176;-0,0071;-0,0371;-0,0275;0,9602;-0,0233;-0,0783;-0,0063;-0,028;-0,134;0,8259;-0,3333;0,4598;-0,0767;1,7016;-0,2523;-0,1715;-0,133;0,9585;-0,1631;-0,181;0,4133;0,4001;-0,6306;-0,2133;0,4115;-1,0433;-0,3798
"laquelle";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;0,7083;0,9671;1,8539;-0,1306;-0,0541;-0,3422;-0,1781;0,7069;-0,0938;-0,1781;-0,1151;0,5938;-0,1496;-0,4332;0,193;-0,1506;-0,7309;-0,286;0,4024
"nouvelle";25;-0,0259;-0,0104;0,9281;-0,0404;-0,0741;-0,0343;-0,1152;-0,0092;-0,0411;0,4379;0,6744;0,5186;-0,2721;-0,1128;0,3208;-0,3711;1,5991;-0,1955;0,2407;-0,2399;-0,2661;1,4855;0,2192;-0,178;0,8001;-0,8447;-0,8536;-0,6719
"mettre";43;-0,0445;-0,018;0,7116;0,8297;-0,1275;-0,0589;1,9765;-0,0159;-0,0707;0,2661;-0,1777;1,3978;-0,4681;-0,194;0,868;0,3705;-0,3683;-0,3364;0,3705;1,8464;-0,1424;-0,1834;-1,5528;-1,5954;0,909;-0,7736;0,4736;-0,9014
"autre";28;-0,029;-0,0117;-0,0611;-0,0453;-0,083;1,0728;0,59;-0,0103;-0,0461;0,3996;-0,1157;1,4777;-0,3047;-0,1263;0,582;0,2104;0,9161;-0,219;0,2104;-0,2687;-0,2981;-0,349;-0,476;0,7154;0,2559;-0,308;-0,9983;-0,4218
"construire";17;-0,0176;-0,0071;-0,0371;1,2122;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;-0,0702;-0,3333;-0,185;-0,0767;-0,4849;0,3559;-0,5236;1,4408;-0,2523;0,5043;-0,181;-0,2119;-0,6138;-0,6306;-0,2133;-0,2131;1,2023;1,4633
"coeur";17;-0,0176;-0,0071;-0,0371;-0,0275;-0,0504;-0,0233;-0,0783;-0,0063;-0,028;-0,134;0,8259;-0,3333;-0,185;-0,0767;1,0483;0,9585;-0,1715;0,5789;0,3559;0,5043;0,4676;0,4133;0,4001;-0,6306;0,411;-0,2131;-1,0433;-0,8775
"photo";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;1,8539;-0,1306;0,9311;0,7573;0,4731;0,2418;-0,0938;-0,1781;-0,1151;-0,1277;0,5356;-0,4332;-0,4451;-0,1506;-0,7309;-0,7364;0,8434
"transformer";15;-0,0155;1,8442;-0,0327;1,2649;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;-0,2941;-0,1632;-0,0677;0,203;0,3968;-0,1392;1,543;1,052;-0,1439;-0,1597;-0,187;-0,5415;-0,5564;-0,1882;0,2201;-0,9206;1,1058
"proposer";23;-0,0238;-0,0096;-0,0502;-0,0372;0,8376;-0,0315;-0,106;-0,0085;-0,0378;1,1955;-0,095;1,1033;0,3585;-0,1038;0,752;-0,3414;1,1651;-0,1799;-0,3414;-0,2207;0,9743;-0,2867;0,2537;-0,3687;0,3138;-0,1902;-1,4116;-1,1873
"vérité";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;1,9645;0,6182;-0,0496;-0,3137;-0,1633;0,2663;-0,086;0,504;-0,1055;0,6265;-0,1371;-0,3971;0,2153;-0,138;-0,67;0,7745;-0,5678
"enfin";15;-0,0155;1,8442;-0,0327;-0,0243;-0,0445;-0,0206;0,8323;-0,0055;-0,0247;-0,1183;-0,062;-0,2941;-0,1632;0,8408;0,6084;0,3968;0,5618;-0,1173;0,3968;-0,1439;-0,1597;-0,187;-0,1797;0,4549;0,4538;-0,4006;-0,4051;-0,7743
