"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"pre";56,7;108,43;166,12;142,86;159,57;166,67;138,95;81,08;132,08;148,26;161,03;141,95;125;155,7;128,01;142,7;159,35;147,41;134,86;142,16;147,28;149,76;140,78;130,46;137,42;134,62;128,83;128,89
"ver_sup";41,24;24,1;1,64;11,2;6,08;25,93;14,2;0;12,58;5,49;5,83;12,4;15,57;8,77;9,96;6,4;6,22;17,93;16,58;15,25;16,21;6,74;11,87;4,3;6,95;10,64;14,49;11,14
"adj_dem";0;12,05;3,29;2,8;0;0;4,06;0;0;1,22;0;4,69;2,29;0;2,82;1,13;2,49;1,33;3,32;7,08;2,38;3,57;2,68;1,38;1,23;3,68;5,46;5,57
"ono";0;0;6,58;0;0;3,7;7,1;0;6,29;1,22;7;1,93;3,21;3,29;3,95;1,51;1,42;1,33;0,74;3,27;0,48;1,58;0,67;0;0;0,61;0,45;0,58
"pro_per";67,01;60,24;31,25;50,42;31,91;44,44;49,7;40,54;25,16;23,18;15,17;63,4;39,84;26,32;35,15;33,89;41,04;39,18;64,85;53,38;38,61;30,9;38,29;18,39;30,27;38,67;47,03;23,55
"num";0;0;1,64;0;22,8;7,41;0;0;0;31,12;42,01;8,27;13,28;3,29;68,42;68,15;16,7;2,66;7,37;4,9;3,34;21,79;22,74;29,22;49,08;37,03;1,45;59,16
"adv";5,15;0;1,64;11,2;3,04;7,41;9,13;0;6,29;1,83;4,67;4,13;8,24;2,19;4,14;6,78;9,06;3,32;5,9;4,9;3,34;4,36;4,18;1,89;4,5;2,05;1,23;2,78
"ver";149,48;96,39;49,34;114,85;79,03;88,89;126,77;108,11;100,63;102,5;59,51;127,34;78,3;77,85;81,95;89,98;99,84;103,59;110,54;110,57;100,1;92,71;77,41;53,8;69,94;73,14;85,26;74,48
"adj_ind";0;0;0;0;6,08;3,7;0;0;0;4,88;1,17;3,03;3,21;4,39;2,44;1,88;1,24;6,64;4,79;3,81;4,29;3,57;3,01;1,55;1,23;2,25;1,78;2,9
"adj_pos";20,62;0;8,22;11,2;4,56;11,11;21,3;13,51;31,45;9,15;19,84;31,15;28,85;9,87;13,35;19,2;10,48;18,59;26,16;14,71;18,11;15,45;15,21;5,33;9,82;12,58;17,94;6,03
