"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"fille";0;1,04;0;1,35;1,77;1,32;20,3;0,69;0;0;0;0,28;2,06;3,05;0;0;0;1,52;0
"désert";0;0;0;0;0,29;0,66;0;1,39;0;0;1,06;0;0;0;0;0;3,12;0;0
"humoriste";0;0;0;0;0,59;0;0;0;0;0;0;2,51;0;0;0;0;0;0;0
"apparition";0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;1,8;0,89;3,04;0
"s";9,52;8,32;20,87;6,77;5,74;6,6;32,2;5,56;3,77;0;5,29;4,18;0,69;6,1;0;5,41;2,23;5,47;11,9
"autour";0;6,24;2,32;1,35;0,15;0;0;0,69;0;0;0;0;0;0;0;0;0,45;0;0
"venir";0;1,04;0;1,35;0,88;2,31;0,78;0,69;9,42;0;2,11;1,95;0;0;13,99;1,8;1,34;2,73;0
"tomber";19,05;0;0;0;0,59;1,32;0;1,39;0;0;1,06;0,28;0;0;0;0;0,22;0,91;0
"vouloir";0;0;0,77;0,68;1,03;0,99;0,2;0,69;3,77;0;3,17;1,11;0;3,05;0;0;0;1,52;0
"laisser";0;0;0;0;0,44;0,99;0;0,69;0;0;3,17;0,28;0;0;0;0;2,23;0,3;0
"époque";0;0;0;0,68;0,59;1,32;0;0,69;0;0;0;0;0;0;0;0;0,67;0,61;0
"intervenir";0;0;0;0;0,29;0;5,07;0,69;0;0;0;0;0;0;0;0;0;0,3;0
"origine";0;1,04;0;1,35;0,74;1,32;0;0;0;0;0;0,28;0,69;0;13,99;7,21;2,67;0,3;0
"image";0;0;0;1,35;2,06;3,3;0;1,39;1,88;0;0;0,28;0;3,05;0;0;1,34;1,82;0
"mythe";0;0;0;2,71;0;1,65;0;0;0;0;0;0;0;0;0;1,8;0;0,3;0
"italie";0;0;0;0,68;0,15;0,33;0;0;0;0;0;2,23;0;0;0;0;0,67;0;0
"plusieurs";0;0;0,39;0;0,44;0,66;0,2;0;1,88;0;0;0,28;0;3,05;6,99;3,6;0,67;0,3;0
"édition";0;5,2;0;4,74;0,29;0;0;0;0;0;0;4,18;0;0;0;0;0;0;0
"répondre";0;0;0;0,68;0,59;0;0;2,78;0;0;1,06;0,56;0;0;0;0;0;0;0
"présenter";0;2,08;0;2,71;4,12;3,96;0;2,08;0;0;1,06;1,95;0;0;0;1,8;0,67;0,91;0
"chaîne";0;0;0;0;0,15;0;0;0;0;0;0;1,67;0;0;0;0;0,45;0,3;0
"an";0;0;0;1,35;1,91;4,29;0;4,17;0;0;5,29;0,28;0,69;6,1;0;1,8;1,11;3,65;0
"au";0;11,43;2,32;6,77;10,89;3,63;0,39;6,25;9,42;0;9,51;4,45;4,12;6,1;6,99;3,6;3,34;5,17;0
"spatial";0;0;0;2,03;0,29;0,99;0;3,47;3,77;0;0;0;0;0;0;0;0,22;0,91;0
"écrivain";0;0;4,25;0;1,03;0;0;0,69;0;0;0;0,84;0;0;0;0;0;0,3;0
"terre";9,52;0;0;3,38;1,18;2,64;0;1,39;9,42;0;2,11;0,84;0,69;0;0;10,81;8,69;1,22;11,9
"sans";0;2,08;0,39;0;1,03;2,64;0;0,69;0;0;0;0;0;3,05;0;0;0,67;0;0
"richard";0;0;0;0;1,47;0;0;2,08;0;0;0;0;0;0;0;0;0;0;0
"gagner";0;0;0;0;0,59;1,32;0;0;0;0;0;0,28;0;0;0;0;0;0,61;0
"espace";0;0;0;2,71;0,15;3,63;0;6,25;11,3;0;0;1,67;0,69;0;0;0;0,45;0,3;0
"vie";0;1,04;0,77;6,09;5,59;1,65;0,39;0,69;0;0;2,11;1,67;0;3,05;6,99;9,01;2,67;2,73;0
"mort";0;1,04;0;0;0,15;0,66;0;0;0;0;1,06;0,28;0;0;10,49;0;0;1,82;0
"damien";0;0;0;0;1,62;0;0;0;0;0;0;0;0;3,05;0;0;0;0;0
"science";0;0;0,39;4,06;0,15;0;0;0,69;0;0;0;0,28;0;0;0;1,8;0;0,3;0
"information";0;3,12;0,39;4,06;0,29;0,33;0;0;0;0;0;0,84;0;0;0;0;0,45;0,91;0
"notre";0;0;0,39;1,35;1,32;0,33;0;0;0;0;0;0;0;0;3,5;0;3,34;0;0
"débat";0;7,28;7,34;0,68;0,44;0;0;0;0;0;0;1,11;0;0;0;0;0;0,61;0
"créature";0;0;0;0;0,15;0;0;0;3,77;0;0;0;0;3,05;0;3,6;4,46;0,3;0
"visuel";0;0;9,66;0;0,15;0;0;0;0;0;0;0,84;0;0;0;0;0;0;0
"boucherie";0;0;3,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"personne";0;0;0,77;2,03;2,06;0,66;0;0;0;0;1,06;0,28;0;0;0;1,8;0,89;0,61;0
"astrophysicien";0;0;0;2,71;0,59;0;0;0;0;0;0;0;0;0;0;0;0;0,61;0
"comprendre";9,52;0;5,41;0,68;0,88;0;0,39;0;0;0;1,06;0,84;0;3,05;3,5;0;0;1,52;0
"contre";0;0;2,32;2,03;0,15;0;0,39;0;0;0;1,06;0;0,69;0;0;0;0;1,22;11,9
"dernier";0;3,12;0,39;1,35;0,74;1,32;0,2;0;0;0;4,23;1,11;0;3,05;0;0;1,56;1,22;0
"leçon";0;0;0;0,68;0;0;0,2;0,69;0;0;0;2,23;0;0;0;0;0;0;0
"grandir";0;0;0;0,68;0,59;0;5,07;0;0;0;0;0;0;0;0;0;0;0;0
"plan";0;0;0;0;0,15;0,33;0,2;1,39;0;0;1,06;0,56;0;0;0;0;0,67;0,91;0
"toujours";19,05;0;0,39;0,68;0,29;0,99;0;0,69;0;0;0;0;0;0;3,5;1,8;0,89;1,52;0
"secte";0;0;0;0;1,32;0,33;0;0;0;0;0;0;0;0;0;0;0;0;0
"croire";0;0;0,39;0,68;0,74;0,99;0,39;0;3,77;0;2,11;0;0;0;6,99;0;1,11;1,22;0
"ses";0;6,24;0,77;2,71;5,59;7,26;15,81;2,78;0;0;7,4;0,84;0;3,05;0;1,8;1,11;4,86;11,9
"notamment";0;2,08;0;0;0,15;0,33;0;2,08;0;0;0;0,56;0;0;0;1,8;0;0,3;0
"incident";0;0;0;0;0;0;15,22;0;0;0;1,06;0;0;0;0;0;0,67;0;0
"recherche";0;10,4;0;2,71;1,32;1,32;0;0;1,88;0;2,11;0,28;0;0;0;3,6;0,22;1,52;0
"garçon";0;0;0;0;0,44;1,32;0;1,39;0;0;1,06;0;0;0;0;0;0;0;11,9
"environnement";0;0;0;0,68;0,29;0,66;0;0;0;0;0;0;16,48;0;0;0;0;0;0
"nucléaire";0;1,04;0,39;0,68;0,29;0;0;1,39;0;0;0;0;0;0;0;0;0,67;0;0
"belhousse";0;0;0;10,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"témoin";0;0;5,03;0;0,59;0,66;0;0;0;0;0;0,28;1,37;0;0;1,8;1,11;0,91;0
"mystère";0;0;0;0;0,29;0,66;0;0;0;0;0;0;0;0;13,99;0;0,22;0,61;0
"kelly";0;0;4,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"retrouver";0;0;0;0;1,03;0,99;0,39;0,69;5,65;0;5,29;0;0,69;0;0;1,8;0,22;3,34;0
"victime";0;0;0;1,35;0,74;0;0;0;0;0;1,06;0;0;0;0;0;0;0,91;0
