"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX"
"devenir";0;0;1;0;9;1;1;2;1;0;1;1;0;2;0;0;2;4;0
"lors";0;0;1;1;4;1;1;1;0;0;0;2;1;0;0;0;0;7;1
"commenter";0;0;0;0;7;3;0;1;0;0;0;4;0;0;0;0;0;2;0
"accidentellement";0;0;0;1;0;1;0;0;0;0;0;0;24;0;0;0;0;0;0
"évolution";0;0;0;0;1;7;0;0;0;0;0;0;0;0;2;0;2;0;0
"chine";0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;7;0;0
"substance";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9;0;0
"karim";0;0;13;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"unir";0;1;0;1;2;1;0;0;3;0;1;2;0;0;0;1;16;2;0
"leurs";0;1;1;5;15;6;1;1;3;0;2;3;0;2;1;0;9;6;0
"sortir";0;5;0;1;3;2;1;2;0;0;1;0;0;0;0;0;1;2;0
"commentaire";0;2;4;3;0;1;0;0;0;0;0;9;0;0;0;0;0;0;0
"zorbb";0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
"consacrer";0;0;0;2;19;0;0;0;0;0;0;1;0;0;0;0;0;1;0
"sentir";0;0;1;0;10;3;0;0;0;0;0;0;0;2;0;0;0;2;0
"député";0;0;26;0;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0
"toute";0;0;2;0;2;5;1;0;1;0;0;1;0;0;0;0;3;1;0
"affaire";0;1;9;1;3;7;0;0;0;0;2;2;0;0;0;0;0;4;0
"guerre";0;0;0;1;2;0;1;0;0;0;0;3;0;0;0;0;0;2;3
"parler";0;0;3;2;30;6;0;0;0;0;1;2;0;1;0;0;0;7;0
"fry";0;0;0;1;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0
"penser";0;0;0;0;5;1;1;1;1;0;3;0;0;0;0;1;4;8;0
"suivre";0;1;1;0;2;1;0;0;0;0;0;2;0;0;0;0;2;1;0
"évoquer";0;1;6;8;5;4;0;1;0;0;0;4;0;0;0;2;5;3;0
"tête";0;2;1;0;2;1;49;0;0;0;0;2;0;0;0;0;0;1;0
"possible";0;0;0;0;4;1;0;0;0;0;0;1;0;0;0;1;11;1;0
"poser";0;0;0;0;4;2;0;1;1;0;2;0;0;0;0;0;1;0;0
"théorie";0;0;0;1;1;0;0;0;0;0;0;0;0;0;6;0;6;0;0
"fou";0;0;0;0;3;1;0;2;0;0;0;0;0;0;0;0;1;3;0
"expérience";0;1;0;0;7;0;1;0;0;0;0;0;1;1;0;1;3;4;0
"son";0;3;3;5;53;32;2;14;7;1;23;12;3;5;0;1;8;40;0
"corps";0;0;0;0;6;0;0;2;0;0;1;0;0;0;2;0;0;6;0
"cette";0;3;2;2;25;5;1;4;0;0;1;5;0;1;2;2;4;8;0
"reportage";0;0;0;2;26;2;0;2;0;0;0;4;0;0;0;0;0;11;0
"explorer";0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;9;0;0
"convaincre";0;0;0;0;2;1;0;0;0;0;3;0;0;0;0;0;0;5;0
