"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"tromper";0,85;0,07;0;0;0
"mélenchon";0,85;0;0;0;0
"bernard";0,44;0;0;0;0
"beau";0,44;0,16;0;0;0
"sembler";0,22;0,62;0;0;0
"crabe";0,82;0;0;0;0
"cacher";0,44;0,59;0;0;0
"fatou";0;2,59;0;0;0
"bruno";0,63;0;0;0;2,8
"françois";0,57;0,52;0;0;0
"comment";2,58;0,1;0;0;2,8
"concours";0,25;0,1;0;0;0
"colocataire";0,03;1,8;0;0;0
"parisien";0,31;0;0;0;0
"raven";0;4,46;0;0;0
"provoquer";0,16;2,72;0;0;0
"système";0,53;0;0;0;0
"brigitte";0,44;0;0;0;0
"adolescent";0,06;0,82;0;0;0
"toutes";1,16;0,69;0;4,57;0
"oise";0,47;0;0;0;0
"monter";0,22;0,13;0;0;2,8
"48";0,6;0;0;0;0
"49";0,5;0;0;0;0
"47";0,72;0;0;0;0
"44";0,82;0;0;0;0
"45";0,76;0;0;0;0
"42";0,6;0;0;0;0
"40";0,79;0,23;0;0;0
"41";0,41;0;0;0;0
"membre";1,1;0,23;0;0;0
"inédit";0,06;0,1;23,06;0;0
"direct";0,53;0,07;0;0;0
"air";0,25;0,07;0;0;0
"philippe";0,5;0,07;0;0;0
"même";1,01;0,88;0;0;0
"changer";0,31;0,16;0;0;0
"pendant";0,44;0,43;0;0;0
"actualité";0,98;0;0;4,57;2,8
"m6";0,47;0,16;0;0;0
"assez";0,06;0,49;0;0;0
"mois";0,44;0,1;0;0;0
"me";0,69;0;0;0;0
"ma";0,31;0;0;0;0
"naître";0,28;2,69;0;0;0
"mi";0,35;0;0;0;0
"enquête";0,76;0,39;0;0;0
"entretien";0,44;0;0;0;0
"laquelle";0,22;0,16;0;0;0
"nouvelle";0,41;0,33;1,65;0;2,8
"vite";0,16;0,23;0;0;0
"mettre";0,57;0,75;1,65;4,57;0
"autre";0,31;0,59;0;0;0
"jeune";1,13;1,8;0;0;5,6
"construire";0,47;0,07;0;0;0
"réal";0,35;0;0;0;0
"émission";2,83;0,13;0;22,83;14,01
"coeur";0,25;0,26;0;0;2,8
"claude";0,79;0,07;0;0;0
"présidentiel";0,44;0;0;0;0
"photo";0,25;0,13;0;0;0
"boulot";0,03;1,83;0;0;0
"transformer";0,22;0,26;0;0;0
"frontière";0,41;0;0;0;0
"candidat";0,47;0,03;0;0;0
"alien";0,25;0,2;0;0;0
"jean";2,64;0,13;0;0;0
"proposer";0,53;0,16;0;0;2,8
"fête";0,25;0,07;0;0;0
"vérité";0,16;0,2;0;0;0
"manquer";0,16;2,69;0;0;0
"enfin";0,13;0,36;0;0;0
"2999";0;1,41;0;0;0
"bande";0,44;0,1;0;0;0
"59";0,66;0;0;0;0
"58";0,44;0;0;0;0
"55";0,72;0;0;0;2,8
"54";0,82;0;0;0;0
"56";0,57;0;0;0;0
"51";0,63;0;0;0;0
"50";1,04;0;0;0;0
"53";0,47;0;0;0;0
"52";0,66;0;0;0;0
"57";0,53;0;0;0;0
"humanité";0,79;0,79;0;0;0
"gouvernement";0,63;0,16;0;0;0
"plus";4,25;1,77;3,29;9,13;5,6
"entrepreneur";0,35;0;0;0;0
"exister";0,47;0,1;0;0;0
"hugues";0,44;0;0;0;0
"voisin";0;0,39;0;0;0
"peret";0,31;0;0;0;0
"ne";3,59;8,72;1,65;0;8,4
"actuel";0,47;0;0;0;0
"retour";1,42;0,16;0;4,57;0
"valentin";0,6;0;0;0;0
"cnews";0,76;0;0;0;0
"groupe";0,47;0,26;0;0;0
"entier";0,63;0,1;0;0;0
"langlois";0,44;0;0;0;0
"bill";0;0,62;0;0;0
"frédéric";0,72;0,03;0;4,57;0
"boucher";0,31;0;0;0;0
"figure";0,16;2,65;0;0;0
"haut";0,66;0,03;1,65;0;0
"antoine";0,85;0;0;0;0
"1";0,98;0,03;0;4,57;0
"rapport";0,31;0;0;4,57;0
"réponse";0,35;0,13;0;0;0
"oeuf";0,25;0,07;0;0;0
"apporter";0,25;0,1;0;0;0
"place";0,16;0,23;0;0;0
"gotham";0;2,65;0;0;0
"animation";0;2,69;0;0;0
"république";0,31;0;0;0;0
"chanteur";0,35;0,03;0;0;11,2
"espoir";0,03;0,33;0;0;0
"trop";0,09;0,46;0;0;0
"chaque";0,41;0,03;0;9,13;0
"20";5,6;0,13;0;0;8,4
"21";2,33;0;0;0;0
"didier";0,16;0,46;0;0;0
"concernant";0,28;0,03;0;0;0
"parfois";0,16;0,2;0;0;0
"devoir";0,72;1,41;0;0;8,4
"récupérer";0,06;0,29;0;0;0
"départ";0,16;1,51;0;0;0
"curieux";1,04;0,07;0;0;0
"patrick";0,25;0,2;0;0;2,8
"où";0,76;0,82;0;0;0
"réussir";0,16;0,16;0;0;0
"décontraction";0;2,65;0;0;0
"bellver";1,51;0;0;0;0
"ou";2,11;0,82;0;13,7;2,8
"celui";0,16;0,26;0;0;0
"lemercier";0,35;0;0;0;0
"alain";0,35;0;0;0;0
"samedi";0,31;0;0;4,57;0
"phénomène";0,85;0,29;0;0;2,8
"5";0,44;0;0;0;2,8
"catastrophe";0,19;0,23;0;0;0
"endroit";0,19;0,26;0;0;0
"péril";0;3,41;0;0;0
"lisa";0,25;0,07;0;0;0
"programme";0,35;0,13;0;0;0
"île";0,19;2,69;0;0;0
"sur";14,16;12,03;0;13,7;16,81
"grâce";0,28;3,01;0;0;0
"prochain";0,31;0,07;0;0;0
"enfant";0,98;0,79;0;0;0
"vaisseau";0,28;1,02;0;0;0
"profiter";0,13;0,2;0;0;0
"différents";0,31;0,16;0;0;0
"emmanuel";0,5;0;0;0;0
"mission";0,13;0,43;1,65;0;0
"style";0,19;0,1;1,65;0;0
"manière";0,13;0,56;0;0;0
"bout";0,31;0,03;0;0;0
"organiser";0,16;0,16;0;0;0
"beast";0;1,8;0;0;0
"affrontement";0,41;0;0;0;0
"marionnette";0;0;23,06;0;0
"blanc";0,5;0,07;0;0;0
"passer";1,45;0,85;0;9,13;0
"scooby";0;0,39;0;0;0
"professeur";0,25;0,56;0;0;0
"dans";10,7;10,06;8,24;9,13;5,6
"nathalie";0,79;0;0;0;2,8
"respirer";0,85;0;0;0;0
"chaouch";0,31;0;0;0;0
"ainsi";0,31;0,16;0;4,57;0
"maison";0,47;0,52;0;4,57;0
"tourner";0,19;0,13;0;0;0
"vincent";0,53;0,03;0;0;0
"intelligence";0,25;0,26;1,65;0;0
"matin";0,41;0,07;0;0;0
"raconter";0,5;0,13;0;0;0
"année";1,6;0,13;0;0;0
"publicité";0,31;0;0;0;0
"c";2,33;1,83;0;0;0
"duo";0,85;0,03;0;0;0
"détruire";0,06;0,43;0;0;0
"bristielle";0,66;0;0;0;0
"arriver";0,28;0,49;0;0;0
"propos";0,35;0,07;0;0;0
"prince";0,03;2,69;0;0;0
"humour";0,47;5,31;0;0;2,8
"extra";0,06;0,36;0;0;0
"plateau";1,35;0;0;4,57;8,4
"monstre";0,06;0,29;0;0;0
"rien";0,22;0,33;0;0;0
"réveiller";0,03;1,57;0;0;0
"anne";0,79;0,1;0;0;0
"savoir";0,72;0,62;1,65;0;0
"question";2,01;0,1;0;0;0
"long";0,35;0;0;0;0
"présentation";0,6;0;0;4,57;0
"compagnie";0,09;0,29;0;0;0
"nasa";0,41;0,03;0;0;0
"antique";0,44;0;0;0;0
"chose";0,22;0,59;0;0;0
"depétrini";0,44;0;0;0;0
"olivier";0,6;0,03;0;0;0
"lrem";0,53;0;0;0;0
"claviere";0,6;0;0;0;0
"au_dessus";0,19;0,16;0;0;0
"journaliste";2,55;0,13;0;0;2,8
"patron";0,41;0,1;0;0;0
"fédération";0,38;0;0;0;0
"watrin";0,35;0;0;0;0
"nuit";0,31;0,23;0;0;0
"g";0,22;0,29;0;0;0
"permettre";0,6;0,13;0;0;11,2
"tsoukalos";0,57;0;0;0;0
"polémiste";0,44;0;0;0;0
"nombreux";0,72;2,72;0;0;0
"encore";0,6;0,26;0;0;0
"chalumeau";1,51;0;0;0;0
"centre";0,41;0,23;0;0;0
"lutte";0,13;1,9;0;0;0
"défense";0,22;0,13;0;0;0
"xavier";0,25;1,02;0;0;0
"durant";0,13;1,47;0;0;0
"rendre";0,53;0,88;0;0;0
"qu";2,45;6,45;1,65;0;0
"partie";1,1;0,23;0;0;0
"partir";0,85;0,46;0;0;0
"chemin";0,06;0,33;0;0;0
"joe";0,47;0,07;0;0;0
"certaines";0,6;0,03;0;0;0
"pomart";0,47;0;0;0;0
"disciple";0;0,75;0;0;0
"préparer";0,25;0,26;1,65;0;0
"mère";0,25;0,72;0;0;0
"janvier";0,31;0;0;0;0
"américain";1,1;0,26;1,65;0;0
"soirée";0,25;0,07;0;0;0
"conquérant";0;2,65;0;0;0
"série";0,41;2,85;23,06;0;0
"val";0,47;0;0;0;0
"humain";0,72;0,85;0;0;0
"marier";0,31;0,16;0;0;0
"michaël";0,31;0;0;0;0
"atterrir";0,03;0,33;0;0;0
"fantôme";0,41;0;0;0;0
