"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"d";20,73;25,62;4,94;9,13;8,4
"personnalité";0,28;0,07;0;0;0
"alexandre";0,5;0,07;0;0;0
"frère";0,38;0,16;0;0;0
"t";0,53;0,36;0;0;0
"directeur";0,63;0,07;0;0;0
"millénaire";0,06;1,41;0;0;0
"bientôt";0,03;0,33;0;0;0
"ailleurs";0,31;0,26;0;0;0
"meilleur";0,31;0,13;0;0;2,8
"un";14,85;23,1;26,36;13,7;16,81
"tard";0,09;0,29;0;0;0
"menace";0,13;0,29;0;0;0
"coda";0;0,56;0;0;0
"tirailleur";0,31;0;0;0;0
"astronaute";1,23;0,07;0;0;0
"pouvoir";4,06;5,08;0;0;0
"découverte";0,63;0,46;0;0;0
"millier";0,47;0,03;0;0;0
"continuer";0,44;0,13;0;0;0
"garder";0,16;0,16;0;0;0
"apparence";0,03;0,29;1,65;0;0
"les";24,25;22,41;31,3;77,63;19,61
"beaucoup";0,6;0;0;0;0
"marc";0,44;0;0;4,57;0
"on";1,98;0,36;1,65;0;5,6
"laëtitia";0,47;0;0;0;0
"devant";0,13;0,16;0;0;2,8
"pour";8,78;7,9;1,65;4,57;14,01
"animal";0,53;0,2;0;0;0
"pyramide";0,44;0;0;0;0
"robot";0,09;1,08;0;0;2,8
"comme";1,42;3,18;0;0;0
"temps";0,47;0,39;0;0;0
"oeil";0,22;0,2;0;0;0
"david";0,79;0,07;4,94;0;0
"façon";0,28;0,03;0;0;0
"envoyer";0,16;0,36;0;0;0
"voyage";0,69;0,2;0;0;0
"06";0,38;0;0;0;0
"chien";0,16;0,39;0;0;0
"face";0,25;0,33;1,65;0;0
"rouge";0,22;0,1;0;0;2,8
"montrer";0,28;0,2;0;0;0
"lala";0;0;23,06;0;0
"tenter";0,16;3,11;0;0;0
"attaquer";0,03;0,29;0;0;0
"télévision";0,38;0,07;0;0;0
"quitter";0,38;2,95;0;0;0
"astrobiologiste";0,47;0;0;0;0
"inviter";1,6;0,03;0;4,57;5,6
"ce";3,71;1,97;0;0;2,8
"seuil";0,44;0;0;0;0
"après";0,82;4,91;1,65;0;2,8
"ados";0,06;2,65;0;0;0
"éléphant";0,82;0,03;0;0;0
"site";0,88;0,23;0;0;0
"paul";1,89;0,2;0;0;0
"politique";1,04;0;0;0;0
"crise";0,35;0,03;0;0;2,8
"manège";0,25;0,1;0;0;0
"imedia";5,79;11,53;24,71;27,4;16,81
"hier";0,41;0;0;0;0
"alliance";0,5;0,03;0;0;0
"catherine";0,22;0,59;0;0;0
"lune";0,22;0,2;0;0;0
"nommer";0,19;0,13;0;0;0
"milieu";0,13;0,26;0;0;0
"participer";0,13;0,26;0;0;0
"seul";0,35;0,56;0;0;0
"survivre";0;0,56;0;0;0
"tamaran";0;2,65;0;0;0
"mauvais";0,38;0,13;0;0;0
"chez";0,88;0,33;0;0;0
"chef";0,53;0,07;0;0;0
"hors";0,88;0,1;0;0;0
"communauté";0,44;0,03;0;0;0
"servir";1,13;0,1;0;0;0
"appeler";0,28;0,2;0;0;0
"falloir";0,38;0,43;1,65;0;0
"soucoupe";0,09;0,49;0;0;0
"interview";2,67;0,07;0;0;5,6
"nombre";0,35;0,03;0;0;0
"pizza";0,03;1,41;0;0;0
"rire";0,38;0,03;0;0;0
"l";27,59;20,25;6,59;31,96;22,41
"alexis";0,41;0;0;0;0
"survivant";0;0,59;0;0;0
"enlever";0,03;0,49;0;0;0
"responsable";0,25;0,13;0;0;0
"prendre";0,76;2,49;0;0;0
"alors";0,5;1,54;0;0;0
"livreur";0;1,41;0;0;0
"état";0,63;0,07;0;0;0
"plaindre";0,25;0,07;0;0;0
"grave";0,06;3,47;0;0;0
"avouer";0,03;0,29;0;0;0
"de";65,65;49,05;36,24;63,93;89,64
"du";15,23;3,77;1,65;18,26;33,61
"malgré";0,06;0,62;0;0;0
"déage";0,31;0;0;0;0
"bien";0,98;3,8;1,65;0;0
"auteur";1,6;0,07;0;0;8,4
"bras";0,19;0,13;0;0;0
"ils";2,67;10,35;0;0;2,8
"thierry";0,76;0;0;4,57;0
"carbonnier";1,26;0;0;0;0
"bunny";0;0,03;24,71;0;0
"raid";0,47;0;0;0;0
"déclaration";0,79;0;0;0;0
"contact";0,63;0,26;0;0;0
"the";0,47;0,07;0;0;5,6
"poser";0,28;0,29;0;0;0
"lci";0,69;0;0;0;0
"bord";0,03;0,43;0;0;0
"loin";0,16;0,23;0;0;0
"connaître";0,69;0,29;0;0;2,8
"peupler";0,03;0,82;0;0;0
"commencer";0,47;0,26;0;0;14,01
"occasion";0,47;0,07;0;0;2,8
"sujet";0,98;0,07;0;0;2,8
"rentrer";0,22;0,16;0;0;0
"zone";0,28;0,07;0;0;0
"donner";0,6;0,46;1,65;0;0
"partager";0,25;0,13;0;0;0
"quelques";0,53;0,16;1,65;0;0
"urgentiste";0,38;0;0;0;0
"gilet";0,69;0;0;0;0
"ciel";0,82;0,13;0;0;0
"finir";0,16;2,23;0;0;0
"echoué";0;0,49;0;0;0
"cas";0,85;0,1;0;0;0
"car";0,25;0,36;0;0;0
"discussion";0,41;0;0;0;0
"cours";0,5;0,2;0;0;0
"michel";0,47;0,07;0;0;2,8
"cafard";0;0;23,06;0;0
"découvrir";0,79;1,51;0;4,57;2,8
"forme";0,82;0,36;0;0;0
"valérie";0,47;0;0;0;0
"nom";0,22;0,16;0;0;0
"non";1,01;0,39;0;0;0
"emmener";0,06;0,26;0;0;0
"nos";0,5;0,36;0;0;0
"en";14,85;9,08;8,24;22,83;8,4
"ex";0,44;0;0;0;0
"et";23;27,72;102,14;50,23;28,01
"album";0,25;0;0;0;19,61
"marine";0,28;0,16;0;0;0
"message";0,25;0,36;0;0;0
"incroyable";0,5;0,13;0;0;0
"premier";1,64;0,39;0;0;8,4
"presque";0,25;0,07;0;0;0
"deux";0,72;0,95;0;0;0
"ligne";0,31;0;0;0;0
"étrange";1,13;0,75;0;0;0
"disparaître";0,06;0,49;0;0;0
"secrétaire";0,88;0,03;0;0;0
"joli";0,03;0,52;0;0;0
"leur";1,89;10,88;3,29;0;2,8
"sport";0,28;0,13;0;0;0
"3";1,54;0,03;0;0;0
"vrai";0,38;0,1;0;0;2,8
"près_de";0,25;0,29;0;0;0
"tropical";0;2,59;0;0;0
"maïa";1,16;0;0;0;0
"prétexte";0;2,62;0;0;0
"explication";0,22;0,16;0;0;0
"soir";0,5;0,1;0;0;0
"media";0,31;0;0;0;0
"fruit";0,25;0,1;0;0;0
"glacier";0,82;0;0;0;0
"européen";0,85;0;0;0;0
"ami";0,31;0,92;1,65;0;0
"certains";0,63;0,1;0;0;0
"faire";4,59;5,37;0;9,13;5,6
"héros";0,16;0,2;3,29;0;0
"vilain";0,25;0,03;1,65;0;0
"vendre";0,13;0,33;0;0;0
"intervention";0,22;0,1;0;0;0
"loi";0,35;0;0;0;0
"chambre";0,09;0,26;0;0;0
"giorgio";0,6;0;0;0;0
"vers";0,22;0,26;0;0;0
"aile";0;2,65;0;0;0
"médecin";0,5;0,1;0;0;0
"iran";0,57;0;0;0;0
"aimer";0,38;0,13;0;0;0
"vidéo";0,6;0,07;1,65;0;0
"réalité";0,6;0,52;0;0;0
"visage";0,38;0,1;0;0;0
"posséder";0,35;0,82;0;0;0
"suivant";0,25;0,13;0;0;0
"fr";0,25;0,07;0;0;0
"invasion";0,03;0,39;1,65;0;0
"documentaire";0,35;0;0;0;0
"cet";0,47;0,39;0;0;0
"ces";2,04;2,42;0;0;0
"base";0,19;0,29;0;0;0
"dire";0,63;0,49;0;0;0
"selon";1,16;0,13;0;0;0
"diffuser";0,88;0;0;0;0
"tf1";1,23;0,23;0;0;0
"téléspectateur";0,31;0;0;0;0
"véritable";0,31;0,26;0;0;0
"charlotte";0,28;0;0;0;5,6
"aussi";1,73;3,37;0;0;0
"jour";0,72;0,39;0;0;0
"justice";0,31;0,03;0;0;0
"international";0,31;0,03;0;0;0
"événement";0,22;0,29;0;0;0
"voler";0,03;2,88;0;0;0
"culture";0,94;0,03;0;0;0
"portrait";0,35;0,1;0;0;0
"effet";0,16;0,29;0;0;0
"sophia";0,09;0,23;0;0;0
"créature";0,79;0,29;0;0;0
"planète";0,47;4,72;0;0;0
"docteur";0,13;0,2;1,65;0;0
"grand";1,6;0,79;0;27,4;0
"000";0,25;0,2;0;0;0
"coup";0,19;0,13;0;0;2,8
"autres";1,04;3,15;0;0;0
"pierre";0,69;0;0;0;0
"jouer";0,13;0,29;0;0;2,8
"jamais";0,41;0,07;0;0;2,8
"être";22,37;24,84;26,36;13,7;8,4
"hapsatou";0,35;0;0;0;0
"pauline";0,6;0;0;0;0
"cryogénisé";0;1,41;0;0;0
"rester";0,6;0,39;0;4,57;0
"visite";0,41;0,2;0;0;0
"structure";0,44;0;0;0;0
"peut_être";0,28;0,2;0;0;0
"utiliser";0,44;0,23;0;0;0
"rencontre";0,57;0,16;0;18,26;0
"supervilains";0;0;23,06;0;0
"suite";0,53;0,03;0;0;0
"scientologie";0,5;0;0;0;0
"apprendre";0,16;0,2;0;0;0
"avoir";20,29;25,82;0;0;14,01
"michael";0,22;0,13;0;0;0
"élection";0,44;0;0;0;0
"jump";0;2,69;0;0;0
"cela";0,35;0,07;0;0;0
"gens";0,5;0,03;0;0;0
"danger";0;3,08;0;0;0
"français";1,45;0,13;0;0;5,6
"gitan";0,44;0;0;0;0
"volant";0,38;0,56;0;0;0
"entrer";0,35;0,16;0;0;0
"heure";0,41;0,13;0;0;0
"également";0,38;0,16;0;9,13;0
"rencontrer";0,28;0,52;0;0;0
"représentant";0,31;0,03;0;0;0
"avocat";0,79;0;0;0;0
"cause";0,19;0,16;0;0;0
"université";0,31;0,16;0;0;0
"lancer";0,38;0,29;0;0;0
"ovni";1,57;0,62;0;0;5,6
"adopter";0,09;2,72;0;0;0
"sy";0,76;0;0;0;0
"liste";0,31;0,03;0;0;0
"âge";0,25;0,2;0;0;0
"jaune";0,69;0,03;0;0;0
"maintenant";0,16;0,26;0;0;0
"laurent";0,31;0;0;0;2,8
"réaliser";0,5;0,2;0;0;0
"courir";0,19;2,88;0;0;0
"rubrique";0,28;0;0;13,7;0
"trouver";0,79;1,05;0;0;0
"mohammed";0,35;0;0;0;0
"j";0,41;0;0;0;2,8
"média";0,41;0;0;0;0
"preuve";0,98;0,07;0;0;0
"macron";0,47;0;0;0;0
"luc";0,91;0,03;0;0;0
"lui";1,42;2,92;0;0;0
"ukrainien";0,35;0;0;0;0
"police";1,01;0,13;0;0;0
"animateur";0,44;0,07;0;0;0
"paranormal";0,25;0,07;0;0;0
"vinci";0,82;0;0;0;0
"carrière";0,25;0,07;0;0;0
"examiner";0,47;0,03;0;0;0
"46";0,44;0;0;0;0
"femme";0,88;0,72;0;0;0
"région";0,25;0,07;0;0;0
"moins";0,31;0,03;0;0;0
"persuader";0,13;0,69;0;0;0
"yacine";0,47;0;0;0;0
"général";0,98;0,36;0;0;0
"eau";1,79;0,03;0;0;0
"étude";0,22;0,1;0;0;0
"laporte";0,38;0;0;0;0
"inconnu";0,13;0,23;0;0;0
"chercher";0,28;0,62;0;0;0
"eric";1,42;0,07;0;0;0
"pernin";0,31;0;0;0;0
"arrêter";0,13;0,26;0;0;0
"star";0,69;0,16;0;0;0
"fois";0,5;2,03;0;0;5,6
"parole";0,85;0,03;0;0;0
"aider";0,03;0,46;0;0;0
"aux";4,69;1,38;1,65;9,13;5,6
"siècle";0,28;0,1;0;0;0
"voix";0,35;0,1;0;0;2,8
"réputation";0,57;0,07;0;0;0
"voir";0,91;0,88;0;0;2,8
"légende";0,53;0;0;4,57;0
"force";0,25;0,36;0;0;0
"histoire";1,35;0,29;0;0;2,8
"new";0,41;0,03;0;0;0
"propre";0,28;2,79;0;0;0
"aujourd_hui";0,88;2,75;0;0;2,8
"omar";0,41;0;0;0;0
"arme";0,13;0,2;0;0;0
"dettinger";1,35;0;0;0;0
"quotidien";0,69;0,07;0;0;2,8
"géant";0,38;0,23;0;0;0
"quoi";0,94;0,03;0;0;0
"suggérer";0,41;0;0;0;0
"afin";0,16;0,52;0;0;0
"famille";0,6;0,59;0;0;0
"vivre";0,98;0,33;1,65;0;0
"comportement";0,44;0,1;0;0;0
"aide";0,09;0,46;0;0;0
"créer";0,35;0,43;0;0;0
"acteur";1,13;0,03;0;0;0
"surprise";0,13;0,2;0;0;0
"sauver";0,03;4,03;1,65;0;0
"entraîner";0,06;2,72;0;0;0
"attaque";0,03;0,75;0;0;0
"école";0,5;0,29;0;0;0
"chroniqueur";3,9;0;0;0;0
"syndicat";0,44;0;0;0;0
"avion";0,19;0,16;0;0;0
"terrestre";0,09;0,39;0;0;0
"don";0,19;0,13;0;0;0
"doo";0;0,36;0;0;0
"christopher";0,03;0,43;0;0;0
"traverser";0,03;0,49;0;0;0
"julien";1,67;0,03;0;0;0
"cabrol";0,72;0;0;0;0
"02";0,69;0;0;0;0
"03";0,44;0;0;0;0
"00";1,07;0;0;0;0
"01";0,82;0;0;0;0
"07";0,6;0;0;0;0
"04";0,53;0;0;0;0
"05";0,57;0;0;0;0
"08";0,53;0;0;0;0
"09";0,63;0;0;0;0
"sorte";0,13;0,29;0;0;0
"confronter";0,09;0,23;0;0;0
"une";10,79;24,02;1,65;13,7;19,61
"scientifique";0,72;0,46;0;0;2,8
"mathieu";0,38;0;0;0;0
"il";7,3;13,57;1,65;4,57;5,6
"amour";0,22;0,16;0;0;5,6
"théoricien";0,88;0;0;0;0
"quand";0,47;0,59;1,65;0;0
"livre";0,98;0,07;0;0;2,8
"elle";5,06;3,57;0;0;2,8
"vieux";0,09;0,39;0;0;0
"kid";0;0,39;1,65;0;0
"neptuna";0;0,33;0;0;0
"nicolas";0,28;0,03;0;0;0
"royal";0,35;0;0;0;0
"musique";0,41;0,03;0;0;0
"revel";0,38;0;0;0;0
"super";0,09;3,8;0;0;0
"magazine";0,41;0;0;9,13;0
"maître";0,28;0,2;0;0;0
"lieu";0,16;0,39;0;0;0
"batman";0;3,44;0;0;0
"très";2,01;0,52;0;0;0
"mystérieux";0,6;0,33;0;0;0
"petit";1,64;6,45;0;0;0
"décider";0,16;0,98;0;0;0
"corbière";0,41;0;0;0;0
