"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"pre";-0,130600611806897;0,617037268964555;0,0635337536220134;-0,0949609309778459;-0,203753874971873;0,962658082639625;0,0991208870532245;-0,148151355418465;0,180301298730197;0,816860463414824;0,00104857238479221;0,00178966547018624;0,00234845883759741;0,0524222095326374;0,000555778265099633;0,00124160215323799;0,137686870741381;0,0585859902642236;0,000472585159952471
"ver_sup";-0,784914118590123;0,764187442682142;-0,512290181713419;1,13441034953896;-0,473372606401863;0,460872588419984;-0,308956270257128;0,684149732017908;0,805107529971727;0,15489095320464;0,00842796311441656;0,0315735537092168;0,00661014068044366;0,00626565119666928;0,00281577848007084;0,013807237032481;0,0107291772602461;0,166626160787792;0,000297887854358971
"adj_dem";-0,0936278072815581;1,14610003145672;2,13502478729299;-1,31557652025706;-0,0339369680611697;0,415423166383536;0,773875519676296;-0,476852760374137;0,0208778368369767;0,63494702838495;0,26678572738405;0,0773894073940256;2,91967808609323e-05;0,00437492199623126;0,0151820741469686;0,00576444490657405;0,00333062137699583;0,12342697751667;5,07394147268375e-05
"ono";0,127614630188078;-17,0878965409673;0,318754953727569;4,94973105147513;0,00717192027168978;-0,96033684713173;0,0179139735857171;0,27817403392674;0,000272591789415896;0,991986362797139;4,17933013396987e-05;0,00769925211210581;2,19447567735208e-05;0,393465855647424;0,000136912696732198;0,0330136119836944;0,00134750330519679;1,47228562634667;0,00292088180550165
"pro_per";-1,26344338598906;0,648860801875545;1,1309727783256;1,39178055106802;-0,552282454509882;0,283633157028675;0,4943762648364;0,608381813864367;0,912404411718469;0,0488422355597068;0,0179663999193966;0,0207869528024263;0,0599237513587833;0,0158048543761038;0,0480166353471838;0,072715826949863;0,0375394081155293;0,251947520781423;0,00238290977679758
"num";4,31929637113881;1,07329738614858;1,61872252340512;1,69926587274622;0,858449959745888;0,213315322396293;0,321717281162281;0,337725081752598;0,981460635184014;0,0122999592299524;0,00338744810456218;0,00285195748147112;0,524608237128968;0,0323928559620508;0,0736807292841351;0,0811954638448501;0,0281195972744839;0,83047115563644;0,0193935896578003
"adv";-0,50217904976498;1,05028455832609;-1,00228556023987;-1,3966605890675;-0,241876585416763;0,505873836837195;-0,482754923840023;-0,6727072633315;0,469282571725151;0,416627427581424;0,045938958656069;0,0681510420373548;0,000974573815200714;0,00426296255785746;0,00388222323625379;0,00753840236347673;0,00386453778094173;0,13963341798426;7,53487922183204e-05
"ver";-0,857181136118196;0,528628240310845;-0,00271225988026093;0,612180928094514;-0,727318414888974;0,448541198129465;-0,00230135320734161;0,519435675245154;0,920159333995872;0,0710289178910068;2,26392158636125e-07;0,00881152172096201;0,0624037453000214;0,0237337392165426;6,24781333133147e-07;0,0318291496765496;0,0849308451133937;0,170211570249352;0,00246061463107567
"adj_ind";1,7268182533535;-0,18804126555263;0,849524540744962;-3,96216251097948;0,391673660034031;-0,0426511652708091;0,192687554417572;-0,89869022945015;0,903181589078428;0,00217372598723253;0,00537173559184709;0,0892729493424915;0,00765717556421225;9,07991272402649e-05;0,00185322095184892;0,0403125167320383;0,00256788365707312;0,346104370790326;0,000307602252199148
"adj_pos";-1,55455844458866;0,452013701601072;-2,33860161858886;3,68064725378551;-0,334200137380991;0,0971742437211105;-0,502754325469319;0,791268300106637;0,848882411507505;0,0145664350840822;0,0472092252545926;0,0893419281538193;0,0348378333159504;0,00294537249844156;0,0788405273002761;0,195292436317882;0,0144157429065392;0,321389199406823;0,00148901675276793
"aux";-0,754776344725341;0,447737520362121;1,99986477735384;0,5723598317937;-0,334312002947338;0,19831573720213;0,885797235185329;0,25351451871903;0,79697788476175;0,0569211073981811;0,137496589777031;0,00860441806303756;0,0212119163937926;0,00746432129605817;0,148917113101735;0,0121978037092205;0,0372343130275603;0,161043476246295;0,000965671954595837
"nr";0,815916494554106;-0,948232045322678;0,513259692941959;0,465615588872887;0,570543475888729;-0,663067373559027;0,358905563497304;0,325589613982118;0,775213465960585;0,21250824784523;0,00753850377384149;0,004739782420343;0,0706561323233946;0,0954306080840633;0,0279597159185676;0,0230098326012594;0,106134953727245;0,176515582430392;0,00330692644372702
"pro_ind";-0,974789813322052;0,670420806396395;-0,186190680953691;-1,87593732322515;-0,437981197033494;0,301225662485091;-0,0836570265775203;-0,842874292649701;0,857314434597163;0,0823056770778233;0,000768625886699895;0,0596112624383128;0,00752547616746495;0,00355964746155099;0,000274554079463306;0,0278707508356666;0,00791975999186413;0,200534410314019;0,000318485622083221
"adj";-0,132100609959347;-0,247318936228512;0,257697861633858;-0,296990338537426;-0,273535595178769;-0,512113702132525;0,533604939295935;-0,614966342995532;0,526363839355521;0,374462033899459;0,0492242360312966;0,0499498907137234;0,00119658777575385;0,00419420501926664;0,00455361748045149;0,00604810829387772;0,0685701210210516;0,0346824517743158;8,24811102289908e-05
"pro_dem";0,822704205515656;1,09937387647585;1,08475016607385;2,21290600073809;0,291616241892099;0,389684744702736;0,384501215262435;0,784388030678951;0,648936081901334;0,235191686057037;0,0277239363378536;0,088148295703775;0,00327820708231934;0,00585382554441346;0,00569912785500037;0,0237178262082669;0,0048433845215092;0,194531863619016;0,000183286485710571
"nom";0,300134108559019;-0,0395278626979167;-0,759440747171541;-0,481069224091274;0,316400633044199;-0,0416701748446752;-0,800600552593924;-0,50714198319992;0,827065198231333;0,00291160433030981;0,130130106425355;0,039893091013002;0,0206913486411144;0,000358892808826267;0,132478646388494;0,0531585639543809;0,229698464354724;0,0628627638086747;0,000907705640369888
"art_ind";-0,778268564704852;-0,0161430974969875;0,536684103576479;-0,659616155862779;-0,675076469575015;-0,0140026537888042;0,465524147254798;-0,572156407143797;0,975362743890112;8,5172143277171e-05;0,0113979199607703;0,0131541640058395;0,0273884097869313;1,17836973178048e-05;0,0130240274426894;0,019673897637146;0,0452176344960846;0,150104737332341;0,0010188180645188
