"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"devenir";0,478;-0,3673;-0,192;-0,0691;-0,1127
"lors";0,3784;-0,3113;-0,0918;-0,033;-0,0539
"accidentellement";-7,8443;8,2739;-0,1085;-0,039;-0,0637
"maloney";-4,2233;-3,9846;28,3382;-0,021;-0,0343
"évolution";-0,4141;0,4736;-0,0501;-0,018;-0,0294
"substance";1,4811;-1,3647;-0,0459;-0,0165;-0,0269
"karim";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"vigi";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"rythmé";-22,8342;24,1583;-0,3423;-0,1231;-0,2009
"unir";2,1611;-1,913;-0,1377;-0,0495;-0,0808
"leurs";2,1494;-1,7524;-0,3674;-0,1321;-0,2157
"sortir";0,2986;-0,3685;-0,1127;-0,0405;0,85
"commentaire";6,3107;-5,9774;-0,0876;-0,0315;-0,0514
"machine";-1,266;0,2405;-0,0417;-0,015;4,6873
"zorbb";-3,3182;3,4999;-0,0459;-0,0165;-0,0269
"réalisateur";1,2584;-1,1573;-0,0417;-0,015;-0,0245
"sentir";1,4923;-1,3397;-0,0793;-0,0285;-0,0465
"peur";0,7097;-0,6321;-0,0501;-0,018;-0,0294
"député";9,6175;-9,1095;-0,1335;-0,048;-0,0784
"espèce";-0,4256;0,4809;-0,0417;-0,015;-0,0245
"toute";0,5641;-0,6921;0,6863;-0,036;-0,0588
"affaire";1,6581;-1,4725;-0,1043;-0,0375;-0,0612
"chronique";8,6755;-9,679;-0,1419;-0,051;0,7582
"vigier";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"ambre";15,632;-14,8062;-0,217;-0,0781;-0,1274
"rick";-3,9216;4,1363;-0,0542;-0,0195;-0,0318
"guerre";-1,4209;1,5662;-0,0668;-0,024;-0,0392
"souvenir";-1,9797;2,1538;-0,0668;-0,024;-0,0392
"demander";-1,4131;1,5797;-0,0876;-0,0315;-0,0514
"parler";2,7217;-3,0408;-0,1168;-0,042;0,8354
"fry";-15,9952;16,8713;-0,2212;-0,0796;-0,1298
"penser";0,5304;-0,4325;-0,1252;-0,045;-0,0735
"suivre";0,8766;-0,7637;-0,0835;-0,03;-0,049
"superhéros";-17,2032;18,1455;-0,2379;-0,0856;-0,1396
"évoquer";12,4475;-13,3818;-0,1962;0,8241;-0,1151
"emploi";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"tête";-22,908;24,622;-0,5137;-0,1848;-0,3015
"empêcher";-0,9493;1,0445;-0,0459;-0,0165;-0,0269
"marcher";1,71;-2,3321;-0,0501;-0,018;1,1842
"possible";1,6782;-1,5105;-0,0835;-0,03;-0,049
"hassaine";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"théorie";3,5784;-3,3548;-0,0668;-0,024;-0,0392
"fou";0,7419;-0,6429;-0,0793;-0,0285;-0,0465
"expérience";1,1329;-1,0291;-0,0501;-0,018;-0,0294
"technologie";3,3601;-3,1028;-0,0918;-0,033;-0,0539
"observation";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"sol";0,762;-0,6875;-0,0417;-0,015;-0,0245
"son";-3,1222;1,5219;0,4682;-0,4633;7,5457
"ligue";-6,939;-0,8451;22,4601;1,1169;-0,0563
"corps";-0,9454;1,0898;-0,1043;-0,0375;-0,0612
"minute";6,4028;-5,957;-0,1419;-0,051;-0,0833
"cette";1,5739;-1,4196;-0,4008;0,549;-0,2353
"solère";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"égyptien";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"sommaire";1,9674;-3,3548;-0,0668;2,8612;-0,0392
"nadia";5,409;-5,1233;-0,0751;-0,027;-0,0441
"daam";5,409;-5,1233;-0,0751;-0,027;-0,0441
"reportage";8,6755;-8,1671;-0,1419;-0,051;-0,0833
"explorer";3,0317;-2,8396;-0,0584;-0,021;-0,0343
"convaincre";-4,2233;4,4546;-0,0584;-0,021;-0,0343
"si";2,1048;-1,8056;-0,2087;-0,0751;-0,1225
"sa";-2,2604;2,7804;-0,8567;-0,3081;-0,1678
"se";-3,8605;4,5147;-0,4534;-0,5237;-0,3805
"extraterrestre";-13,8235;16,132;-1,137;-0,9047;-0,8304
"internet";3,1117;-2,8368;-0,1127;-0,0405;-0,0661
"million";6,6113;-6,2621;-0,0918;-0,033;-0,0539
"city";-50,1629;52,9119;-0,6935;-0,2494;-0,407
"2";13,8274;-13,0969;-0,192;-0,0691;-0,1127
"plein";-17,1413;15,7426;-0,4217;2,2788;-0,2475
"tendance";0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"sophie";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"aller";-0,6091;0,8127;-0,3298;-0,1186;-0,1936
"perdre";-1,5038;1,6677;-0,0793;-0,0285;-0,0465
"affirmer";2,8778;-2,635;-0,096;-0,0345;-0,0563
"semaine";4,0351;-3,7145;-0,1168;-0,042;-0,0686
"comédien";6,0101;-5,6927;-0,0835;-0,03;-0,049
"différent";1,7497;-1,6007;-0,0626;-0,0225;-0,0367
"extra_terrestre";-1,6718;1,9344;-0,1753;-0,063;-0,1029
"inattendu";-3,3196;3,537;-0,0626;-0,0225;-0,0367
"monde";-4,5919;5,6921;-0,9404;-0,3382;-0,552
"roger";-28,189;29,8112;-0,4175;-0,1502;-0,2451
"visiteur";1,8322;-1,6316;-0,1085;-0,039;-0,0637
"naulleau";3,6058;-3,4153;-0,0501;-0,018;-0,0294
"lilia";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"désert";1,0287;-0,8822;-0,1168;-0,042;-0,0686
"humoriste";2,9227;-4,8386;-0,0709;-0,0255;2,392
"s";-2,4081;2,9814;-0,4238;-0,3307;-0,5397
"seulement";-1,266;1,3731;-0,0417;-0,015;-0,0245
"ceux";-0,2066;0,2405;-0,0417;-0,015;-0,0245
"former";5,8803;-5,466;-0,1335;-0,048;-0,0784
"situation";-1,2321;1,3618;-0,0626;-0,0225;-0,0367
"perquisition";6,0101;-5,6927;-0,0835;-0,03;-0,049
"twiste";-8,4479;-7,9704;56,8185;-0,042;-0,0686
"esprit";1,9643;-1,8349;-0,0417;-0,015;-0,0245
"succès";2,1834;-2,0209;-0,0584;-0,021;-0,0343
"tomber";-2,401;2,6647;-0,121;-0,0435;-0,071
"vouloir";-0,7372;0,9063;-0,1878;-0,0676;-0,1102
"laisser";-1,1263;1,1052;-0,2045;-0,0736;0,6171
"époque";-0,7913;0,9237;-0,1085;-0,039;-0,0637
"intervenir";-21,7937;21,7974;-0,3716;0,5769;-0,2181
"télé";3,4303;-3,1898;-0,0793;-0,0285;-0,0465
"origine";0,5621;-0,442;-0,1795;-0,0645;-0,1053
"italie";2,7611;-2,5847;-0,0542;-0,0195;-0,0318
"plusieurs";0,9354;-0,8047;-0,1043;-0,0375;-0,0612
"édition";12,023;-11,3879;-0,1669;-0,06;-0,098
"répondre";6,5053;-6,0275;-0,1586;-0,057;-0,0931
"présenter";1,2001;-10,718;16,6947;1,722;1,3332
"chaîne";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"an";1,7423;-1,8652;-0,3423;-0,1231;1,1074
"au";3,8955;-6,0042;-0,2985;2,5361;2,9668
"spatial";-0,3877;0,4616;-0,0835;-0,03;-0,049
"écrivain";8,1143;-7,6857;-0,1127;-0,0405;-0,0661
"terre";-0,89;1,0895;-0,2033;-0,2043;-0,3334
"tv";1,5375;-2,8396;2,1138;-0,021;-0,0343
"criminalité";-16,5992;17,5084;-0,2296;-0,0826;-0,1347
"projet";0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"retourner";-0,7676;0,8477;-0,0417;-0,015;-0,0245
"sans";-0,2536;0,3363;-0,1753;-0,063;-0,1029
"animer";3,0047;-2,846;-0,0417;-0,015;-0,0245
"christophe";16,2336;-15,376;-0,2254;-0,0811;-0,1323
"espace";-0,4746;0,4714;0,4053;-0,0781;-0,1274
"vie";9,9769;-8,8847;-0,5053;-0,1817;-0,2966
"mort";0,9746;-0,866;-0,0668;-0,024;-0,0392
"teen";-29,6796;31,3846;-0,4384;-0,1577;-0,2573
"tester";-0,4256;0,2405;-0,0417;1,469;-0,0245
"science";2,7611;-2,5847;-0,0542;-0,0195;-0,0318
"information";2,2216;-2,0251;-0,0835;-0,03;-0,049
"notre";1,4449;-1,2021;-0,217;-0,0781;-0,1274
"débat";10,2189;-9,679;-0,1419;-0,051;-0,0833
"signe";0,5592;-0,4954;-0,0459;-0,0165;-0,0269
"visuel";9,3169;-8,8247;-0,1294;-0,0465;-0,0759
"boucherie";3,0047;-2,846;-0,0417;-0,015;-0,0245
"personne";2,8818;-3,0739;-0,1544;-0,0555;0,725
"recette";4,2068;-3,9846;-0,0584;-0,021;-0,0343
"comprendre";-0,5516;0,6997;-0,2045;-0,0736;-0,12
"jusqu_à";-0,4141;0,4736;-0,0501;-0,018;-0,0294
"jeu";-0,9838;-0,8451;7,1837;1,1169;-0,0563
"avec";0,3728;-0,3562;-2,128;2,0581;0,2634
"contre";-13,7609;14,9657;-0,4092;-0,1472;-0,2402
"diffusion";1,4811;-1,3647;-0,0459;-0,0165;-0,0269
"dernier";1,9093;-2,283;-0,2129;0,7915;0,602
"leçon";1,5375;-1,4037;-0,0584;-0,021;-0,0343
"grandir";-18,3842;19,6463;-0,359;-0,1291;-0,2107
"plan";-0,377;0,4601;-0,1085;-0,039;-0,0637
"toujours";-0,304;0,2752;-0,1628;0,8993;-0,0955
"ahmed";3,0047;-2,846;-0,0417;-0,015;-0,0245
"secte";4,5073;-4,2693;-0,0626;-0,0225;-0,0367
"croire";0,3685;-0,6384;-0,1168;-0,042;1,9657
"ses";-38,9769;41,9366;-1,0085;-0,6127;-0,4792
"notamment";3,3052;-3,1307;-0,0459;-0,0165;-0,0269
"europe";2,4264;-2,2484;-0,0626;-0,0225;-0,0367
"incident";-17,5171;18,7639;-0,3632;-0,1306;-0,2132
"recherche";0,6566;-0,5024;-0,2463;-0,0886;-0,1446
