"";"*genre_Cultureconnaissance";"*genre_Fiction";"*genre_Jeunesse";"*genre_Sport";"*genre_Variétésdivertissement"
"attaquer";1;9;0;0;0
"télévision";12;2;0;0;0
"quitter";12;90;0;0;0
"astrobiologiste";15;0;0;0;0
"inviter";51;1;0;1;2
"ce";118;60;0;0;1
"seuil";14;0;0;0;0
"après";26;150;1;0;1
"ados";2;81;0;0;0
"éléphant";26;1;0;0;0
"site";28;7;0;0;0
"paul";60;6;0;0;0
"politique";33;0;0;0;0
"crise";11;1;0;0;1
"manège";8;3;0;0;0
"imedia";184;352;15;6;6
"hier";13;0;0;0;0
"alliance";16;1;0;0;0
"catherine";7;18;0;0;0
"lune";7;6;0;0;0
"nommer";6;4;0;0;0
"milieu";4;8;0;0;0
"participer";4;8;0;0;0
"seul";11;17;0;0;0
"survivre";0;17;0;0;0
"tamaran";0;81;0;0;0
"mauvais";12;4;0;0;0
"chez";28;10;0;0;0
"chef";17;2;0;0;0
"hors";28;3;0;0;0
"communauté";14;1;0;0;0
"servir";36;3;0;0;0
"appeler";9;6;0;0;0
"falloir";12;13;1;0;0
"soucoupe";3;15;0;0;0
"interview";85;2;0;0;2
"nombre";11;1;0;0;0
"pizza";1;43;0;0;0
"rire";12;1;0;0;0
"l";877;618;4;7;8
"alexis";13;0;0;0;0
"survivant";0;18;0;0;0
"enlever";1;15;0;0;0
"responsable";8;4;0;0;0
"prendre";24;76;0;0;0
"alors";16;47;0;0;0
"livreur";0;43;0;0;0
"état";20;2;0;0;0
"plaindre";8;2;0;0;0
"grave";2;106;0;0;0
"avouer";1;9;0;0;0
"de";2087;1497;22;14;32
"du";484;115;1;4;12
"malgré";2;19;0;0;0
"déage";10;0;0;0;0
"bien";31;116;1;0;0
"auteur";51;2;0;0;3
"bras";6;4;0;0;0
"ils";85;316;0;0;1
"thierry";24;0;0;1;0
"carbonnier";40;0;0;0;0
"bunny";0;1;15;0;0
"raid";15;0;0;0;0
"déclaration";25;0;0;0;0
"contact";20;8;0;0;0
"the";15;2;0;0;2
"poser";9;9;0;0;0
"lci";22;0;0;0;0
"bord";1;13;0;0;0
"loin";5;7;0;0;0
"connaître";22;9;0;0;1
"peupler";1;25;0;0;0
"commencer";15;8;0;0;5
"occasion";15;2;0;0;1
"sujet";31;2;0;0;1
"rentrer";7;5;0;0;0
"zone";9;2;0;0;0
"donner";19;14;1;0;0
"partager";8;4;0;0;0
"quelques";17;5;1;0;0
"urgentiste";12;0;0;0;0
"gilet";22;0;0;0;0
"ciel";26;4;0;0;0
"finir";5;68;0;0;0
"echoué";0;15;0;0;0
"cas";27;3;0;0;0
"car";8;11;0;0;0
"discussion";13;0;0;0;0
"cours";16;6;0;0;0
"michel";15;2;0;0;1
"cafard";0;0;14;0;0
"découvrir";25;46;0;1;1
"forme";26;11;0;0;0
"valérie";15;0;0;0;0
"nom";7;5;0;0;0
"non";32;12;0;0;0
"emmener";2;8;0;0;0
"nos";16;11;0;0;0
"en";472;277;5;5;3
"ex";14;0;0;0;0
"et";731;846;62;11;10
"album";8;0;0;0;7
"marine";9;5;0;0;0
"message";8;11;0;0;0
"incroyable";16;4;0;0;0
"premier";52;12;0;0;3
"presque";8;2;0;0;0
"deux";23;29;0;0;0
"ligne";10;0;0;0;0
"étrange";36;23;0;0;0
"disparaître";2;15;0;0;0
"secrétaire";28;1;0;0;0
"joli";1;16;0;0;0
"leur";60;332;2;0;1
"sport";9;4;0;0;0
"3";49;1;0;0;0
"vrai";12;3;0;0;1
"près_de";8;9;0;0;0
"tropical";0;79;0;0;0
"maïa";37;0;0;0;0
"prétexte";0;80;0;0;0
"explication";7;5;0;0;0
"soir";16;3;0;0;0
"media";10;0;0;0;0
"fruit";8;3;0;0;0
"glacier";26;0;0;0;0
"européen";27;0;0;0;0
"ami";10;28;1;0;0
"certains";20;3;0;0;0
"faire";146;164;0;2;2
"héros";5;6;2;0;0
"vilain";8;1;1;0;0
"vendre";4;10;0;0;0
"intervention";7;3;0;0;0
"loi";11;0;0;0;0
"chambre";3;8;0;0;0
"giorgio";19;0;0;0;0
"vers";7;8;0;0;0
"aile";0;81;0;0;0
"médecin";16;3;0;0;0
"iran";18;0;0;0;0
"aimer";12;4;0;0;0
"vidéo";19;2;1;0;0
"réalité";19;16;0;0;0
"visage";12;3;0;0;0
"posséder";11;25;0;0;0
"suivant";8;4;0;0;0
"fr";8;2;0;0;0
"invasion";1;12;1;0;0
"documentaire";11;0;0;0;0
"cet";15;12;0;0;0
"ces";65;74;0;0;0
"base";6;9;0;0;0
"dire";20;15;0;0;0
"selon";37;4;0;0;0
"diffuser";28;0;0;0;0
"tf1";39;7;0;0;0
"téléspectateur";10;0;0;0;0
"véritable";10;8;0;0;0
"charlotte";9;0;0;0;2
"aussi";55;103;0;0;0
"jour";23;12;0;0;0
"justice";10;1;0;0;0
"international";10;1;0;0;0
"événement";7;9;0;0;0
"voler";1;88;0;0;0
"culture";30;1;0;0;0
"portrait";11;3;0;0;0
"effet";5;9;0;0;0
"sophia";3;7;0;0;0
"créature";25;9;0;0;0
"planète";15;144;0;0;0
"docteur";4;6;1;0;0
"grand";51;24;0;6;0
"000";8;6;0;0;0
"coup";6;4;0;0;1
"autres";33;96;0;0;0
"pierre";22;0;0;0;0
"jouer";4;9;0;0;1
"jamais";13;2;0;0;1
"être";711;758;16;3;3
"hapsatou";11;0;0;0;0
"pauline";19;0;0;0;0
"cryogénisé";0;43;0;0;0
"rester";19;12;0;1;0
"visite";13;6;0;0;0
"structure";14;0;0;0;0
"peut_être";9;6;0;0;0
"utiliser";14;7;0;0;0
"rencontre";18;5;0;4;0
"supervilains";0;0;14;0;0
"suite";17;1;0;0;0
"scientologie";16;0;0;0;0
"apprendre";5;6;0;0;0
"avoir";645;788;0;0;5
"michael";7;4;0;0;0
"élection";14;0;0;0;0
"jump";0;82;0;0;0
"cela";11;2;0;0;0
"gens";16;1;0;0;0
"danger";0;94;0;0;0
"français";46;4;0;0;2
"gitan";14;0;0;0;0
"volant";12;17;0;0;0
"entrer";11;5;0;0;0
"heure";13;4;0;0;0
"également";12;5;0;2;0
"rencontrer";9;16;0;0;0
"représentant";10;1;0;0;0
"avocat";25;0;0;0;0
"cause";6;5;0;0;0
"université";10;5;0;0;0
"lancer";12;9;0;0;0
"ovni";50;19;0;0;2
"adopter";3;83;0;0;0
"sy";24;0;0;0;0
"liste";10;1;0;0;0
"âge";8;6;0;0;0
"jaune";22;1;0;0;0
"maintenant";5;8;0;0;0
"laurent";10;0;0;0;1
"réaliser";16;6;0;0;0
"courir";6;88;0;0;0
"rubrique";9;0;0;3;0
"trouver";25;32;0;0;0
"mohammed";11;0;0;0;0
"j";13;0;0;0;1
"média";13;0;0;0;0
"preuve";31;2;0;0;0
"macron";15;0;0;0;0
"luc";29;1;0;0;0
