"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"mystère";-0,0135;-0,1254;-0,3451;-0,1941;-0,1717;0,6477;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;-0,4862;-0,1912;-0,0424;5,9622;-0,072;-0,2154;0,5945;-0,0108
"kelly";-0,0148;-0,1369;13,8925;-0,2118;-1,0541;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;-0,4839;-0,0118
"retrouver";-0,0431;-0,3993;-1,0985;-0,6178;0,3322;0,2572;-0,9185;-0,2187;1,8676;-0,0172;2,7375;-1,5476;-0,2228;-0,135;-0,1176;0,3873;-1,1947;3,8355;-0,0344
"victime";-0,0135;-0,1254;-0,3451;1,1634;1,4474;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;1,1745;-0,0108
"d";0,606;-3,2477;-4,209;-0,5227;-0,3755;0,8244;1,478;0,3627;-1,2483;-0,136;-0,4962;-0,5482;-0,5684;-0,9949;-1,0759;-0,2753;2,5322;1,314;0,4812
"technologie";-0,0197;-0,1825;-0,502;0,3205;-1,4056;-0,2077;-1,0323;-0,2748;-0,1001;-0,0079;-0,1794;-0,7073;-0,2781;-0,0617;5,2338;-0,1047;3,6256;0,3756;-0,0157
"alexandre";-0,0197;-0,1825;16,1942;-0,2824;-0,744;-0,5922;-1,0323;-0,2748;-0,1001;-0,0079;-0,1794;-0,7073;-0,2781;-0,0617;-0,0538;-0,1047;-0,8955;-0,6452;-0,0157
"frère";-0,0209;0,4436;-0,5334;0,302;0,4203;-0,2291;-1,0969;0,8562;-0,1064;-0,0084;-0,1906;1,712;-0,2955;-0,0655;-0,0571;-0,1112;-0,9515;0,7287;-0,0167
"t";-0,0295;-0,2737;-0,7531;0,6064;0,5726;0,506;-1,5487;-0,4122;-0,1502;-0,0118;-0,2691;-0,2322;-0,4172;0,7169;0,7709;0,5179;0,8059;0,4446;-0,0236
"où";-0,0542;-0,502;-1,3812;0,2778;0,557;0,8343;-1,3299;0,6151;1,6023;-0,0216;-0,1607;-1,1885;-0,765;2,1595;-0,1479;0,3145;-0,4292;1,425;-0,0433
"millénaire";-0,0554;-0,5134;-1,4126;-0,3369;-3,9549;-1,6662;-2,9047;-0,7731;-0,2817;-0,0221;-0,5048;-1,9901;55,2189;-0,1735;-0,1512;0,8372;-2,5198;-1,8153;-0,0443
"meilleur";-0,0135;-0,1254;4,4119;-0,1941;-0,1717;-0,4071;-0,7097;-0,1889;0,8339;-0,0054;-0,1233;-0,148;-0,1912;-0,0424;-0,037;-0,072;-0,6156;-0,4435;1,6088
"observation";-0,0135;-0,1254;-0,3451;0,4432;-0,9663;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;-0,4862;-0,1912;-0,0424;-0,037;-0,072;8,1888;-0,4435;-0,0108
"un";1,1315;-1,5439;-11,6385;-1,3525;0,5849;1,958;-4,0908;-0,7687;0,783;0,2255;3,4719;-12,1114;70,565;-0,7678;-0,8544;-2,6309;-1,5551;0,3766;0,2706
"tirailleur";-0,0123;-0,114;-0,3137;-0,1765;-0,8784;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;10,148;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"décontraction";-0,032;-0,2966;-0,8159;-0,4589;-2,2844;-0,9624;22,3847;-0,4466;-0,1627;-0,0128;-0,2916;-1,1495;-0,4519;-0,1002;-0,0874;-0,1701;-1,4555;-1,0486;-0,0256
"astronaute";-0,0492;-0,4563;-1,2555;-0,2812;-1,8227;-0,8218;-2,5817;1,7314;-0,2504;-0,0197;-0,4487;-1,0454;-0,6954;-0,1543;3,5962;4,5672;8,2836;-1,6135;-0,0394
"pouvoir";0,995;-1,3881;-2,6172;-1,7581;-1,439;-1,6258;6,5779;0,4981;-0,6154;-0,0936;-0,3313;-3,303;-3,3101;-0,7342;0,3655;0,8046;12,0012;-1,9708;-0,1874
"découverte";-0,0308;-0,2852;0,2774;-0,4413;0,7991;-0,4169;-1,6132;0,2021;-0,1565;-0,0123;-0,2804;-0,2524;-0,4346;-0,0964;-0,084;-0,1636;2,7417;0,4154;-0,0246
"millier";-0,0185;0,4873;-0,4707;-0,2647;-0,6779;-0,1869;-0,9678;0,3493;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;5,9539;-0,214;-0,0148
"continuer";-0,0197;-0,1825;-0,502;-0,2824;0,2347;-0,5922;-1,0323;0,329;0,6863;-0,0079;-0,1794;0,3304;-0,2781;-0,0617;-0,0538;-0,1047;2,7993;0,3756;-0,0157
"ambre";-0,0591;-0,5477;-1,5068;-0,8475;-4,2187;-1,7773;-3,0984;-0,8247;-0,3005;-0,0236;-0,5385;48,8105;-0,8346;-0,1851;-0,1613;-0,3142;-2,6879;-1,9364;-0,0473
"les";1,2109;-0,2959;-5,3441;0,3848;0,7887;0,9099;-1,2453;-0,8943;0,4679;0,5119;-0,5211;-4,8226;-15,7595;-0,4513;3,5734;1,3697;11,1553;0,8897;1,61
"beaucoup";-0,0197;-0,1825;0,5116;-0,2824;2,401;0,4201;-1,0323;-0,2748;-0,1001;-0,0079;-0,1794;-0,7073;-0,2781;-0,0617;-0,0538;-0,1047;0,5172;-0,2374;-0,0157
"pour";1,8161;0,7865;-4,3303;0,9083;3,3092;3,1644;-1,2436;0,9855;0,686;1,2582;0,8217;-0,6248;-2,542;-0,3662;-0,571;-0,3596;-2,6686;-0,6751;-0,3311
"laëtitia";-0,0185;-0,1711;17,3691;-0,2647;-1,3177;-0,5552;-0,9678;-0,2576;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;-0,6049;-0,0148
"animal";-0,0258;0,3727;1,2651;-0,3706;1,1318;-0,3196;-1,355;-0,3607;0,5831;-0,0103;-0,2355;-0,4164;-0,365;0,7694;-0,0706;-0,1374;0,613;-0,3634;-0,0207
"pyramide";-0,0148;-0,1369;-0,3765;-0,2118;-1,0541;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;0,7815;9,0699;-0,4839;-0,0118
"robot";-0,0418;-0,3879;-1,0671;-0,218;-2,0517;-0,3307;-2,1943;-0,2088;0,4118;-0,0167;0,2333;-1,5034;29,5346;-0,1311;-0,1143;-0,2225;-1,9035;-0,7368;-0,0335
"comme";-0,0825;0,2831;-0,8372;-0,6054;-0,3802;-0,4537;6,4686;0,928;-0,4196;-0,033;-0,3116;-1,4369;-1,1653;0,3482;-0,2252;0,577;-0,2382;-1,2484;-0,066
"temps";1,165;-0,2852;-0,7845;0,1952;-0,2954;-0,1772;-0,9137;0,5976;0,5192;-0,0123;-0,2804;-0,2524;-0,4346;0,7011;-0,084;0,5032;1,1372;0,4154;-0,0246
"façon";-0,0123;-0,114;-0,3137;0,4764;0,2433;0,712;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;1,1891;-0,1738;-0,0385;-0,0336;-0,0654;0,4619;-0,4032;-0,0098
"03";-0,0197;0,4646;0,5116;-0,2824;-1,4056;-0,5922;-1,0323;-0,2748;-0,1001;-0,0079;-0,1794;4,3184;-0,2781;-0,0617;-0,0538;-0,1047;-0,8955;1,9841;-0,0157
"face";-0,0135;-0,1254;-0,3451;-0,1941;2,9454;-0,4071;0,3362;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;0,1939;-0,0108
"rouge";-0,0123;-0,114;-0,3137;-0,1765;1,6409;0,712;-0,6452;0,486;-0,0626;-0,0049;0,643;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"montrer";-0,0295;-0,2737;-0,3061;-0,4236;1,2385;3,3587;-1,5487;0,2126;-0,1502;-0,0118;0,3355;-0,5081;-0,4172;-0,0925;-0,0806;-0,1571;-0,7097;0,4446;-0,0236
"tenter";-0,0726;-0,6733;-1,8524;-0,504;-1,5352;-2,185;-2,7894;-1,0138;-0,3694;-0,029;0,7206;-2,6097;45,1584;-0,2276;-0,1983;-0,3863;-3,3044;0,5744;-0,0581
"quitter";-0,048;-0,4449;-0,6303;-0,2704;-0,591;-1,4439;13,2754;-0,67;-0,2441;-0,0192;-0,4374;-0,3273;-0,678;-0,1504;-0,1311;-0,2553;-2,1836;-0,2666;-0,0384
"inviter";-0,0418;0,6576;-1,0671;4,351;0,3634;-1,2587;-2,1943;1,3827;-0,2128;-0,0167;0,2333;3,6243;-0,5911;-0,1311;-0,1143;-0,2225;-1,9035;-0,7368;-0,0335
"ce";-0,1824;0,4704;-1,6926;-0,5319;2,4936;1,016;-4,6938;0,4552;0,4495;-0,0729;0,2815;-0,2718;-2,5769;1,985;-0,4981;0,7408;0,9068;-0,3526;-0,1459
"après";-0,1355;-1,2562;-3,4561;-0,7414;-2,6449;-0,7072;3,0883;-0,2393;-0,2741;-0,0542;0,2724;-2,3254;29,7838;-0,4246;0,6818;-0,2934;-3,3221;-0,8719;-0,1084
"site";-0,0357;0,2732;-0,9101;-0,5119;0,5647;-1,0735;-1,8715;-0,4981;-0,1815;-0,0143;-0,3252;0,513;-0,5041;0,644;-0,0974;1,1581;3,4676;0,3179;-0,0285
"avoir";-0,5346;-1,4573;-6,0111;-0,5235;-1,6804;-1,2528;4,4551;-1,1666;-1,8493;-0,4323;-0,34;-1,3732;1,7602;0,8238;-0,3059;5,0241;5,3786;-0,5292;0,2304
"alliance";-0,0197;1,1984;14,189;-0,2824;-1,4056;-0,5922;-1,0323;-0,2748;-0,1001;-0,0079;-0,1794;-0,7073;-0,2781;-0,0617;-0,0538;-0,1047;-0,8955;-0,6452;-0,0157
"lune";-0,0197;-0,1825;-0,502;-0,2824;-0,3794;2,9382;-1,0323;2,5505;0,6863;-0,0079;-0,1794;-0,7073;-0,2781;-0,0617;-0,0538;-0,1047;0,5172;-0,6452;-0,0157
"seul";-0,0221;-0,2053;-0,5648;-0,3177;-0,2403;0,3576;-0,5721;0,8158;-0,1127;-0,0089;0,4298;-0,329;1,4999;-0,0694;-0,0605;0,6243;0,4275;-0,2862;-0,0177
"mauvais";-0,0148;-0,1369;-0,3765;6,9835;-0,2085;0,1936;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;0,5398;-0,0118
"chez";-0,0221;6,7204;-0,5648;2,3103;0,3716;-0,6662;-1,1614;-0,3091;0,6412;-0,0089;-0,2018;-0,7957;-0,3128;0,8307;-0,0605;-0,1178;-1,0075;-0,2862;-0,0177
"chef";-0,0148;1,4286;-0,3765;0,4135;0,7891;-0,4441;-0,7742;0,4227;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;0,7815;0,3611;-0,1479;-0,0118
"appeler";-0,0123;0,6365;-0,3137;-0,1765;0,2433;-0,3701;-0,6452;0,486;-0,0626;-0,0049;-0,1121;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;0,9564;0,657;-0,0098
"qui";-0,2492;-1,1369;-8,9715;-0,6353;-0,4988;-0,4341;35,2591;-0,8661;0,6597;-0,2589;1,0996;-4,3024;-9,1537;0,4988;-0,2055;-1,3407;-0,3303;-2,538;-0,5182
"falloir";-0,0135;-0,1254;1,4373;-0,1941;2,9454;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;-0,4435;-0,0108
"françois";-0,0283;1,6803;-0,2866;1,9174;-0,4312;0,2434;-1,4841;1,2381;-0,144;-0,0113;-0,2579;1,1862;-0,3998;-0,0887;-0,0773;-0,1505;-1,2875;-0,1766;-0,0226
"soucoupe";-0,0185;-0,1711;-0,4707;-0,2647;-0,6779;1,5347;-0,4359;2,662;1,7222;-0,0074;1,262;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;-0,214;-0,0148
"nombre";-0,0123;-0,114;-0,3137;-0,1765;0,2433;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;0,1948;-0,1738;-0,0385;2,5926;-0,0654;1,6103;0,2184;-0,0098
"pizza";-0,0529;-0,4906;-1,3497;-0,3143;-3,779;-1,5921;-2,7755;-0,7387;-0,2692;-0,0212;-0,4823;-1,9016;57,7045;-0,1658;-0,1445;-0,2815;-2,4077;-1,7346;-0,0423
"l";-0,7144;2,0873;-2,9155;1,8223;0,6635;6,9151;-0,4556;3,4105;-0,2635;0,9256;-0,8794;-0,5434;-13,5048;-0,2727;-0,3739;-1,1187;-0,4556;-1,76;0,3626
"alexis";-0,016;-0,1483;15,0512;-0,2294;-1,142;-0,4811;-0,8387;-0,2232;-0,0814;-0,0064;-0,1458;-0,5747;-0,2259;-0,0501;-0,0437;-0,0851;-0,7276;-0,5242;-0,0128
"enlever";-0,0123;-0,114;-0,3137;-0,1765;-0,8784;-0,3701;0,3862;-0,1717;2,0697;-0,0049;2,7617;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;1,284;-0,0098
"prendre";-0,0985;-0,9132;-2,5125;-0,7772;-0,739;0,4827;-1,9951;-0,7484;-0,5011;-0,0394;0,4764;-2,5579;36,9594;0,2935;-0,269;-0,5239;-2,6241;-0,3681;-0,0788
"alors";1,002;-0,4221;-0,5845;-0,6532;-0,7774;2,0524;-0,6395;-0,2388;-0,2316;-0,0182;1,8476;-0,5349;1,2529;0,5528;-0,1243;-0,2422;-1,2867;0,979;1,0945
"livreur";-0,0529;-0,4906;-1,3497;-0,3143;-3,779;-1,5921;-2,7755;-0,7387;-0,2692;-0,0212;-0,4823;-1,9016;57,7045;-0,1658;-0,1445;-0,2815;-2,4077;-1,7346;-0,0423
"état";-0,0234;1,0665;-0,5962;-0,3353;-0,9481;-0,2734;-1,2259;0,2771;-0,1189;-0,0093;-0,2131;-0,8399;-0,3302;-0,0732;-0,0638;-0,1243;9,0474;-0,7662;-0,0187
"grave";-0,0615;-0,2028;-1,5696;-0,8828;-4,3946;-1,8514;40,5915;-0,8591;-0,3131;-0,0246;-0,5609;-2,2114;-0,8694;-0,1928;-0,1681;-0,3273;-2,7999;-2,0172;-0,0492
"de";-0,96;3,0604;3,5281;-0,494;4,2389;-0,9376;-4,3767;2,4898;-0,6284;0,432;-1,5529;-1,1921;1,1892;-1,7912;0,5651;-2,614;-6,3803;2,8638;0,3785
"du";-0,6604;4,5177;12,1372;-0,3477;0,8784;-0,3536;-29,6007;1,7642;-0,4458;0,3416;-0,5345;-0,2981;-6,9045;-0,3086;-1,8032;-0,5035;-0,6672;4,1005;-0,5282
"déage";-0,0123;-0,114;-0,3137;14,0124;-0,8784;-0,3701;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"bien";-0,0689;-0,2425;-1,042;-0,9888;-1,7961;0,3129;8,4056;-0,2009;-0,3506;-0,0276;-0,2362;-2,4769;-0,9738;0,4069;4,1391;0,6901;-0,5013;-0,5902;-0,0551
"ils";1,7783;-2,1606;-4,7619;-1,7444;-2,3269;0,6912;7,4768;-0,4;2,2149;-0,0932;-2,1242;-5,1685;-3,2927;2,8147;-0,2429;1,1843;2,1764;0,9423;-0,1864
"yacine";-0,0185;-0,1711;-0,4707;21,0293;-1,3177;-0,5552;-0,9678;-0,2576;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;-0,6049;-0,0148
"thierry";-0,0381;4,931;8,2793;-0,5472;-1,8232;0,9816;-2,0006;0,4693;-0,194;-0,0152;-0,3477;-0,7348;-0,5389;-0,1195;-0,1042;-0,2029;-1,7355;-0,6463;-0,0305
"carbonnier";-0,0492;-0,4563;-1,2555;-0,7062;-3,5152;-1,4809;-2,5817;-0,6871;-0,2504;-0,0197;-0,4487;40,6578;-0,6954;-0,1543;-0,1344;-0,2618;-2,2396;-1,6135;-0,0394
"jerry";-0,0123;-0,114;-0,3137;-0,1765;-0,8784;0,712;5,3425;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"raid";-0,0185;-0,1711;17,3691;-0,2647;-1,3177;-0,5552;-0,9678;-0,2576;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;-0,6049;-0,0148
"déclaration";-0,0271;0,3577;3,275;-0,3883;-1,9328;-0,8143;-1,4196;-0,3778;-0,1377;-0,0108;-0,2467;9,0325;-0,3824;-0,0848;-0,0739;-0,144;-1,2315;-0,8872;-0,0217
"contact";-0,0246;-0,2281;-0,6276;0,2546;-0,5798;0,3059;-1,2905;-0,3435;-0,1252;-0,0098;-0,2243;-0,8842;-0,3476;-0,0771;-0,0672;1,4499;6,3254;-0,3372;-0,0197
"the";-0,0135;3,8933;-0,3451;0,4432;-0,4264;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;1,5138;-0,148;-0,1912;-0,0424;-0,037;-0,072;-0,2154;0,1939;-0,0108
"photo";-0,0295;0,3301;-0,7531;-0,4236;0,5726;0,8941;-1,5487;-0,4122;-0,1502;-0,0118;-0,2691;-0,5081;-0,4172;0,7169;-0,0806;-0,1571;-0,3644;3,8954;-0,0236
"transformer";-0,0135;-0,1254;-0,3451;2,0876;0,486;1,2625;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,148;-0,1912;-0,0424;-0,037;-0,072;-0,6156;-0,4435;-0,0108
"lci";-0,0258;-0,2395;9,9737;-0,3706;-1,8449;-0,7773;-1,355;-0,3607;-0,1314;-0,0103;-0,2355;3,3118;-0,365;-0,081;-0,0706;-0,1374;-1,1755;-0,8469;-0,0207
"bord";-0,0148;-0,1369;-0,3765;-0,2118;-0,487;7,5527;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;0,5398;-0,0118
"jacques";-0,0221;-0,2053;-0,5648;0,7973;2,6475;-0,251;-1,1614;-0,3091;0,6412;-0,0089;-0,2018;-0,7957;-0,3128;-0,0694;-0,0605;-0,1178;-1,0075;1,7561;-0,0177
"loin";-0,0123;-0,114;-0,3137;-0,1765;0,5657;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;1,5937;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;1,284;-0,0098
"connaître";-0,0332;0,2942;-0,8473;-0,4766;2,8031;0,7578;-1,7423;0,5502;-0,169;-0,0133;0,2993;-1,1937;-0,4693;0,6713;-0,0907;-0,1767;0,6542;-0,5292;-0,0266
"peupler";-0,032;-0,2966;-0,8159;-0,1411;-2,2844;-0,9624;-1,6778;-0,135;-0,1627;-0,0128;-0,2916;-1,1495;31,356;-0,1002;-0,0874;-0,1701;-1,4555;-1,0486;-0,0256
"commencer";-0,0185;-0,1711;-0,1435;-0,2647;1,38;-0,5552;-0,9678;-0,2576;-0,0939;-0,0074;0,4934;-0,2468;-0,2607;2,1207;-0,0504;0,6941;0,2544;-0,214;-0,0148
"archive";-0,0148;-0,1369;-0,3765;1,9756;-1,0541;1,164;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;2,5954;-0,0118
"sujet";-0,0381;-0,3536;1,2132;0,4542;0,4741;-0,5725;-2,0006;0,9307;-0,194;-0,0152;-0,3477;2,6868;-0,5389;-0,1195;-0,1042;-0,2029;-1,7355;0,5321;-0,0305
"zone";-0,0135;0,6005;-0,3451;-0,1941;0,486;0,2159;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;1,7813;-0,1912;-0,0424;-0,037;-0,072;0,4078;-0,4435;-0,0108
"donner";-0,0468;0,1997;-1,1927;1,1985;2,2653;-0,4089;-2,4526;-0,249;3,6995;1,3755;0,5979;-1,6804;-0,6606;-0,1465;-0,1277;-0,2487;-0,509;0,6121;-0,0374
"quelques";-0,0295;-0,2737;-0,7531;0,2055;2,7416;1,9584;-1,5487;0,6233;-0,1502;-0,0118;-0,2691;-1,0611;-0,4172;-0,0925;-0,0806;-0,1571;0,2457;-0,4446;-0,0236
"urgentiste";-0,0148;-0,1369;11,6833;-0,2118;-1,0541;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;-0,4839;-0,0118
"ciel";-0,0345;-0,3194;-0,8787;-0,1594;-0,659;-0,4934;-1,0675;0,5284;0,4788;-0,0138;-0,314;-1,238;-0,4867;-0,108;-0,0941;-0,1832;8,8547;-0,2655;-0,0276
"cas";-0,0394;4,8336;-0,4729;-0,5649;-0,5562;1,3719;-2,0651;-0,5497;-0,2003;-0,0157;-0,3589;2,5819;-0,5563;-0,1234;-0,1075;0,4173;-0,6212;-0,3454;-0,0315
"discussion";-0,0185;-0,1711;6,8858;-0,2647;-1,3177;-0,5552;-0,9678;-0,2576;-0,0939;-0,0074;-0,1682;1,2999;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;0,41;-0,0148
"cours";-0,0234;-0,2167;-0,5962;-0,3353;1,8571;-0,2734;-0,6191;0,7782;-0,1189;-0,0093;-0,2131;-0,8399;-0,3302;-0,0732;-0,0638;-0,1243;0,3892;1,0885;-0,0187
"découvrir";-0,0566;-0,5248;-1,444;-0,3483;0,3261;1,5046;-2,0462;-0,3343;-0,288;1,2944;2,2116;-2,0343;-0,7998;1,2044;0,5236;-0,3011;1,7214;0,6576;-0,0453
"forme";-0,0381;-0,3536;-0,4512;-0,188;0,4741;-0,2758;-2,0006;-0,1801;1,1406;-0,0152;0,2589;-1,3707;-0,5389;-0,1195;-0,1042;0,428;5,3075;-0,6463;-0,0305
"nom";-0,0123;0,6365;-0,3137;-0,1765;-0,3676;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;1,6103;0,657;-0,0098
"non";-0,0394;0,2453;-0,4729;2,8336;-0,8618;-0,2938;-2,0651;-0,1895;-0,2003;-0,0157;0,7081;-0,7684;-0,5563;-0,1234;-0,1075;-0,2094;3,0456;0,5026;-0,0315
"nos";-0,0209;-0,1939;-0,1766;-0,3;2,2;0,3873;-1,0969;0,8562;-0,1064;-0,0084;-0,1906;-0,7515;-0,2955;-0,0655;0,9093;-0,1112;0,4699;-0,6855;-0,0167
"en";0,5848;0,7049;-16,7068;0,2846;12,6615;1,7133;-28,1545;2,3395;0,2689;0,8032;-0,4312;0,8622;4,4048;-0,2807;-0,5397;-1,8113;-2,1309;1,1048;-0,6201
"ex";-0,0258;-0,2395;7,4714;-0,3706;-1,0883;-0,7773;-1,355;-0,3607;-0,1314;-0,0103;-0,2355;1,9079;1,3252;-0,081;-0,0706;-0,1374;-1,1755;-0,8469;-0,0207
"et";-0,3807;0,5526;-1,0374;0,5125;3,2353;1,1807;1,2947;0,5251;4,0951;-0,1809;0,8335;-7,8341;-1,1947;-0,3995;-0,3761;-0,7179;-2,8556;0,3059;0,3614
"marine";-0,0135;1,5004;-0,3451;-0,1941;-0,9663;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;1,5138;1,0822;-0,1912;2,3914;-0,037;-0,072;0,4078;-0,4435;-0,0108
"toulouse";-0,0148;-0,1369;-0,3765;6,9835;-0,487;-0,4441;-0,3085;0,4227;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;0,5398;-0,0118
"message";-0,0123;-0,114;-0,3137;-0,1765;0,2433;0,712;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;2,5926;-0,0654;0,4619;0,657;-0,0098
"incroyable";-0,0221;-0,2053;-0,5648;-0,3177;-0,8792;0,7502;-1,1614;-0,3091;-0,1127;-0,0089;-0,2018;-0,7957;-0,3128;-0,0694;-0,0605;0,6243;7,055;-0,2862;-0,0177
"premier";-0,0652;0,8013;0,2926;0,7968;-0,9059;0,58;-3,4214;1,2684;0,7556;-0,0261;0,8165;0,8656;-0,421;0,4255;-0,1781;-0,347;0,3344;-0,5268;-0,0522
"déguiser";-0,0185;-0,1711;-0,4707;-0,2647;3,4044;-0,5552;-0,9678;0,9469;-0,0939;-0,0074;1,262;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;-0,8396;0,41;-0,0148
"deux";-0,0529;1,0001;0,2334;0,2881;-0,339;2,6913;-1,2827;-0,7387;1,6284;1,323;-0,1548;-0,4073;-0,7476;-0,1658;-0,1445;-0,2815;-1,5675;1,0848;-0,0423
"ligne";-0,0148;0,5682;-0,3765;-0,2118;0,4187;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;1,3234;1,7676;-0,0118
"étrange";-0,0579;-0,5363;-1,4754;-0,8298;-0,9337;0,4709;-1,4736;-0,8075;-0,2943;-0,0231;-0,5272;-2,0786;-0,8172;0,467;-0,158;0,8072;13,8982;-0,2256;-0,0463
"secrétaire";-0,0357;-0,3308;28,7412;-0,5119;-1,6727;-0,5195;-1,8715;-0,4981;-0,1815;-0,0143;-0,3252;-1,2822;-0,5041;-0,1118;-0,0974;-0,1898;-1,6235;-1,1696;-0,0285
"bruno";-0,0246;-0,2281;13,3245;-0,353;-1,0178;-0,7403;-1,2905;-0,3435;-0,1252;-0,0098;-0,2243;0,5162;-0,3476;-0,0771;-0,0672;-0,1309;-1,1195;-0,3372;-0,0197
"leur";0,4034;-0,7965;-5,5664;-0,228;-1,4292;-0,387;21,9923;-2,134;0,954;0,74;1,4171;-4,7171;-2,1661;-0,2713;0,4019;-0,5926;-2,1438;0,5142;-0,1745
"3";-0,0221;-0,2053;0,4435;-0,3177;0,3716;0,3576;-1,1614;0,2931;-0,1127;-0,0089;-0,2018;1,6059;-0,3128;0,8307;-0,0605;-0,1178;-1,0075;0,6771;-0,0177
"près_de";-0,0172;0,512;-0,4393;-0,2471;-0,2896;2,4121;-0,9033;0,3715;-0,0876;-0,0069;0,5181;0,3994;-0,2433;-0,054;-0,047;0,7209;-0,7836;-0,1912;-0,0138
"maïa";-0,0455;-0,4221;-1,1613;-0,6532;-3,2514;-1,3698;-2,388;-0,6356;-0,2316;-0,0182;-0,415;37,6024;-0,6432;-0,1427;-0,1243;-0,2422;-2,0716;-1,4924;-0,0364
"prétexte";-0,0948;-0,8789;-2,4181;-1,36;-6,7704;-2,8523;66,4376;-1,3234;-0,4823;-0,0379;-0,8641;-3,4068;-1,3394;-0,2971;-0,2589;-0,5042;-4,3136;-3,1076;-0,0758
"explication";-0,0148;-0,1369;-0,3765;0,4135;0,7891;0,5911;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;0,4867;-0,2085;-0,0463;1,0524;-0,0785;0,3611;-0,4839;-0,0118
"ami";-0,0271;-0,2509;-0,6904;1,2581;-0,6885;4,5269;-1,4196;-0,3778;2,4365;-0,0108;2,6726;-0,9726;-0,3824;-0,0848;-0,0739;-0,144;-1,2315;-0,3901;-0,0217
