de;3652;pre
la;1768;art_def
et;1660;con
l;1514;art_def
les;1498;art_def
être;1491;aux
d;1449;pre
avoir;1438;aux
le;1327;art_def
des;1268;art_ind
un;1202;art_ind
à;1159;pre
une;1087;art_ind
sur;826;pre
qui;801;pro_rel
en;762;pre
dans;656;pre
il;650;pro_per
du;616;art_def
source;606;nom
extraterrestre;600;adj
imedia;563;nr
pour;527;pre
avec;508;pre
ses;407;adj_pos
par;403;pre
ils;402;pro_per
leur;395;pro_per
que;387;pro_rel
ne;384;adv_sup
se;348;pro_per
pas;314;adv_sup
faire;314;ver_sup
mais;312;con
son;308;adj_pos
pouvoir;284;ver_sup
au;278;art_def
qu;276;con
elle;271;pro_per
petit;249;adj
monde;225;nom
19;221;num
s;220;pro_per
sa;205;adj_pos
fille;203;nom
aux;196;art_def
plus;195;adv_sup
20;185;num
ce;179;pro_dem
humour;178;nom
après;178;pre
aventure;176;nom
city;166;nom
ancien;163;adj
robin;161;nom
planète;159;nom
aussi;158;adv_sup
tous;152;pro_ind
extraire;148;ver
bien;148;adv_sup
comme;142;con
ces;139;adj_dem
starfire;137;nr
terre;136;nom
raven;136;nr
lui;134;pro_per
nouveau;130;adj
c;130;pro_dem
autres;129;pro_ind
sauver;125;ver
chroniqueur;124;nom
tête;123;nom
vie;121;nom
tout;121;pro_ind
super;119;adj
côté;118;nom
série;114;nom
parent;113;nom
aujourd_hui;113;adv_sup
titan;109;nom
grave;108;adj
france;107;nr
nombreux;106;adj
teen;105;nr
batman;105;nr
émission;104;nom
péril;104;nom
quitter;102;ver
plein;101;adj
grâce;101;pre
tenter;100;ver
roger;100;nr
prendre;100;ver
homme;99;nom
univers;98;nom
nous;98;pro_per
contre;98;pre
lorsque;97;con
ou;96;con
cette;96;adj_dem
terrien;95;nom
propre;94;adj
danger;94;nom
courir;94;ver
lointain;93;adj
jeune;93;adj
naître;91;ver
voler;89;ver
venir;89;ver
interview;89;nom
intervenir;89;ver
île;88;nom
provoquer;88;ver
leurs;88;adj_pos
jean;88;nom
manquer;87;ver
incident;87;nom
journaliste;86;nom
grandir;86;ver
figure;86;nom
comment;86;con
adopter;86;ver
entraîner;85;ver
y;84;pro_per
cirque;84;nom
prince;83;nom
ados;83;nom
rythmé;82;adj
jump;82;nr
animation;82;nom
an;82;nom_sup
tamaran;81;nr
grand;81;adj
gotham;81;nr
décontraction;81;nom
conquérant;81;nom
aile;81;nom
très;80;adv_sup
prétexte;80;nom
fois;80;nom
tropical;79;adj
fatou;79;nr
aller;79;ver
on;77;pro_per
passer;74;ver
21;74;num
invité;73;nom
finir;73;ver
découvrir;73;ver
ovni;71;nom
devoir;69;ver_sup
question;67;nom
premier;67;adj
paul;66;nr
retrouver;65;ver
alors;63;adv_sup
lutte;62;nom
présenter;61;ver
étrange;59;adj
toutes;59;pro_ind
recherche;59;nom
même;59;pro_ind
boy;59;nom
eau;58;nom
voir;57;ver
trouver;57;ver
superhéros;57;nr
boulot;57;nom
vous;56;pro_per
colocataire;56;nom
auteur;56;nom
inviter;55;ver
enfant;55;nom
cyborg;55;nr
criminalité;55;nom
beast;55;nr
année;55;nom
18;55;num
laure;54;nr
julien;54;adj
christophe;54;nr
histoire;53;nom
fry;53;nr
notre;52;adj_pos
français;52;adj
espace;52;nom
deux;52;adj_num
ambre;52;nom
retour;51;nom
départ;51;nom
dernier;51;adj
si;50;con
femme;50;nom
depuis;50;pre
3;50;num
réveiller;49;ver
où;49;pro_rel
laisser;49;ver
humanité;49;nom
humain;49;adj
durant;49;pre
comprendre;49;ver
gasnier;48;nr
film;48;nom
chalumeau;48;nom
bellver;48;nr
évoquer;47;ver
plateau;47;nom
eric;47;nr
tf1;46;nr
devenir;46;ver
2;46;num
vouloir;45;ver_sup
porte;45;nom
millénaire;45;nom
rendre;44;ver
pizza;44;nom
non;44;pro_per
citation;44;nom
américain;44;nom
savoir;43;ver_sup
origine;43;nom
new_yorkais;43;adj
mettre;43;ver
livreur;43;nom
dettinger;43;nr
cryogénisé;43;nr
2999;43;num
vivre;42;ver
sans;42;pre
partie;42;nom
membre;42;nom
général;42;adj
extra_terrestre;42;nom
selon;41;pre
partir;41;ver
mazaurette;41;nr
etienne;41;nr
astronaute;41;nom
édition;40;nom
vaisseau;40;nom
spécialiste;40;nom
entre;40;pre
carbonnier;40;nr
23;40;num
xavier;39;nom
toujours;39;adv_sup
servir;39;ver
ami;39;nom
scientifique;38;nom
répondre;38;ver
chez;38;pre
robot;37;nom
président;37;nom
phénomène;37;nom
personne;37;pro_ind
maïa;37;nom
forme;37;nom
famille;37;nom
acteur;37;nom
revenir;36;ver
posséder;36;ver
police;36;nom
enquête;36;nom
22;36;num
site;35;nom
réalité;35;nom
jour;35;nom
elles;35;pro_per
décider;35;ver
dire;35;ver_sup
curieux;35;adj
sujet;34;nom
reportage;34;nom
quand;34;con
minute;34;nom
livre;34;nom
françois;34;nr
extrait;34;nom
découverte;34;nom
débat;34;nom
donner;34;ver
créature;34;nom
chronique;34;adj
12;34;num
00;34;num
unir;33;ver
père;33;nom
preuve;33;nom
politique;33;nom
image;33;nom
actualité;33;nom
50;33;num
1;33;num
sous;32;pre
secret;32;adj
rester;32;ver
point;32;nom_sup
maison;32;nom
former;32;ver
fils;32;nom
député;32;nom
connaître;32;ver
cacher;32;ver
40;32;num
visuel;31;adj
quoi;31;pro_rel
hors;31;pre
environnement;31;nom
culture;31;nom
agir;31;ver
ville;30;nom
penser;30;ver
mère;30;nom
luc;30;nr
david;30;nr
ciel;30;nom
cas;30;nom
