"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,898757207111124;23,3946361819715;23,3946361819715
"facteur 2";0,830059618030398;21,6064390021258;45,0010751840973
"facteur 3";0,587308167044968;15,2876224924879;60,2886976765851
"facteur 4";0,56868025004406;14,8027381014464;75,0914357780315
"facteur 5";0,50147465154095;13,0533774132294;88,1448131912609
"facteur 6";0,455443482990085;11,8551868087391;100
