"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ovni";385,977;-7,053;-10,795;-9,174;-9,93;-20,283;-46,236
"btlv";-37,976;329,509;-6,189;-11,361;-0,241;-12,712;-28,977
"www";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"youtube";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"com";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"mikecriss";-28,814;-31,905;-23,057;-12,415;-11,765;-9,645;629,299
"blog";-29,489;-32,653;-18,52;-12,705;-12,041;-9,871;614,692
"https";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"tv";-10,814;-5,856;-5,388;-5,76;382,672;-4,475;-10,201
"extraterrestre";-13,653;-12,492;143,189;0,289;-0,717;-2,526;-10,418
"espace";-13,369;-7,711;-2,434;-5,76;-5,459;469,929;-10,201
"http";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"urn";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"ufo";-1,713;-1,896;7,455;3,026;-0,699;-0,573;-0,009
"vidéo";-1,22;-1,35;23,199;-0,525;-0,498;-0,408;-0,931
"zinzin";-11,127;-12,321;-9,981;-4,794;-4,543;567,185;-8,491
"watch";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"the";-6,55;-7,252;-0,733;-0,097;-2,674;-2,192;87,325
"fr";-2,209;0,006;14,838;0,03;-0,902;-0,739;-1,685
"radio";-9,755;130,927;-4,349;-4,203;-3,983;-3,265;-7,444
"partie";2,029;0,252;0,679;-1,167;0;-0,906;-2,066
"mystère";-5,767;27,762;-1,359;-2,485;8,5;-1,93;-4,4
"saison";-3,972;-6,962;-0,06;-0,063;-2,567;155,847;-4,798
"hd";-9,755;-10,802;-4,349;-2,187;-3,983;415,995;-7,444
"secret";-7,605;-5,974;0,646;-1,372;-0,208;-2,546;54,401
"aller";-6,812;24,528;-0,176;-2,935;-2,781;-2,28;2,283
"français";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"scicos";-0,627;-8,127;-4,285;190,521;-2,997;-2,457;-5,601
"petit";-5,249;-5,812;99,85;-2,262;-2,143;-1,757;-4,005
"paranormal";-6,288;69,649;-0,605;-2,709;-2,567;-2,105;-4,798
"alien";-6,027;-4,302;-0,023;141,492;-2,461;-2,017;-4,599
"vie";-4,223;25,587;1,593;-1,82;-1,724;-1,414;-3,222
"grand";-3,462;0,474;28,015;-1,492;-1,414;-1,159;-2,642
"david";-7,34;-5,692;-2,478;-3,162;0,067;-2,457;93,527
"crop";-4,478;-2,695;0,242;-1,93;3,953;-1,499;16,641
"nuréa";-7,34;-8,127;-6,584;-3,162;306,719;-2,457;-5,601
"france";48,888;-4,302;-0,023;-0,811;-2,461;-2,017;-4,599
"di";-5,249;-5,812;-2,53;-2,262;-2,143;-1,757;104,508
"part";-6,55;-7,252;-1,901;-0,992;-2,674;-2,192;109,154
"html";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"aliens";-5,249;-5,812;0,022;112,935;-2,143;-0,234;-4,005
"episode";-5,508;-6,098;-1,188;-2,373;-2,249;228,271;-4,203
"bob";-3,462;0,001;28,015;-0,089;-1,414;-1,159;-2,642
"inexpliqué";-3,462;35,77;-1,117;-1,492;-0,06;-1,159;-2,642
"compilation";-3,972;-6,962;-3,395;-2,709;-2,567;267,473;-4,798
"énigme";-1,466;0,54;4,272;0,369;-0,598;-0,491;-1,118
"monde";0,157;-2,171;11,017;-0,845;0,121;-0,656;-1,496
"channel";-0,974;-1,079;8,969;1,138;-0,398;-0,326;-0,743
"semaine";-1,466;14,048;-1,315;0,369;-0,598;-0,491;-1,118
"icke";-5,767;-6,386;-5,173;-2,485;-2,355;-1,93;128,956
"film";-1,466;-1,623;27,881;-0,632;-0,598;-0,491;-1,118
"code";-1,22;-1,35;23,199;-0,525;-0,498;-0,408;-0,931
"cinéma";65,326;-5,527;-0,865;-2,151;-2,038;-1,671;-3,809
"space";-4,734;-5,242;-4,247;-2,04;-1,933;-1,585;105,872
"i";-2,209;-0,55;8,853;6,087;-0,902;-0,739;-1,685
"video";-0,974;-1,079;8,969;1,138;-0,398;-0,326;-0,743
"trouver";-2,209;-2,446;8,853;13,066;-0,902;-0,739;-1,685
"novni";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"new";0,368;0,269;-0,654;2,011;-0,298;-0,244;-0,557
"ufologie";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"circles";-3,969;-2,18;-0,319;-1,71;5,129;-1,328;20,59
"sub";-4,734;-5,242;-2,111;-2,04;-1,933;-1,585;93,08
"histoire";-0,012;-2,998;22,986;-1,167;0;-0,906;-2,066
"by";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"spatial";-1,96;-2,171;26,805;-0,845;0,121;-0,656;-1,496
"révélation";-0,51;0,147;16,499;-1,71;-0,151;-1,328;-3,028
"ita";-4,478;-4,959;-4,017;-1,93;-1,829;-1,499;100,145
"edge";-4,478;-4,959;-4,017;-1,93;-1,829;-1,499;100,145
"cutting";-4,478;-4,959;-4,017;-1,93;-1,829;-1,499;100,145
"beyond";-4,478;-4,959;-4,017;-1,93;-1,829;-1,499;100,145
"spécial";1,35;-1,35;0,016;-0,525;0,745;1,136;-0,931
"nouveau";-2,458;-2,721;26,76;-1,059;0,013;0,092;-1,875
"facebook";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"annonce";-2,708;-0,974;10,28;-1,167;10,233;-0,906;-2,066
"émission";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"us";-0,974;-1,079;8,969;-0,42;1,259;-0,326;-0,743
"univers";-1,466;-0,073;9,847;0,369;-0,598;-0,491;-1,118
"nasa";-1,96;-2,171;11,017;0,088;-0,8;-0,656;0,545
"vérité";-2,958;1,09;13,669;-1,275;-0,007;-0,99;-2,257
"phénomène";-3,715;19,079;2,513;-1,601;-1,517;-1,244;-2,835
"nufo";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"enfant";-1,22;4,564;1,688;-0,525;-0,498;-0,408;-0,931
"zone";-2,458;-0,008;0,032;30,336;-1,004;-0,823;-1,875
"temps";-2,458;-0,756;12,31;0,004;-1,004;2,289;-1,875
"nteaser";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"mars";-1,22;-1,35;0,016;29,32;-0,498;-0,408;-0,931
"homme";-1,96;-2,171;5,713;15,57;-0,8;-0,656;-1,496
"extraire";-3,21;-1,438;-0,932;-1,383;92,614;-1,074;-2,449
"terre";-2,209;-2,446;31,417;-0,952;0,05;-0,739;-1,685
"r";2,387;-1,079;2,839;-0,42;-0,398;-0,326;-0,743
"premier";-1,22;1,075;6,109;-0,525;-0,498;-0,408;-0,931
"planète";-0,122;2,001;3,02;-0,738;-0,699;-0,573;-1,307
"partir";-2,708;-2,998;0,001;-1,167;-1,106;-0,906;37,272
"média";0,078;-1,079;2,839;-0,42;1,259;-0,326;-0,743
"venir";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"témoignage";0,078;0,036;2,839;-0,42;-0,398;-0,326;-0,743
"rencontre";-0,062;15,193;-0,754;-0,018;-1,208;-0,99;-2,257
"question";-1,466;-1,623;27,881;-0,632;-0,598;-0,491;-1,118
"nparanormal";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"mystérieux";-1,96;-0,363;5,713;7,451;-0,8;-0,656;-1,496
"mort";-1,466;14,048;-0,006;-0,632;-0,598;-0,491;-1,118
"jean";-1,713;17,695;-0,061;-0,738;-0,699;-0,573;-1,307
"dimensione";-2,708;-2,998;-0,584;-1,167;-1,106;-0,906;48,207
"ciel";19,753;-2,446;0,119;-0,952;-0,902;-0,739;-1,685
"étrange";0,157;-0,363;5,713;0,088;-0,8;-0,656;-1,496
"portali";-2,458;-2,721;-0,426;-1,059;-1,004;-0,823;42,708
"p";0,368;-0,808;4,901;-0,314;-0,298;-0,244;-0,557
"over";-1,22;-1,35;0,016;29,32;-0,498;-0,408;-0,931
"mission";-1,713;-1,896;13,859;-0,738;-0,699;-0,573;0,905
"incident";16,623;-1,079;-0,874;-0,42;-0,398;-0,326;-0,743
"filmer";16,506;-2,721;0,032;-1,059;0,013;-0,823;-1,875
"dei";-2,209;-2,446;-0,282;-0,952;0,05;-0,739;26,806
"ancien";-2,458;-0,756;18,843;-1,059;1,502;-0,823;-1,875
"altra";-2,458;-2,721;-0,426;-1,059;-1,004;-0,823;42,708
"série";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"science";-1,713;2,001;7,455;-0,738;-0,699;-0,573;-1,307
"réseau";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"nextraterrestre";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"nalien";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"meilleur";-1,466;-1,623;17,717;-0,632;-0,598;0,734;-1,118
"matin";41,936;-2,721;-2,205;-1,059;-1,004;-0,823;-1,875
"live";-0,252;21,389;-1,758;-0,845;-0,8;-0,656;-1,496
"libre";-2,209;17,555;0,119;-0,952;-0,902;-0,739;-1,685
"jour";-0,974;-1,079;8,969;1,138;-0,398;-0,326;-0,743
"cospirazione";-2,458;-2,721;-2,205;-1,059;-1,004;-0,823;54,959
"contact";-1,466;-0,073;9,847;0,369;-0,598;-0,491;-1,118
"cacher";-0,408;-2,446;14,838;1,741;-0,902;-0,739;-1,685
"épisode";-0,73;-0,808;4,901;-0,314;-0,298;2,901;-0,557
"spécialiste";-0,974;2,011;2,839;-0,42;-0,398;-0,326;-0,743
"répondre";-1,22;-1,35;23,199;-0,525;-0,498;-0,408;-0,931
"retrouver";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"recherche";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"propos";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"passer";-1,713;-1,896;22,233;-0,738;-0,699;0,47;-1,307
"noir";-1,713;-1,896;32,577;-0,738;-0,699;-0,573;-1,307
"janvier";-1,466;3,025;0,991;0,369;-0,598;-0,491;-1,118
"jacques";-1,96;8,309;-0,158;-0,845;2,534;-0,656;-1,496
"gli";-2,209;-2,446;-1,981;-0,952;-0,902;-0,739;49,388
"exister";-2,209;-2,446;22,359;1,741;-0,902;-0,739;-1,685
"découvrir";-1,96;-2,171;37,288;-0,845;-0,8;-0,656;-1,496
"découverte";-2,209;-2,446;42,012;-0,952;-0,902;-0,739;-1,685
"dr";-0,408;17,555;-0,282;-0,952;-0,902;-0,739;-1,685
"del";-1,713;-1,896;0,556;-0,738;-0,699;-0,573;16,758
"conscience";-1,22;1,075;6,109;-0,525;-0,498;-0,408;-0,931
"complet";-0,974;-1,079;8,969;-0,42;-0,398;1,778;-0,743
"bellanca";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"équipe";1,35;-0,004;1,688;-0,525;-0,498;-0,408;-0,931
"voir";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"vf";-1,22;-1,35;1,688;15,053;-0,498;-0,408;-0,931
"seul";-1,22;-1,35;23,199;-0,525;-0,498;-0,408;-0,931
"reportage";0,368;0,269;0,493;-0,314;-0,298;-0,244;-0,557
"quantique";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"pyramide";-1,96;14,09;-0,158;0,088;-0,8;-0,656;-1,496
"preuve";-1,96;-2,171;18,048;0,088;0,121;-0,656;-1,496
"prendre";-1,713;-0,199;22,233;-0,738;-0,699;-0,573;-1,307
"photo";-1,22;-1,35;6,109;5,499;-0,498;-0,408;-0,931
"of";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"musique";-0,73;-0,808;13,878;-0,314;-0,298;-0,244;-0,557
"jones";-1,96;-2,171;-0,158;-0,845;-0,8;-0,656;31,812
"intelligence";-0,974;-1,079;18,531;-0,42;-0,398;-0,326;-0,743
"incroyable";-1,466;-1,623;27,881;-0,632;-0,598;-0,491;-1,118
"fantôme";15,9;-2,171;0,283;-0,845;-0,8;-0,656;-1,496
"face";-1,466;0,54;0,991;4,039;-0,598;-0,491;-1,118
"extra_terrestre";-0,73;0,269;4,901;-0,314;-0,298;-0,244;-0,557
"expérience";-1,713;2,001;3,02;-0,738;0,242;-0,573;-1,307
"enlever";-1,466;-0,073;0,991;11,642;-0,598;-0,491;-1,118
"black";-0,031;-1,623;-0,006;23,178;-0,598;-0,491;-1,118
"bande_annonce";-1,96;-0,363;0,283;15,57;-0,8;0,292;-1,496
"archéologie";0,368;0,269;0,493;-0,314;-0,298;-0,244;-0,557
