"";"banalfreq";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"apprendre";11;-0,3026;0,3489;-0,0459;-0,0165;-0,0269
"michael";11;0,5592;-0,4954;-0,0459;-0,0165;-0,0269
"cela";13;1,9444;-1,7973;-0,0542;-0,0195;-0,0318
"volant";29;-0,6442;0,7679;-0,121;-0,0435;-0,071
"entrer";16;0,9746;-0,866;-0,0668;-0,024;-0,0392
"heure";17;1,6051;-1,4542;-0,0709;-0,0255;-0,0416
"rencontrer";25;-0,9454;1,0898;-0,1043;-0,0375;-0,0612
"cause";11;0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"université";15;0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"lancer";21;0,4762;-0,399;-0,0876;-0,0315;-0,0514
"âge";14;0,4009;-0,3441;-0,0584;-0,021;-0,0343
"maintenant";13;-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"réaliser";22;1,575;-1,4058;-0,0918;-0,033;-0,0539
"trouver";57;-0,6769;0,8589;-0,2379;-0,0856;-0,1396
"paranormal";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"carrière";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"femme";50;0,6146;-0,4779;-0,2087;-0,0751;-0,1225
"région";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"étude";10;0,762;-0,6875;-0,0417;-0,015;-0,0245
"inconnu";11;-0,564;0,6334;-0,0459;-0,0165;-0,0269
"chercher";28;-1,3677;1,5575;-0,1168;-0,042;-0,0686
"arrêter";12;-0,7155;0,7995;-0,0501;-0,018;-0,0294
"siècle";12;1,1329;-1,0291;-0,0501;-0,018;-0,0294
"voix";15;1,223;-1,6007;-0,0626;-0,0225;1,0909
"voir";57;0,2975;-0,2913;-0,2379;-0,0856;0,5607
"force";19;-0,4926;0,5766;-0,0793;-0,0285;-0,0465
"arme";10;-0,4256;0,4809;-0,0417;-0,015;-0,0245
"géant";19;0,7419;-0,6429;-0,0793;-0,0285;-0,0465
"famille";37;0,2982;0,2704;-0,1544;-0,0555;-0,0906
"créer";24;-0,3801;0,4603;-0,1001;-0,036;-0,0588
"surprise";10;-0,4256;0,4809;-0,0417;-0,015;-0,0245
"école";25;0,9354;-0,8047;-0,1043;-0,0375;-0,0612
"avion";11;0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"terrestre";15;-1,7609;1,9189;-0,0626;-0,0225;-0,0367
"don";10;0,4218;-0,3713;-0,0417;-0,015;-0,0245
"sorte";13;-0,8783;0,9773;-0,0542;-0,0195;-0,0318
"confronter";10;-0,7676;0,8477;-0,0417;-0,015;-0,0245
"scientifique";38;0,8873;-0,9579;-0,1586;-0,057;0,7146
"quand";34;-0,5215;0,4618;0,5549;-0,051;-0,0833
"vieux";15;-1,7609;1,9189;-0,0626;-0,0225;-0,0367
"nicolas";10;1,9643;-1,8349;-0,0417;-0,015;-0,0245
"maître";15;0,515;-0,4454;-0,0626;-0,0225;-0,0367
"lieu";17;-1,1491;1,2819;-0,0709;-0,0255;-0,0416
"mystérieux";29;1,1615;-1,0008;-0,121;-0,0435;-0,071
"etats";14;0,6707;-0,5904;-0,0584;-0,021;-0,0343
"accompagner";15;-0,3029;0,357;-0,0626;-0,0225;-0,0367
"voiture";13;0,2993;-0,2546;-0,0542;-0,0195;-0,0318
"père";33;-1,4049;1,6148;-0,1377;-0,0495;-0,0808
"équipe";28;0,3685;-0,2949;-0,1168;-0,042;-0,0686
"sous";32;0,7199;-0,5961;-0,1335;-0,048;-0,0784
"agent";13;-1,3405;1,4669;-0,0542;-0,0195;-0,0318
"mal";13;0,5343;-0,4675;-0,0542;-0,0195;-0,0318
"avant";23;0,2988;-0,5866;-0,096;1,1169;0,9149
"main";13;-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"nouveau";130;-1,3377;1,2465;0,8896;-0,1953;-0,3187
"agir";31;-0,6305;0,7568;-0,1294;-0,0465;-0,0759
"homme";99;1,8643;-1,4795;-0,4134;-0,1487;-0,2426
"trace";27;-1,5905;1,7934;-0,1127;-0,0405;-0,0661
"étranger";11;0,2994;-0,2579;-0,0459;-0,0165;-0,0269
"tour";15;0,2992;-0,4454;0,8722;-0,0225;-0,0367
"capable";12;-0,214;0,2521;-0,0501;-0,018;-0,0294
"dessin";10;-0,4256;0,4809;-0,0417;-0,015;-0,0245
"mars";12;1,71;-1,5784;-0,0501;-0,018;-0,0294
"tout";121;1,6339;-1,7842;-0,1688;-0,1817;0,828
"4";13;0,5343;-0,4675;-0,0542;-0,0195;-0,0318
"mot";14;1,0429;-1,4037;-0,0584;-0,021;1,1197
"venir";89;-1,5687;1,711;-0,3716;0,5769;-0,2181
"fils";32;-0,5293;0,6445;-0,1335;-0,048;-0,0784
"important";14;0,6707;-0,5904;-0,0584;-0,021;-0,0343
"revenir";36;1,4791;-1,9735;-0,1502;-0,054;1,7567
"révéler";17;1,6051;-1,4542;-0,0709;-0,0255;-0,0416
"civilisation";16;1,9674;-1,8031;-0,0668;-0,024;-0,0392
"trois";16;-0,9828;1,1003;-0,0668;-0,024;-0,0392
"dont";28;0,3685;-0,4443;0,6273;-0,042;-0,0686
"donc";15;0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"john";13;-0,5394;0,6127;-0,0542;-0,0195;-0,0318
"relation";10;-0,2066;0,2405;-0,0417;-0,015;-0,0245
"express";10;-0,2066;0,2405;-0,0417;-0,015;-0,0245
"secret";32;1,9905;-1,7575;-0,1335;-0,048;-0,0784
"puissant";12;0,7097;-0,6321;-0,0501;-0,018;-0,0294
"mener";17;0,2991;-0,2486;-0,0709;-0,0255;-0,0416
"puis";15;0,8179;-1,1021;-0,0626;-0,0225;1,0909
"moment";20;1,6782;-1,5105;-0,0835;-0,03;-0,049
"travers";16;0,3937;-0,334;-0,0668;-0,024;-0,0392
"entre";40;0,3559;-0,3874;-0,1669;-0,06;0,6947
"ça";15;0,515;-0,7236;-0,0626;-0,0225;1,0909
"peu";23;0,2988;-0,2409;-0,096;-0,0345;-0,0563
"armée";12;-0,214;-0,3562;-0,0501;-0,018;1,1842
"objet";19;1,0736;-0,9485;-0,0793;-0,0285;-0,0465
"composer";11;-0,564;0,6334;-0,0459;-0,0165;-0,0269
"train";13;0,2993;-0,2546;-0,0542;-0,0195;-0,0318
"souvent";19;1,0736;-0,9485;-0,0793;-0,0285;-0,0465
"eux";19;-0,3031;-0,2458;0,7777;-0,0285;-0,0465
"identifier";25;1,6581;-1,4725;-0,1043;-0,0375;-0,0612
"expliquer";19;0,7419;-0,6429;-0,0793;-0,0285;-0,0465
"là";27;-1,5905;1,7934;-0,1127;-0,0405;-0,0661
"parvenir";16;-1,4209;1,5662;-0,0668;-0,024;-0,0392
"beau";19;1,4923;-1,3397;-0,0793;-0,0285;-0,0465
"cacher";32;-0,5293;0,6445;-0,1335;-0,048;-0,0784
"françois";34;0,3613;-0,2821;-0,1419;-0,051;-0,0833
"concours";11;0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"toutes";59;1,4629;-1,4426;-0,2463;0,734;-0,1446
"monter";12;0,41;-0,6321;-0,0501;-0,018;1,1842
"air";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"même";59;0,5157;-0,3851;-0,2463;-0,0886;-0,1446
"changer";15;0,8179;-0,7236;-0,0626;-0,0225;-0,0367
"pendant";27;0,2986;0,2426;-0,1127;-0,0405;-0,0661
"m6";20;1,6782;-1,5105;-0,0835;-0,03;-0,049
"enquête";36;1,4791;-1,2724;-0,1502;-0,054;-0,0882
"laquelle";12;0,41;-0,3562;-0,0501;-0,018;-0,0294
"nouvelle";25;0,2987;-0,5642;0,6705;-0,0375;0,881
"vite";12;-0,4141;0,4736;-0,0501;-0,018;-0,0294
"mettre";43;-0,7501;0,5407;0,4705;0,8598;-0,1053
"autre";28;-1,0399;1,2018;-0,1168;-0,042;-0,0686
"jeune";93;-1,7423;1,6805;-0,3883;-0,1397;1,0145
"coeur";17;-0,303;-0,2486;-0,0709;-0,0255;1,039
"photo";12;0,7097;-0,6321;-0,0501;-0,018;-0,0294
"transformer";15;-0,3029;0,357;-0,0626;-0,0225;-0,0367
"alien";14;0,4009;-0,3441;-0,0584;-0,021;-0,0343
"fête";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"vérité";11;-0,3026;0,3489;-0,0459;-0,0165;-0,0269
"enfin";15;-1,2321;1,3618;-0,0626;-0,0225;-0,0367
"humanité";49;0,2977;0,2964;-0,2045;-0,0736;-0,12
"groupe";23;0,974;-0,8451;-0,096;-0,0345;-0,0563
"réponse";15;1,223;-1,1021;-0,0626;-0,0225;-0,0367
"oeuf";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"apporter";11;0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"place";12;-0,4141;0,4736;-0,0501;-0,018;-0,0294
"didier";19;-1,5038;1,6677;-0,0793;-0,0285;-0,0465
"concernant";10;1,9643;-1,8349;-0,0417;-0,015;-0,0245
"parfois";11;-0,3026;0,3489;-0,0459;-0,0165;-0,0269
"récupérer";11;-1,4898;1,6127;-0,0459;-0,0165;-0,0269
"patrick";15;0,2992;-0,4454;-0,0626;-0,0225;1,0909
