"";"classe 1";"classe 2"
"claviere";-4,439;4,439
"belhousse";-3,108;3,108
"bande";9,257;-9,257
"ville";-8,31;8,31
"travailler";0,551;-0,551
"théorie";-9,496;9,496
"star";6,57;-6,57
"réaliser";0,165;-0,165
"rencontrer";-2,494;2,494
"quotidien";10,972;-10,972
"public";9,257;-9,257
"présidentiel";8,207;-8,207
"près_de";0,729;-0,729
"plan";-0,036;0,036
"part";-0,213;0,213
"nasa";-7,79;7,79
"moment";0,122;-0,122
"italie";-0,728;0,728
"géant";-11,16;11,16
"groupe";2,323;-2,323
"dieu";-11,16;11,16
"actuel";-0,89;0,89
"élection";6,371;-6,371
"âge";-0,015;0,015
"travers";1,475;-1,475
"suggérer";-10,598;10,598
"richard";9,127;-9,127
"rappeler";-2,494;2,494
"portrait";11,898;-11,898
"omar";2,72;-2,72
"nouvelle";-1,041;1,041
"média";9,127;-9,127
"long";-1,041;1,041
"jouer";5,438;-5,438
"humoriste";2,298;-2,298
"heure";4,622;-4,622
"explorer";-12,287;12,287
"envoyer";-7,272;7,272
"entrer";-1,338;1,338
"coeur";3,058;-3,058
"antique";-12,287;12,287
"alain";2,461;-2,461
"évolution";-0,015;0,015
"écrire";0,975;-0,975
"véritable";-9,496;9,496
"visage";0,227;-0,227
"toulouse";-0,315;0,315
"théâtre";3,827;-3,827
"science";-0,237;0,237
"répondre";0,018;-0,018
"pyramide";-5,554;5,554
"philippe";4,816;-4,816
"mois";10,049;-10,049
"mauvais";-2,129;2,129
"matin";10,049;-10,049
"magazine";4,622;-4,622
"légende";-13,416;13,416
"ligne";-4,278;4,278
"laure";-2,838;2,838
"internet";6,57;-6,57
"héros";0,018;-0,018
"he";10,049;-10,049
"guerre";-6,237;6,237
"explication";-7,314;7,314
"décrire";0,551;-0,551
"débarquer";-2,129;2,129
"dossier";1,238;-1,238
"différent";0,551;-0,551
"damien";10,972;-10,972
"courant";9,127;-9,127
"conseil";0,227;-0,227
"chef";-0,031;0,031
"bord";-9,496;9,496
"beau";6,57;-6,57
"archive";9,127;-9,127
"élément";-4,278;4,278
"zorbb";-10,034;10,034
"zone";-0,89;0,89
"victime";0,018;-0,018
"travail";1,238;-1,238
"transformer";-0,222;0,222
"the";5,688;-5,688
"structure";-5,174;5,174
"siècle";-3,339;3,339
"servir";-11,16;11,16
"représentant";-0,444;0,444
