"";"classe 1";"classe 2"
"lourd";0,814;-0,814
"louise";3,631;-3,631
"louange";-1,219;1,219
"lascar";-1,219;1,219
"lapsus";3,631;-3,631
"langue";-0,01;0,01
"kidnapper";-1,219;1,219
"katché";2,72;-2,72
"joël";0,814;-0,814
"john";-1,219;1,219
"jan";3,631;-3,631
"invisible";-4,439;4,439
"inhabituel";-4,439;4,439
"ingénieur";-1,219;1,219
"indice";-4,439;4,439
"impossible";-1,219;1,219
"immortel";-3,326;3,326
"imion";3,631;-3,631
"imaginaire";-0,01;0,01
"illustrer";3,631;-3,631
"identique";-4,439;4,439
"humoristique";2,72;-2,72
"hommage";-1,219;1,219
"heureux";0,814;-0,814
"henry";-4,439;4,439
"henri";3,631;-3,631
"heavy";3,631;-3,631
"hasard";-3,326;3,326
"hanter";-1,219;1,219
"géoglyphes";-4,439;4,439
"guider";-1,219;1,219
"gros";-0,01;0,01
"globe";-4,439;4,439
"gigantesque";-4,439;4,439
"genre";-0,01;0,01
"fruit";0,814;-0,814
"former";-1,219;1,219
"foot";-1,219;1,219
"fonds";-0,444;0,444
"fond";-0,01;0,01
"faux";-1,219;1,219
"faciliter";-1,219;1,219
"exploser";0,242;-0,242
"evanno";2,72;-2,72
"etc";0,814;-0,814
"entrée";-0,01;0,01
"entreprise";3,631;-3,631
"enseigner";-3,326;3,326
"endoctriner";3,631;-3,631
"enceinte";0,814;-0,814
"empreinte";-1,219;1,219
"développement";-0,444;0,444
"détailler";0,814;-0,814
"déplacement";3,631;-3,631
"département";0,242;-0,242
"défi";2,72;-2,72
"décryptage";3,631;-3,631
"décoder";-4,439;4,439
"déchiffrer";-4,439;4,439
"décembre";-0,444;0,444
"débris";-4,439;4,439
"duel";3,631;-3,631
"dreyfus";3,631;-3,631
"doter";-3,326;3,326
"dizaine";0,242;-0,242
"disséminer";-4,439;4,439
"dette";3,631;-3,631
"dessiner";3,631;-3,631
"dedile";3,631;-3,631
"culturel";3,631;-3,631
"couvrir";-1,219;1,219
"course";2,72;-2,72
"couper";0,814;-0,814
"cosmique";-0,01;0,01
"conserver";-4,439;4,439
"connecter";0,242;-0,242
"conférence";3,631;-3,631
"confier";0,814;-0,814
"conduire";-0,444;0,444
"composition";-1,219;1,219
"complot";-1,219;1,219
"coin";-4,439;4,439
"coco";-3,326;3,326
"club";-1,219;1,219
"clash";3,631;-3,631
"citoyen";-0,01;0,01
"cirou";-3,326;3,326
"chili";-0,444;0,444
"charlotte";2,72;-2,72
"charger";3,631;-3,631
"chanter";3,631;-3,631
"capturer";-3,326;3,326
"broch";2,72;-2,72
"britannique";3,631;-3,631
"bref";3,631;-3,631
"brack";-4,439;4,439
"boris";-0,01;0,01
"boiter";3,631;-3,631
"blessure";-1,219;1,219
"black";-0,01;0,01
"big_bang";0,242;-0,242
"big";-4,439;4,439
"biais";-0,444;0,444
"beccaro";3,631;-3,631
"bayrou";2,72;-2,72
"barthès";2,72;-2,72
"barry";-0,444;0,444
"baron";-4,439;4,439
"banque";-0,01;0,01
"avérer";-0,01;0,01
"avancée";-3,326;3,326
"attribuer";-0,444;0,444
"assemblée";0,242;-0,242
"arme";-4,439;4,439
"apprêter";-0,01;0,01
"appartement";2,72;-2,72
"anna";-1,219;1,219
"amy";-0,444;0,444
"amuser";-0,01;0,01
"amplifier";2,72;-2,72
"amener";0,814;-0,814
"aliagas";3,631;-3,631
"affirmation";-0,444;0,444
"acheter";-0,01;0,01
"1ère";-0,01;0,01
"éteindre";-3,326;3,326
"équipage";-3,326;3,326
"épais";-0,444;0,444
"éliminer";0,242;-0,242
"éjonatown";2,72;-2,72
"égard";-3,326;3,326
"éducation";2,72;-2,72
"économique";2,72;-2,72
"éclater";-3,326;3,326
"échelle";0,242;-0,242
"zapping";2,72;-2,72
"yéti";-3,326;3,326
"william";-0,444;0,444
"we";-0,444;0,444
"vétérinaire";0,242;-0,242
"vérif";2,72;-2,72
"véhicule";0,242;-0,242
"voie";-0,444;0,444
"vivant";0,242;-0,242
"vallée";-3,326;3,326
"unique";0,242;-0,242
"télescope";-3,326;3,326
"trump";0,242;-0,242
"tribune";2,72;-2,72
"traquer";-3,326;3,326
"transe";-3,326;3,326
"trajectoire";-3,326;3,326
"total";0,242;-0,242
"timbre";2,72;-2,72
"thévenot";2,72;-2,72
"test";2,72;-2,72
"tesquet";-3,326;3,326
"territoire";-3,326;3,326
"terrain";0,242;-0,242
"terme";-3,326;3,326
"technopolis";-3,326;3,326
"tate";0,242;-0,242
"talent";0,242;-0,242
"séparer";0,242;-0,242
"sénateur";0,242;-0,242
"synthèse";0,242;-0,242
"surprendre";-3,326;3,326
"supergirl";-0,444;0,444
"sud_ouest";0,242;-0,242
"studio";2,72;-2,72
"sphère";-3,326;3,326
"souterrain";0,242;-0,242
"souligner";-0,444;0,444
"soulever";-0,444;0,444
"soin";-0,444;0,444
"sexuel";0,242;-0,242
"sevan";0,242;-0,242
"session";2,72;-2,72
"serpent";-3,326;3,326
"semer";-3,326;3,326
"sectaire";2,72;-2,72
"sean";-0,444;0,444
"scandale";0,242;-0,242
"rêver";-0,444;0,444
"résoudre";0,242;-0,242
"répéter";0,242;-0,242
"régulièrement";-0,444;0,444
"réfugier";0,242;-0,242
"réduire";-3,326;3,326
"rédaction";-3,326;3,326
"rédacteur";0,242;-0,242
"réchauffement";-0,444;0,444
"réaction";2,72;-2,72
"royer";0,242;-0,242
"royaume";-0,444;0,444
"roux";2,72;-2,72
"route";0,242;-0,242
"rire";0,242;-0,242
"retraite";0,242;-0,242
"retourner";-0,444;0,444
"res";-3,326;3,326
"représentation";-0,444;0,444
"reprendre";-3,326;3,326
"remarquer";0,242;-0,242
"relater";0,242;-0,242
"relancer";0,242;-0,242
"reconstitution";2,72;-2,72
"rayon";-0,444;0,444
"raymond";0,242;-0,242
"rare";-0,444;0,444
"raphaël";0,242;-0,242
"quinquagénaire";2,72;-2,72
"quatrième";0,242;-0,242
"qualité";2,72;-2,72
"période";0,242;-0,242
"puissance";-0,444;0,444
"psychologue";0,242;-0,242
"psychanalyste";2,72;-2,72
"proche";-0,444;0,444
"prix";-0,444;0,444
"primitif";-0,444;0,444
"poétique";-0,444;0,444
"poubelle";-0,444;0,444
"porteil";2,72;-2,72
"pluie";-3,326;3,326
"plat";0,242;-0,242
"pied";-3,326;3,326
"phrase";-3,326;3,326
"photographe";2,72;-2,72
"personnel";2,72;-2,72
"percer";-3,326;3,326
"peintre";-0,444;0,444
"peau";2,72;-2,72
"parvenir";0,242;-0,242
"paroi";-3,326;3,326
"papou";0,242;-0,242
"ouvrir";-0,444;0,444
"ouvrage";0,242;-0,242
"orphelin";0,242;-0,242
"originaire";-3,326;3,326
"olympia";2,72;-2,72
"of";0,242;-0,242
"octobre";0,242;-0,242
"nécessaire";0,242;-0,242
"notion";0,242;-0,242
"noir";-0,444;0,444
"neige";0,242;-0,242
"métrage";0,242;-0,242
"métier";0,242;-0,242
"mésopotamie";-0,444;0,444
"mériter";-0,444;0,444
"mémoire";-0,444;0,444
"mélange";0,242;-0,242
"mur";2,72;-2,72
"multiplier";0,242;-0,242
"montage";-0,444;0,444
"monnet";0,242;-0,242
"milliardaire";-3,326;3,326
"microtrottoir";-0,444;0,444
"mi_homme";0,242;-0,242
"meteo";2,72;-2,72
"mer";0,242;-0,242
"medium";-0,444;0,444
"maxence";2,72;-2,72
"maura";0,242;-0,242
"matière";0,242;-0,242
"mariage";2,72;-2,72
"mardi";2,72;-2,72
"marabout";0,242;-0,242
"manière";2,72;-2,72
"maman";-3,326;3,326
"malédiction";-0,444;0,444
"malade";0,242;-0,242
"léon";0,242;-0,242
"lynx";2,72;-2,72
"lycée";-0,444;0,444
"lundi";2,72;-2,72
"londres";0,242;-0,242
"ligue";-0,444;0,444
"lien";-0,444;0,444
"laboratoire";-0,444;0,444
"kiberlain";2,72;-2,72
"jésus";2,72;-2,72
"justicier";-0,444;0,444
"julie";0,242;-0,242
"julian";-0,444;0,444
"jc";2,72;-2,72
"jazz";2,72;-2,72
"james";-3,326;3,326
"itne";2,72;-2,72
"invention";-3,326;3,326
"intérêt";-3,326;3,326
"intégrer";-3,326;3,326
"intriguer";-3,326;3,326
"interpeller";2,72;-2,72
"intention";-3,326;3,326
"innocent";-0,444;0,444
"indéniable";-0,444;0,444
"inconnu";-0,444;0,444
"importer";-0,444;0,444
"importance";0,242;-0,242
"implant";-0,444;0,444
"impertinence";2,72;-2,72
"ilario";2,72;-2,72
"iens";0,242;-0,242
"idée";-3,326;3,326
"hôtel";0,242;-0,242
"hybride";-3,326;3,326
"highland";2,72;-2,72
"handicaper";2,72;-2,72
"handicap";2,72;-2,72
"géologique";-0,444;0,444
"génétique";-3,326;3,326
"généralement";-0,444;0,444
"grève";2,72;-2,72
"grossier";-0,444;0,444
"glich";-3,326;3,326
"gildas";-0,444;0,444
"gaspard";2,72;-2,72
"gadget";0,242;-0,242
"furieux";-0,444;0,444
"front";0,242;-0,242
"fromage";0,242;-0,242
"franz";0,242;-0,242
"francis";-0,444;0,444
"foucault";2,72;-2,72
"fonder";2,72;-2,72
"fonction";2,72;-2,72
"folk";2,72;-2,72
"fleur";0,242;-0,242
"fin";2,72;-2,72
"fil";-0,444;0,444
"feuilleton";2,72;-2,72
"favier";-3,326;3,326
"fan";0,242;-0,242
"fabriquer";2,72;-2,72
"fabrication";2,72;-2,72
"fabien";0,242;-0,242
"extérieur";0,242;-0,242
"experience";0,242;-0,242
"exactement";2,72;-2,72
"evocation";2,72;-2,72
"evelyne";0,242;-0,242
"eurovision";-0,444;0,444
"essai";-0,444;0,444
"espérer";0,242;-0,242
"espion";-3,326;3,326
"envahisseur";-0,444;0,444
"envahir";-0,444;0,444
"entourage";0,242;-0,242
"entité";-3,326;3,326
"ennemi";-3,326;3,326
"engin";-3,326;3,326
"ena";0,242;-0,242
"emplacement";-3,326;3,326
"elvis";-0,444;0,444
"eglise";0,242;-0,242
"effondrement";2,72;-2,72
"développer";2,72;-2,72
"détecter";-3,326;3,326
"détail";0,242;-0,242
"désir";2,72;-2,72
"déposer";-3,326;3,326
"déplacer";-0,444;0,444
"dépasser";-3,326;3,326
"délicat";0,242;-0,242
"définir";0,242;-0,242
"défiler";2,72;-2,72
"décor";0,242;-0,242
"déclencher";2,72;-2,72
"débattre";0,242;-0,242
"dutronc";2,72;-2,72
"dupont";2,72;-2,72
"dresser";-0,444;0,444
"doute";-0,444;0,444
"domestique";0,242;-0,242
"document";-0,444;0,444
"divorcer";2,72;-2,72
"discours";0,242;-0,242
"diriger";-3,326;3,326
"diffusion";-0,444;0,444
"destin";-0,444;0,444
"descendre";-3,326;3,326
"delphine";0,242;-0,242
"daphné";-3,326;3,326
"dany";2,72;-2,72
"cécile";0,242;-0,242
"cyril";2,72;-2,72
"curieusement";-0,444;0,444
"culinaire";2,72;-2,72
"cuisinier";2,72;-2,72
"cristal";-0,444;0,444
"craquer";2,72;-2,72
"court";2,72;-2,72
"couleur";0,242;-0,242
"costume";-0,444;0,444
"constituer";-3,326;3,326
"conquête";-3,326;3,326
"condition";-0,444;0,444
"conclusion";-3,326;3,326
"concert";0,242;-0,242
"compositeur";2,72;-2,72
"complet";-0,444;0,444
"collignon";2,72;-2,72
"coller";-0,444;0,444
"coke";2,72;-2,72
"cockpit";-0,444;0,444
"clown";0,242;-0,242
"climatique";-0,444;0,444
"clervoy";-3,326;3,326
"cisco";-0,444;0,444
"cigarette";-0,444;0,444
"chronologique";2,72;-2,72
"chorégraphie";2,72;-2,72
"chasseur";-3,326;3,326
"chasse";-0,444;0,444
"charles";-0,444;0,444
"chaleur";2,72;-2,72
"chair";-0,444;0,444
"cavale";0,242;-0,242
"causer";2,72;-2,72
"casser";0,242;-0,242
"carole";-0,444;0,444
"camp";-3,326;3,326
"camer";0,242;-0,242
"calvo";2,72;-2,72
"bêtisier";2,72;-2,72
"burgdorf";2,72;-2,72
"bruxelles";0,242;-0,242
"brother";2,72;-2,72
"bretagne";2,72;-2,72
"brennan";-3,326;3,326
"bras";2,72;-2,72
"brafman";2,72;-2,72
"bourgeois";0,242;-0,242
"bourdais";-0,444;0,444
"booth";-3,326;3,326
"boon";2,72;-2,72
"boire";0,242;-0,242
"bleu";-0,444;0,444
"bible";-3,326;3,326
"benjamin";-0,444;0,444
"belgique";-3,326;3,326
"bateau";0,242;-0,242
"bataille";-0,444;0,444
"baser";0,242;-0,242
"barnier";2,72;-2,72
"bande_annonce";2,72;-2,72
"ballon_sonde";-0,444;0,444
"aéronautique";-0,444;0,444
"aussitôt";-3,326;3,326
"auprès_de";2,72;-2,72
"attraper";-0,444;0,444
"atterrissage";-0,444;0,444
"atteindre";-3,326;3,326
"astronome";-0,444;0,444
"assurance";0,242;-0,242
"assister";-0,444;0,444
"assassiner";0,242;-0,242
"article";2,72;-2,72
"artefact";-3,326;3,326
"arcecte";-0,444;0,444
"apollo";-3,326;3,326
"août";0,242;-0,242
"antiquité";-3,326;3,326
"annette";2,72;-2,72
"angleterre";0,242;-0,242
"ange";-3,326;3,326
"andrew";0,242;-0,242
"ancêtre";-3,326;3,326
"amérique";-3,326;3,326
"agression";0,242;-0,242
"affiche";2,72;-2,72
"adulte";0,242;-0,242
"adjoint";2,72;-2,72
"accueil";2,72;-2,72
"abriter";-3,326;3,326
"abandonner";-0,444;0,444
"1er";2,72;-2,72
"de";9,414;-9,414
"la";-6,343;6,343
"et";2,598;-2,598
"l";1,333;-1,333
"des";-16,781;16,781
"être";-18,243;18,243
"les";-17,551;17,551
"le";-0,084;0,084
"d";-5,605;5,605
"avoir";-15,055;15,055
"à";0,356;-0,356
"un";-2,407;2,407
"une";-7,892;7,892
"en";20,206;-20,206
"sur";-1,5;1,5
"du";8,057;-8,057
"qui";-1,386;1,386
"dans";-8,928;8,928
"il";-19,812;19,812
"s";-0,001;0,001
"pour";7,703;-7,703
"avec";10,117;-10,117
"ne";-1,452;1,452
"par";1,273;-1,273
"que";-43,32;43,32
"se";-8,177;8,177
"son";6,425;-6,425
"au";2,051;-2,051
"ses";0,157;-0,157
"pouvoir";-43,42;43,42
"ils";-31,108;31,108
"e";9,993;-9,993
"leur";-2,283;2,283
"pas";-0,884;0,884
"faire";-0,126;0,126
"elle";1,403;-1,403
"qu";-8,959;8,959
"ce";-0,102;0,102
"aux";2,554;-2,554
"20";10,615;-10,615
"plus";-3,548;3,548
"19";6,652;-6,652
"sa";11,125;-11,125
"après";1,014;-1,014
"mais";-0,865;0,865
"tout";-0,651;0,651
"tous";2,246;-2,246
"ou";-0,441;0,441
"on";2,258;-2,258
"nous";-0,441;0,441
"c";8,721;-8,721
"21";18,757;-18,757
"y";-1,885;1,885
"comme";-0,229;0,229
"cette";-0,638;0,638
"lui";-0,87;0,87
"an";0,039;-0,039
"autres";-6,268;6,268
"aujourd_hui";0,694;-0,694
"leurs";-0,252;0,252
"bien";-5,812;5,812
"aussi";1,77;-1,77
"ces";-5,12;5,12
"très";1,441;-1,441
"depuis";-0,247;0,247
"durant";-0,315;0,315
"vous";15,086;-15,086
"où";-0,939;0,939
"deux";4,28;-4,28
"devoir";0,046;-0,046
"selon";-26,704;26,704
"plein";3,058;-3,058
"grâce";0,018;-0,018
"alors";-2,868;2,868
"lorsque";-7,314;7,314
"23";5,438;-5,438
"même";-5,248;5,248
"comment";9,346;-9,346
"non";-3,397;3,397
"22";10,049;-10,049
"vouloir";0,575;-0,575
"personne";-0,209;0,209
"notre";-1,606;1,606
"entre";-0,439;0,439
"elles";-6,578;6,578
"dont";-0,005;0,005
"00";7,971;-7,971
"si";-8,34;8,34
"croire";-2,217;2,217
"30";6,972;-6,972
"point";0,65;-0,65
"12";7,971;-7,971
"t";-2,348;2,348
"quelques";2,74;-2,74
"50";2,851;-2,851
"40";6,57;-6,57
"savoir";-3,855;3,855
"sans";-0,769;0,769
"pendant";0;0
"05";7,459;-7,459
"million";-2,494;2,494
"11";4,622;-4,622
"07";7,459;-7,459
"toujours";-1,279;1,279
"quand";0,051;-0,051
"cet";-1,279;1,279
"2";11,987;-11,987
"01";3,827;-3,827
"lors";0,879;-0,879
"j";8,623;-8,623
"dire";0,458;-0,458
"certains";-3,695;3,695
"autre";-0,84;0,84
"15";5,438;-5,438
"puis";0,068;-0,068
"contre";-0,206;0,206
"sous";-8,417;8,417
"plusieurs";-4,074;4,074
"chez";5,378;-5,378
"avant";9,712;-9,712
"autour";-0,634;0,634
"55";8,355;-8,355
"5";1,717;-1,717
"3";3,862;-3,862
"10";8,355;-8,355
"09";5,688;-5,688
"04";5,438;-5,438
"02";8,207;-8,207
"pourquoi";-0,5;0,5
"nos";-1,467;1,467
"me";0,242;-0,242
"là";-0,222;0,222
"certaines";-6,446;6,446
"45";0,322;-0,322
"44";4,816;-4,816
"1";3,827;-3,827
"08";12,825;-12,825
"toute";1,475;-1,475
"souvent";0,342;-0,342
"jamais";-2,943;2,943
"bon";12,825;-12,825
"beaucoup";2,644;-2,644
"27";4,816;-4,816
"25";1,821;-1,821
"17";3,144;-3,144
"13";2,461;-2,461
"03";9,127;-9,127
"54";0,551;-0,551
"47";0,061;-0,061
"16";1,634;-1,634
"06";4,816;-4,816
"eux";-0,036;0,036
"encore";-1,041;1,041
"différents";-5,494;5,494
"28";2,323;-2,323
"000";0,322;-0,322
"trois";-0,031;0,031
"peu";0,551;-0,551
"59";1,011;-1,011
"52";-0,02;0,02
"48";4,542;-4,542
"35";-3,108;3,108
"33";-0,015;0,015
"57";3,956;-3,956
"56";1,011;-1,011
"29";-0,237;0,237
"trop";-0,634;0,634
"toutes";-1,162;1,162
"rien";0,551;-0,551
"moins";-0,026;0,026
"mal";0,018;-0,018
"je";6,57;-6,57
"falloir";-0,237;0,237
"cela";-1,162;1,162
"53";0,485;-0,485
"4";-3,339;3,339
"38";-0,01;0,01
"31";0,485;-0,485
"26";4,816;-4,816
"mes";-2,446;2,446
"loin";0,034;-0,034
"celui";-0,634;0,634
"afin";-2,051;2,051
"42";-1,619;1,619
"39";0,113;-0,113
"24";-0,015;0,015
"18";6,371;-6,371
"ça";3,956;-3,956
"x";-1,338;1,338
"tant";1,634;-1,634
"g";0,814;-0,814
"concernant";-0,015;0,015
"celle";-0,728;0,728
"car";-0,728;0,728
"au_dessus";-2,446;2,446
"ailleurs";-3,339;3,339
"58";3,631;-3,631
"49";1,522;-1,522
"46";0,242;-0,242
"43";1,011;-1,011
"36";2,298;-2,298
"34";-1,219;1,219
"32";3,631;-3,631
"2017";-0,728;0,728
"2008";6,371;-6,371
"14";3,115;-3,115
"vers";1,011;-1,011
"pourtant";-0,02;0,02
"laquelle";-0,02;0,02
"ensuite";2,298;-2,298
"ben";0,485;-0,485
"alerte";1,011;-1,011
"51";-0,01;0,01
"sept";-1,619;1,619
"quatre";0,061;-0,061
"peut_être";-0,263;0,263
"parmi";-5,554;5,554
"o";0,061;-0,061
"moi";5,456;-5,456
"m";5,456;-5,456
"hé";-0,263;0,263
"hier";2,72;-2,72
"fort";3,115;-3,115
"douze";-0,444;0,444
"dix";-7,79;7,79
"chaque";1,011;-1,011
"ainsi";-4,128;4,128
"2007";5,456;-5,456
"vos";5,456;-5,456
"vite";0,485;-0,485
"quoi";-0,015;0,015
"quelque";0,113;-0,113
"maintenant";-0,89;0,89
"ma";4,542;-4,542
"enfin";-0,015;0,015
"déjà";0,485;-0,485
"donc";2,298;-2,298
"demain";2,72;-2,72
"dehors";0,814;-0,814
"cinq";2,298;-2,298
"37";0,814;-0,814
"2021";0,485;-0,485
"tard";0,113;-0,113
"surtout";-0,01;0,01
"près";-2,129;2,129
"parfois";-0,315;0,315
"parce_que";-2,129;2,129
"mêmes";-1,219;1,219
"mon";2,72;-2,72
"mieux";-0,315;0,315
"merci";4,542;-4,542
"longtemps";0,113;-0,113
"lequel";1,522;-1,522
"juste";0,113;-0,113
"jusqu_à";-0,315;0,315
"derrière";-2,129;2,129
"d_abord";-0,315;0,315
"ceux";0,113;-0,113
"autant";0,113;-0,113
"anti";2,72;-2,72
"41";-0,444;0,444
"1979";3,631;-3,631
"van";-0,444;0,444
"tandis_que";0,242;-0,242
"quant";-1,219;1,219
"presque";-4,439;4,439
"ni";-0,444;0,444
"moindre";-4,439;4,439
"hors";-0,01;0,01
"dès";-1,219;1,219
"divers";-1,219;1,219
"devant";-0,01;0,01
"dame";-1,219;1,219
"cependant";-4,439;4,439
"celui_ci";0,814;-0,814
"autrefois";-4,439;4,439
"aucun";-0,01;0,01
"8";3,631;-3,631
"70";-0,01;0,01
"7";3,631;-3,631
"6";-1,219;1,219
"500";-1,219;1,219
"2002";0,814;-0,814
"1999";0,814;-0,814
"1996";2,72;-2,72
"votre";2,72;-2,72
"via";2,72;-2,72
"soudain";0,242;-0,242
"sauf";-0,444;0,444
"quels";2,72;-2,72
"quel";-0,444;0,444
"plupart";0,242;-0,242
"malgré";-0,444;0,444
"lui_même";-3,326;3,326
"lorsqu";-0,444;0,444
"lesquels";0,242;-0,242
"lendemain";0,242;-0,242
"inter";2,72;-2,72
"combien";0,242;-0,242
"celle_ci";-0,444;0,444
"aucune";-0,444;0,444
"95";2,72;-2,72
"60";-0,444;0,444
"2019";0,242;-0,242
"2018";2,72;-2,72
"1994";-0,444;0,444
"1992";2,72;-2,72
"1991";2,72;-2,72
"1989";-0,444;0,444
"1985";0,242;-0,242
"1982";2,72;-2,72
"1980";0,242;-0,242
"1978";2,72;-2,72
"1967";0,242;-0,242
"1947";-3,326;3,326
"*duree_00465200";-3,326;3,326
"*duree_00462500";-3,326;3,326
"*notice_1250604012";-3,326;3,326
"*notice_5914742001";-0,005;0,005
"*duree_00425100";6,167;-6,167
"*notice_5266931001";23,815;-23,815
"*duree_00115100";-2,216;2,216
"*duree_00233300";-2,216;2,216
"*notice_376893013";-2,216;2,216
"*duree_00513700";-1,107;1,107
"*notice_1299518012";-2,216;2,216
"*duree_01453800";5,688;-5,688
"*audience_11";22,512;-22,512
"*notice_719861019";-2,216;2,216
"*notice_1068361011";-3,326;3,326
"*duree_00585100";4,542;-4,542
"*audience_13";11,74;-11,74
"*duree_00064700";0;0
"*chaine_TF1";-0,513;0,513
"*notice_2127313001";4,608;-4,608
"*audiencefemme_199";-4,439;4,439
"*duree_00470600";-3,326;3,326
"*notice_4780571001";-12,818;12,818
"*chaine_TFX";-3,326;3,326
"*partdemarche_176";8,207;-8,207
"*notice_6030813001";-0,444;0,444
"*duree_00470900";-5,554;5,554
"*notice_7393928001";-0,005;0,005
"*duree_01030900";5,456;-5,456
"*duree_02214600";-2,129;2,129
"*duree_00351100";3,956;-3,956
"*notice_2795302001";-0,01;0,01
"*audiencefemme_36";4,732;-4,732
"*audience_114";-2,129;2,129
"*duree_00525300";-2,216;2,216
"*duree_00395400";-2,216;2,216
"*duree_00130000";-2,216;2,216
"*partdemarche_78";-3,326;3,326
"*notice_3099269001";-2,129;2,129
"*duree_00531300";-2,216;2,216
"*audience_33";0,975;-0,975
"*audience_31";-3,326;3,326
"*audience_37";-2,216;2,216
"*notice_230183001";0,004;-0,004
"*audience_38";3,144;-3,144
"*partdemarche_481";0,43;-0,43
"*partdemarche_151";1,011;-1,011
"*annéededecennie_2010";1,771;-1,771
"*partdemarche_258";-3,326;3,326
"*partdemarche_156";1,812;-1,812
"*partdemarche_375";-3,326;3,326
"*duree_00475000";-0,005;0,005
"*partdemarche_257";-6,268;6,268
"*duree_00474100";-0,444;0,444
"*notice_360911008";0;0
"*duree_00063300";0;0
"*chaine_NT1";1,475;-1,475
"*notice_71520906";0;0
"*audiencehomme_64";-3,326;3,326
"*duree_00095400";0;0
"*duree_00242800";0;0
"*partdemarche_179";0,242;-0,242
"*notice_4514919001";-2,216;2,216
"*duree_00583500";-2,216;2,216
"*notice_1163341012";-5,554;5,554
"*chaine_C8";18,291;-18,291
"*duree_00525600";-2,216;2,216
"*partdemarche_323";-1,219;1,219
"*chaine_ARTE";5,189;-5,189
"*duree_01073800";-0,444;0,444
"*audiencefemme_69";-3,326;3,326
"*notice_6039277001";-0,005;0,005
"*chaine_LaCinquième";-0,005;0,005
"*audiencefemme_62";0,004;-0,004
"*audiencefemme_141";-1,219;1,219
"*audiencefemme_61";-4,439;4,439
"*notice_756770019";0;0
"*notice_6794151001";-2,216;2,216
"*audiencefemme_147";-7,272;7,272
"*notice_1063522009";-2,216;2,216
"*notice_714382071";0;0
"*notice_714382072";0;0
"*notice_1205410014";-3,326;3,326
"*duree_00470000";-3,326;3,326
"*duree_00463300";-2,216;2,216
"*duree_00063000";0;0
"*audiencehomme_123";6,371;-6,371
"*duree_00212200";0;0
"*audience_08";0,694;-0,694
"*duree_00235900";-1,107;1,107
"*notice_1087810018";-3,326;3,326
"*duree_00223500";-0,005;0,005
"*notice_341063007";-2,216;2,216
"*notice_341063006";0;0
"*duree_00103200";0;0
"*audiencehomme_71";5,456;-5,456
"*audiencehomme_72";-4,439;4,439
"*notice_585269018";-1,107;1,107
"*audiencehomme_78";13,754;-13,754
"*audiencehomme_04";-13,066;13,066
"*audiencehomme_05";-25,808;25,808
"*audiencehomme_06";-3,985;3,985
"*audiencehomme_07";0,798;-0,798
"*audiencehomme_01";-5,571;5,571
"*audiencehomme_02";-12,097;12,097
"*audiencehomme_03";-7,666;7,666
"*mediamatgroupe_Cultureconnaissance";46,796;-46,796
"*audiencehomme_08";10,929;-10,929
"*duree_01301300";-3,326;3,326
"*duree_01044500";-1,219;1,219
"*notice_5882934001";1,812;-1,812
"*duree_02015700";-6,268;6,268
"*partdemarche_243";0,22;-0,22
"*notice_1286743013";-2,216;2,216
"*notice_1286743012";-2,216;2,216
"*duree_00243000";0;0
"*notice_3818265001";-5,554;5,554
"*duree_00463000";-4,439;4,439
"*duree_00111900";1,812;-1,812
"*audience_153";-4,439;4,439
"*duree_00110300";-2,216;2,216
"*notice_534130067";-2,216;2,216
"*duree_00481100";0,242;-0,242
"*notice_1273105013";-2,216;2,216
"*duree_00062800";0;0
"*duree_01050100";-2,216;2,216
"*notice_1273105014";-2,216;2,216
"*notice_6794149001";-1,219;1,219
"*duree_00300900";2,72;-2,72
"*duree_00461900";-0,005;0,005
"*duree_00121500";1,812;-1,812
"*notice_4333782001";0,242;-0,242
"*notice_1428844001";3,144;-3,144
"*duree_00281200";0;0
"*partdemarche_118";6,57;-6,57
"*notice_58429602";-2,216;2,216
"*duree_00062600";0;0
"*duree_00100700";0;0
"*audiencefemme_1";1,521;-1,521
"*duree_01000200";9,465;-9,465
"*publicgroupe_Déconseilléauxenfants";-293,947;293,947
"*duree_01042600";0,43;-0,43
"*notice_828307001";-6,268;6,268
"*duree_00383200";-8,401;8,401
"*partdemarche_92";-2,216;2,216
"*duree_02161600";6,371;-6,371
"*notice_1203074016";-2,216;2,216
"*partdemarche_111";-2,129;2,129
"*partdemarche_98";0,975;-0,975
"*audiencefemme_0";-9,124;9,124
"*partdemarche_29";-3,326;3,326
"*partdemarche_28";7,115;-7,115
"*notice_4792280001";-2,216;2,216
"*notice_719861021";-2,216;2,216
"*partdemarche_23";-5,554;5,554
"*partdemarche_22";3,293;-3,293
"*partdemarche_21";-3,326;3,326
"*duree_00260000";8,207;-8,207
"*partdemarche_27";-1,107;1,107
"*partdemarche_26";8,355;-8,355
"*partdemarche_25";-11,829;11,829
"*partdemarche_24";1,47;-1,47
"*partdemarche_30";3,975;-3,975
"*notice_1650677001";5,456;-5,456
"*partdemarche_112";0,242;-0,242
"*duree_00530100";-2,216;2,216
"*notice_8004726001";0,034;-0,034
"*audience_1";5,456;-5,456
"*notice_1378887002";-2,216;2,216
"*duree_01102500";-0,015;0,015
"*duree_01331400";-2,216;2,216
"*notice_6210469001";1,634;-1,634
"*partdemarche_168";-1,219;1,219
"*duree_01484000";-3,326;3,326
"*duree_00521700";-0,01;0,01
