"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"petit";-2,69535361454873;1,52103073066892;-0,134147073563068;-0,0732340215032224;0,0552513238158057;-0,869700755289963;0,490785909552533;-0,0432847885219956;-0,0236301773060443;0,0178277602589899;0,764546404303763;0,233619943840233;0,00143233939395555;0,000280744647784269;0,000120567814310185;0,081119099393652;0,025832568947039;0,000200934275779374;5,98849079764109e-05;3,4086075085572e-05;0,0111658456486043;2,76064820120136;0,0850969026886943
"ancien";-0,167017720392647;-0,85521347069958;0,288208686803665;0,910534611747233;0,281711827445676;-0,126225255186917;-0,646335839841192;0,217816498473058;0,688145326460667;0,212906434268806;0,0225927082816698;0,568399706933692;0,0508825075049253;0,334002316235309;0,0241227610444335;0,000187798304750643;0,00492397262711114;0,000559217427440528;0,00558160992557916;0,000534289606343854;0,00673234811165846;0,995120437751543;0,00666680658634873
"fille";-3,30962339362479;0,84431337597545;-0,0606367335836026;-0,12809936250648;-0,109190272835498;-0,967640067804731;0,246853298762351;-0,017728462129352;-0,0374526225733965;-0,0319241407386961;0,939978111381723;0,0586988391735641;0,000238640067409556;0,000700435084178159;0,000383974293064718;0,113313175940984;0,00737446631225235;3,80360013071255e-05;0,000169752896633447;0,000123336369123006;0,0103448275862069;3,057151413338;0,0966845665249091
"monde";-0,390281755517386;-1,33063374770091;0,133544847939548;0,416467601105059;-0,0343529415521322;-0,26834006931979;-0,914883534906643;0,091819392648506;0,286344271465695;-0,0236195276543672;0,0780540268698317;0,870597608705996;0,00691200861388519;0,0442094005062289;0,00022695530399916;0,00148818242972727;0,0172988304016379;0,000174242441948475;0,00169458015350198;1,15299529228917e-05;0,00977011494252874;1,25105912377801;0,0152916849598847
"extraire";0,415738084150828;0,307785265514106;-0,916228615121365;-0,792439538508589;0,91706684352055;0,259027255114679;0,191766825148349;-0,570859856914886;-0,493732583877868;0,571382118429233;0,113214917393654;0,0595417057125254;0,41589425072306;0,204601906048665;0,206747220122032;0,000908180779577804;0,000497769561471729;0,0044110338268228;0,00329962783417645;0,00441910854770309;0,00525451559934319;1,10653517704739;0,00643373450531784
"nouveau";0,362687666803084;0,239935762097685;-0,18252797972931;0,128357551003733;0,138458119092225;0,713937868351091;0,47230507737728;-0,35929988441853;0,252667307819225;0,272549919526969;0,578538422847121;0,242950718534907;0,110824736351873;0,0360431588581507;0,0316429634079491;0,000550793064548795;0,000241053174597967;0,000139502432888935;6,89867574616969e-05;8,02711976905091e-05;0,0041871921182266;0,427035446387122;0,000763573308376313
"nombreux";-3,99154281452851;2,04400716224709;0,0485814042309669;0,106700635739354;0,0114212648781173;-0,889776408598043;0,455640697464927;0,0108295437102522;0,023785216111857;0,00254597595894723;0,798664401970321;0,2009597853601;8,9481664074341e-05;0,000283876947535148;2,45405794287848e-06;0,126883757134711;0,03327279409637;1,87959626596144e-05;9,06689236220594e-05;1,038850021951e-06;0,00796387520525452;3,99996203878996;0,127419584748833
"vie";0,331975053828145;0,191333926761926;0,383229696108709;0,07989832381907;-0,317651444274452;0,524265135413711;0,302160375806449;0,605208030567851;0,126177871118044;-0,501644854113396;0,370499020222939;0,118092338137476;0,373426947239325;0,0106749259175454;0,127306768482716;0,000732906596510687;0,000243456682589588;0,000976688423509478;4,24534576417778e-05;0,000671026079147887;0,00665024630541872;0,488437679774073;0,00158655835212393
"terre";0,305003987907499;0,156473142510524;0,698783987872086;1,49404862110981;0,212881268119412;0,179622131011673;0,0921497436694415;0,411525993084673;0,879871109226889;0,125369465804076;0,0576681896296291;0,0145635241424721;0,228940355585353;0,688284696741337;0,0105432339012259;0,000465900935222345;0,000122620238419888;0,0024455043320272;0,0111792330227133;0,000226964244111976;0,00500821018062397;1,13745598524984;0,00647965297382777
"provoquer";-4,59511676371989;2,30353747911836;0,00958303519522345;-0,0690532830530539;0,0357898406268692;-0,893857549918286;0,448091849044295;0,00186412419984923;-0,0134324766001483;0,00696196003271994;0,805624731552927;0,194263782559298;2,65006809976584e-06;9,04944029449116e-05;1,83414167044979e-05;0,145621366015307;0,0365950683979515;6,33341817606147e-07;3,28852131062426e-05;8,83388063514964e-06;0,00689655172413793;4,58487392505149;0,144972889024946
