"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"brigade";0,006;-1,041;-1,512;22,207;-0,445;-0,337
"belge";0,229;-0,832;1,627;-0,295;-0,356;-0,269
"azem";-3,128;-1,041;-1,512;68,216;-0,445;-0,337
"ayatollah";-2,5;9,431;-1,209;2,069;-0,356;-0,269
"avril";-1,874;0,552;0,175;3,302;-0,267;-0,202
"avis";-0,304;0,173;1,627;-0,295;-0,356;-0,269
"avancé";8,058;-1,041;-1,512;-0,369;-0,445;-0,337
"astronomie";8,058;-1,041;-1,512;-0,369;-0,445;-0,337
"assurer";-0,718;0,028;3,833;-0,369;-0,445;-0,337
"arefi";-3,128;-1,041;-1,512;68,216;-0,445;-0,337
"arabe";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"appareil";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"anthropologue";0,006;-1,041;3,833;-0,369;-0,445;-0,337
"anonyme";0,992;-1,041;0,802;-0,369;-0,445;-0,337
"animateur";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"anglais";-1,874;-0,624;9,986;-0,221;-0,267;-0,202
"analyser";3,676;-1,041;-0,028;-0,369;-0,445;-0,337
"amoureux";-0,718;0,028;3,833;-0,369;-0,445;-0,337
"allusion";-0,304;0,173;-1,209;11,7;-0,356;-0,269
"adresse";0,006;0,028;0,802;-0,369;-0,445;-0,337
"abstention";-3,128;-1,041;-1,512;68,216;-0,445;-0,337
"aborder";-3,128;1,838;3,833;-0,369;-0,445;-0,337
"étudiant";-1,874;0,552;0,175;3,302;-0,267;-0,202
"éternel";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"équilibre";-2,5;-0,832;13,325;-0,295;-0,356;-0,269
"énorme";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"élite";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"électricité";1,017;0,552;-0,906;-0,221;-0,267;-0,202
"échapper";2,274;-0,832;0,008;-0,295;-0,356;-0,269
"zoom";-2,5;-0,832;1,627;11,7;-0,356;-0,269
"youuse";-2,5;-0,832;-1,209;54,529;-0,356;-0,269
"yeti";-0,032;0,552;0,175;-0,221;-0,267;-0,202
"week_end";-1,874;5,177;0,175;-0,221;-0,267;-0,202
"voisin";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"vision";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"virus";4,827;-0,624;-0,906;-0,221;-0,267;-0,202
"version";-0,304;0,173;1,627;-0,295;-0,356;-0,269
"vague";1,017;-0,624;0,175;-0,221;-0,267;-0,202
"us";2,274;0,173;-1,209;-0,295;-0,356;-0,269
"télé";-0,304;3,039;0,008;-0,295;-0,356;-0,269
"type";-1,874;5,177;0,175;-0,221;-0,267;-0,202
"trou";-0,032;5,177;-0,906;-0,221;-0,267;-0,202
"tracer";-0,304;-0,832;6,066;-0,295;-0,356;-0,269
"terrible";6,441;-0,832;-1,209;-0,295;-0,356;-0,269
"terrestre";2,274;0,173;-1,209;-0,295;-0,356;-0,269
