"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"11";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"22";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"24";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"25";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"26";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"34";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"35";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"36";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"37";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"38";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"39";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"41";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"42";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"43";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"44";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"45";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"46";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"48";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"49";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"54";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"60";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"61";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"62";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"72";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"73";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"74";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"75";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"76";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"77";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"78";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"79";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"80";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"81";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"83";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"84";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"85";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"86";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"88";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"89";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"90";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"91";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"92";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"93";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"94";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"95";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"96";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"97";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"98";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"99";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"101";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"102";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"103";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"106";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"107";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"108";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"109";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"111";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"112";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"113";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"114";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"115";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"118";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"119";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"120";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"121";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"122";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"123";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"124";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"125";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"126";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"127";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"128";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"129";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"130";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"131";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"132";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"133";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"134";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"135";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"136";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"137";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"138";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"139";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"140";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"141";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"142";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"143";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"144";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"145";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"146";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"147";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"148";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"149";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"150";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"151";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"152";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"153";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"154";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"155";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"156";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"157";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"158";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"159";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"160";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"161";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"162";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"163";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"164";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"165";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"166";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"167";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"168";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"169";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"170";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"171";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"172";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"173";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"174";0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"175";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"176";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"177";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"178";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"180";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"181";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"182";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"183";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"184";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
"185";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
