"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"face";0,82;0;0;0;0,72;5,73;43,48
"rouge";0;0;0;0;1,44;0;0
"montrer";0,82;0,54;0;0;2,73;2,87;0
"tenter";12,29;0;11,17;0;0,86;17,19;0
"quitter";7,1;0,54;5,59;0;1,58;0;0
"inviter";0;0;0;0;4,75;2,87;0
"ados";7,1;0;0;0;0,14;0;0
"site";0;7;11,17;0;1,87;2,87;0
"politique";0;0,54;0;0;4,46;0;0
"alliance";0;0;0;0;2,3;0;0
"lune";0;1,61;0;47,62;1,01;2,87;43,48
"seul";1,64;2,15;0;0;1,15;0;0
"tamaran";7,1;0;0;0;0;0;0
"mauvais";0,55;0;0;0;1,3;2,87;0
"chef";0;1,61;0;0;1,3;0;0
"appeler";0;1,61;5,59;0;0,86;0;0
"françois";0,55;0;5,59;0;2,73;0;43,48
"soucoupe";1,91;0;0;11,9;0,86;2,87;0
"nombre";0;3,23;0;0;0,43;2,87;0
"pizza";11,74;0;0;0;0;0;0
"alexis";0;0;0;0;1,87;0;0
"enlever";1,37;0;0;0;0,29;8,6;0
"prendre";14,75;2,15;5,59;0;2,88;2,87;0
"livreur";11,74;0;0;0;0;0;0
"état";0;8,07;0;0;0,58;0;0
"grave";13,38;0;0;0;0,14;0;0
"déage";0;0;0;0;1,44;0;0
"yacine";0;0;0;0;2,16;0;0
"thierry";0;0;0;0;4,46;0;0
"carbonnier";0;0;0;0;5,76;0;0
"jerry";2,46;0;0;0;0,14;0;0
"raid";0;0;0;0;2,16;0;0
"déclaration";0;0;0;0;3,17;0;0
"contact";0;7,53;0;0;0,86;0;0
"the";0,27;1,08;0;0;1,15;0;0
"photo";0;1,08;5,59;0;3,02;0;0
"transformer";0,82;0;0;0;1,01;2,87;0
"lci";0;0;0;0;3,02;0;0
"bord";1,37;0;0;35,71;0,58;0;0
"jacques";0,27;0;0;0;2,16;2,87;43,48
"connaître";0;3,77;5,59;0;2,59;2,87;0
"peupler";6,83;0;0;0;0,14;0;0
"commencer";0;1,61;5,59;0;1,44;2,87;0
