"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"acteur";-4,5617;-2,1279;-0,1914;-0,0895;8,8309;-0,3756;-0,0244
"sauver";24,0084;-3,9277;-0,3532;-0,1652;-14,7227;0,3291;-0,0451
"entraîner";13,1268;-1,795;-0,1615;-0,0755;-7,3732;-0,3169;-0,0206
"école";-2,2792;-0,2225;-0,0956;-0,0447;2,3713;-0,1877;-0,0122
"syndicat";-1,9941;-0,9303;-0,0837;-0,0391;3,8598;-0,1642;-0,0107
"julien";-6,9904;-3,2606;-0,2933;-0,1371;13,5347;-0,5756;-0,0375
"cabrol";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"voyage";-3,42;-1,5954;-0,1435;4,8197;2,7024;-0,2816;-0,0183
"scientifique";-3,3308;2,8173;0,3898;-0,1063;0,341;-0,4462;1,1893
"aller";-0,3818;-1,1974;0,373;-0,1119;0,8291;0,5397;-0,0306
"servir";-0,2009;3,6525;-0,0657;-0,0307;-2,4833;-0,129;-0,0084
"théoricien";-3,9907;23,8294;-0,1674;-0,0783;-9,2022;-0,3286;-0,0214
"livre";-1,765;-0,5059;-0,2393;-0,1119;2,9085;-0,4697;-0,0306
"revel";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"super";28,6479;-4,1279;-0,3712;-0,1736;-15,6486;-0,7286;-0,0474
"magazine";-1,7091;-0,7973;-0,0717;-0,0335;3,3081;-0,1408;-0,0092
"lieu";-0,2318;-0,455;0,7293;1,0362;-0,6463;1,2283;-0,0115
"batman";25,6685;-3,3273;-0,2993;-0,1399;-14,6905;-0,5873;-0,0382
"mystérieux";-1,7835;6,9752;-0,1136;2,1891;-3,858;0,3963;-0,0145
"petit";47,4485;-9,2859;-1,3619;-0,2416;-21,6741;-0,8429;-0,1739
"décider";0,3503;-1,2628;3,9539;-0,0531;-2,3379;3,9534;-0,0145
"handicapé";-1,5666;-0,7308;-0,0657;-0,0307;3,0322;-0,129;-0,0084
"corbière";-1,8516;-0,8638;-0,0777;-0,0363;3,5839;-0,1525;-0,0099
"dieu";-1,9941;8,3552;-0,0837;-0,0391;-4,5974;1,283;-0,0107
"mazaurette";-5,847;-2,7274;-0,2453;-0,1147;11,3201;-0,4814;-0,0313
"laure";-1,7091;-0,7973;19,57;-0,0335;-2,7767;-0,1408;-0,0092
"ville";0,7683;0,2142;0,7564;-0,0391;-1,7781;0,5019;1,6143
"etats";-0,4437;0,8161;-0,0897;-0,0419;0,226;-0,176;-0,0115
