"";"";"";"";"sauver";""
"1";"sauver";"1.68925962470512";"0.232623223628463";"1.6606377406388";"22"
"2";"livreur";"1.89870947690592";"0.242378415022075";"1.65456598206526";"24"
"3";"cryogénisé";"1.89870947690592";"0.242378415022075";"1.65456598206526";"25"
"4";"new_yorkais";"1.89870947690592";"0.242378415022075";"1.65456598206526";"26"
"5";"réveiller";"1.83657581491533";"0.259067658462322";"1.58068964976056";"28"
"6";"millénaire";"1.78971913800108";"0.0676294801553305";"1.52110009671654";"29"
