"";"*genregroupe_Animation";"*genregroupe_Documentaire";"*genregroupe_Feuilleton";"*genregroupe_Longmétrage";"*genregroupe_Magazine";"*genregroupe_Série";"*genregroupe_Tranchehoraire"
"devenir";3;4;0;0;15;3;0
"commenter";0;0;0;0;17;0;0
"accidentellement";26;0;0;0;0;0;0
"évolution";5;4;0;0;3;0;0
"chine";1;7;0;0;3;0;0
"substance";1;9;0;0;0;0;0
"karim";0;0;0;0;14;0;0
"vigi";0;0;0;0;14;0;0
"rythmé";26;0;0;0;1;0;0
"unir";4;18;0;0;8;0;0
"sortir";2;3;0;0;11;2;0
"commentaire";0;0;0;0;19;0;0
"zorbb";11;0;0;0;0;0;0
"consacrer";0;0;0;0;23;0;0
"sentir";0;0;0;0;18;0;0
"député";0;0;0;0;31;0;0
"perquisition";0;0;0;0;20;0;0
"ahmed";0;0;0;0;10;0;0
"affaire";0;1;0;0;24;4;0
"vigier";0;0;0;0;14;0;0
"rick";11;0;0;0;0;0;0
"guerre";2;0;0;3;5;2;0
"parler";1;1;0;0;49;1;0
"fry";46;0;0;0;0;0;0
"penser";3;6;1;0;12;3;0
"suivre";1;2;1;0;6;0;0
"évoquer";3;7;0;0;29;0;0
"tête";49;1;0;0;8;0;0
"possible";1;12;1;0;5;0;0
"poser";4;1;0;0;5;1;0
"hassaine";0;0;0;0;11;0;0
"théorie";0;12;0;0;2;0;0
"fou";3;1;0;0;6;0;0
"expérience";2;5;0;0;12;0;0
"corps";0;5;1;0;5;6;0
"solère";0;0;0;0;14;0;0
"reportage";1;0;0;0;46;0;0
"explorer";0;9;0;0;4;0;0
"convaincre";2;0;3;0;3;3;0
"internet";0;1;0;0;8;3;0
"city";53;0;0;0;0;2;0
"sophie";0;0;0;0;25;0;0
"affirmer";0;12;3;0;8;1;0
"semaine";2;3;0;0;17;0;0
"comédien";0;0;0;0;12;0;0
"différent";0;3;0;0;9;0;0
"extra_terrestre";2;0;1;0;8;0;0
"monde";56;42;1;0;28;4;0
"visiteur";0;18;7;0;2;0;0
"naulleau";0;0;0;0;12;0;0
"lilia";0;0;0;0;11;0;0
"fille";107;4;0;0;21;2;0
"désert";2;15;0;2;1;1;0
"humoriste";0;0;0;0;13;0;0
"apparition";0;5;0;0;11;0;0
