"";"banalfreq";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"devenir";25;-1,2813;0,3169;-0,1495;-0,0699;0,5079;1,554;-0,0191
"évolution";12;0,6496;1,1088;-0,0717;-0,0335;-1,3202;-0,1408;-0,0092
"sortir";18;-1,0717;0,3185;-0,1076;-0,0503;0,4843;1,0873;-0,0137
"penser";25;-1,2813;0,8777;0,5358;-0,0699;-0,4205;1,554;-0,0191
"suivre";10;-0,7355;0,3714;0,8909;-0,0279;0,3436;-0,1173;-0,0076
"poser";11;0,4313;-0,2807;-0,0657;-0,0307;-0,3783;0,59;-0,0084
"fou";10;0,2512;-0,2405;-0,0598;-0,0279;0,3436;-0,1173;-0,0076
"expérience";19;-1,1729;0,9188;-0,1136;-0,0531;0,5891;-0,2229;-0,0145
"semaine";22;-1,4869;-0,2085;-0,1315;-0,0615;1,7589;-0,2581;-0,0168
"différent";12;-1,7091;0,6266;-0,0717;-0,0335;0,9714;-0,1408;-0,0092
"extra_terrestre";11;-0,4343;-0,7308;0,8524;-0,0307;0,804;-0,129;-0,0084
"italie";14;-1,9941;0,497;-0,0837;-0,0391;1,3292;-0,1642;-0,0107
"chaîne";10;-1,4241;0,3714;-0,0598;-0,0279;1,1007;-0,1173;-0,0076
"science";12;-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"jeu";22;-0,6554;-1,4623;-0,1315;-0,0615;1,7589;-0,2581;1,4209
"leçon";11;-0,4343;-0,7308;-0,0657;-0,0307;1,2996;-0,129;-0,0084
"plan";14;-1,1854;0,497;1,8193;-0,0391;-0,289;0,5019;-0,0107
"notamment";11;-1,5666;0,3223;-0,0657;-0,0307;1,2996;-0,129;-0,0084
"recherche";39;-1,6751;-0,4759;-0,2333;-0,1091;1,2247;1,7091;-0,0298
"garçon";11;-0,2009;-0,2807;-0,0657;1,1654;-0,3783;0,59;-0,0084
"nucléaire";10;-1,4241;0,7989;-0,0598;-0,0279;0,6461;-0,1173;-0,0076
"frère";17;-0,3351;-0,5485;-0,1016;-0,0475;0,6264;0,4339;-0,013
"meilleur";11;-0,8447;-0,7308;-0,0657;1,1654;1,2996;-0,129;-0,0084
"animal";21;-1,3806;0,4598;-0,1255;-0,0587;0,823;0,3635;-0,016
"façon";10;-1,4241;0,3714;-0,0598;-0,0279;1,1007;-0,1173;-0,0076
"face";11;-0,2009;-0,7308;-0,0657;-0,0307;-0,3783;1,479;1,7179
"seul";18;0,4103;0,6101;-0,1076;-0,0503;-0,5085;-0,2112;-0,0137
"mauvais";12;-0,5157;-0,7973;-0,0717;-0,0335;0,9714;0,5578;-0,0092
"chef";12;-1,7091;0,6266;-0,0717;-0,0335;0,9714;-0,1408;-0,0092
"appeler";10;-1,4241;0,7989;0,8909;-0,0279;0,3436;-0,1173;-0,0076
"soucoupe";15;1,0196;-0,9967;-0,0897;1,0362;-0,6463;0,4774;-0,0115
"the";11;-0,8447;0,3223;-0,0657;-0,0307;0,804;-0,129;-0,0084
"transformer";11;-0,2009;-0,7308;-0,0657;-0,0307;0,4603;0,59;-0,0084
"zone";11;-1,5666;0,3223;-0,0657;-0,0307;1,2996;-0,129;-0,0084
"donner";38;-0,648;-0,7148;0,3898;-0,1063;0,8616;0,5707;-0,029
"cours";19;-1,7835;1,9186;-0,1136;-0,0531;-0,24;0,3963;-0,0145
"nom";10;-0,7355;1,3809;-0,0598;-0,0279;-0,2622;-0,1173;-0,0076
"marine";11;-0,4343;0,3223;-0,0657;-0,0307;0,4603;-0,129;-0,0084
"message";10;-1,4241;1,3809;-0,0598;-0,0279;0,3436;-0,1173;-0,0076
"déguiser";15;0,3834;-0,9967;-0,0897;-0,0419;0,6718;-0,176;-0,0115
"ligne";12;-1,7091;1,1088;-0,0717;-0,0335;0,5893;-0,1408;-0,0092
"sport";10;-1,4241;-0,2405;-0,0598;-0,0279;1,7621;-0,1173;-0,0076
"près_de";14;0,4569;-0,4097;-0,0837;-0,0391;-0,509;1,283;-0,0107
"explication";12;-1,7091;0,6266;-0,0717;-0,0335;0,9714;-0,1408;-0,0092
"héros";12;0,3531;-0,7973;-0,0717;-0,0335;0,5893;-0,1408;-0,0092
"vilain";10;-0,7355;-0,6644;-0,0598;-0,0279;1,7621;-0,1173;-0,0076
"vendre";10;0,2512;0,3714;0,8909;-0,0279;-1,4393;1,5585;-0,0076
"aimer";11;-1,5666;-0,2807;-0,0657;-0,0307;1,2996;0,59;-0,0084
"réalité";21;0,4349;1,1804;-0,1255;-0,0587;-1,2555;0,3635;-0,016
"visage";12;-1,7091;0,6266;-0,0717;-0,0335;0,9714;-0,1408;-0,0092
"effet";11;-0,2009;-0,2807;-0,0657;-0,0307;-0,3783;1,479;-0,0084
"jouer";13;-0,3132;-0,8638;-0,0777;-0,0363;1,1468;-0,1525;-0,0099
"volant";22;0,5953;0,4188;-0,1315;0,8793;-1,4314;0,9381;-0,0168
"également";10;-1,4241;0,7989;-0,0598;-0,0279;0,3436;0,6259;-0,0076
"université";17;-1,5406;-0,5485;-0,1016;-0,0475;1,3706;1,131;-0,013
"carrière";11;-1,5666;0,3223;-0,0657;-0,0307;1,2996;-0,129;-0,0084
"he";12;-0,9563;-0,7973;-0,0717;1,129;1,5047;-0,1408;-0,0092
"chercher";16;0,8845;-0,5013;-0,0956;-0,0447;-0,7957;1,1779;-0,0122
"star";14;-1,1854;0,2142;-0,0837;-0,0391;0,8779;0,5019;-0,0107
"force";11;-0,4343;-0,2807;-0,0657;1,1654;0,2355;0,59;-0,0084
"famille";23;-1,0952;-0,8469;1,4099;-0,0643;1,4688;-0,2699;-0,0176
"créer";15;-0,4437;-0,9967;-0,0897;-0,0419;0,6718;1,2283;-0,0115
"aller";40;-0,3818;-1,1974;0,373;-0,1119;0,8291;0,5397;-0,0306
"lieu";15;-0,2318;-0,455;0,7293;1,0362;-0,6463;1,2283;-0,0115
"ville";14;0,7683;0,2142;0,7564;-0,0391;-1,7781;0,5019;1,6143
"etats";15;-0,4437;0,8161;-0,0897;-0,0419;0,226;-0,176;-0,0115
"père";16;-0,5149;-0,2225;1,7069;-0,0447;-0,3001;0,4548;-0,0122
"clair";10;-1,4241;-0,6644;-0,0598;-0,0279;1,1007;1,5585;-0,0076
"main";11;-0,2009;-0,2807;-0,0657;-0,0307;0,4603;-0,129;-0,0084
"agir";21;-0,5852;0,7773;1,4831;-0,0587;-0,905;0,9721;-0,016
"trace";10;-1,4241;0,3714;0,8909;-0,0279;0,6461;-0,1173;-0,0076
"débarquer";12;1,5791;-0,7973;1,951;1,129;-1,9448;-0,1408;-0,0092
"mot";11;-1,5666;0,3223;-0,0657;-0,0307;0,804;0,59;-0,0084
"rappeler";13;-0,3132;-0,3654;0,7857;-0,0363;0,431;-0,1525;-0,0099
"fils";11;-0,2009;-0,7308;0,8524;-0,0307;-0,3783;1,479;-0,0084
"important";11;-1,5666;1,9025;0,8524;-0,0307;-0,3783;-0,129;-0,0084
"revenir";32;-1,9813;1,9749;0,4481;-0,0895;0,3698;-0,3756;-0,0244
"rapport";10;-1,4241;1,3809;-0,0598;-0,0279;0,3436;-0,1173;-0,0076
"travail";11;-1,5666;-0,7308;0,8524;-0,0307;1,2996;0,59;-0,0084
"part";14;-0,6896;-0,4097;-0,0837;1,0648;0,8779;-0,1642;-0,0107
"dossier";12;-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"mener";11;-0,8447;0,7063;0,8524;-0,0307;-0,6769;1,479;-0,0084
"moment";14;-1,1854;-0,4097;-0,0837;-0,0391;1,93;-0,1642;-0,0107
"travers";13;-0,3132;-0,3654;-0,0777;-0,0363;0,7289;-0,1525;-0,0099
"avenir";11;-1,5666;0,7063;-0,0657;-0,0307;0,804;-0,129;-0,0084
"réseau";10;-1,4241;-0,2405;-0,0598;-0,0279;1,7621;-0,1173;-0,0076
"écrire";12;-0,9563;0,2807;-0,0717;-0,0335;0,9714;-0,1408;-0,0092
"beau";12;-1,7091;0,2807;-0,0717;1,129;0,5893;0,5578;-0,0092
"agnès";10;-1,4241;-0,6644;-0,0598;-0,0279;1,7621;-0,1173;1,7589
"mois";12;-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"nouvelle";13;-0,3132;-0,3654;0,7857;-0,0363;0,2305;0,5286;-0,0099
"mettre";25;-1,2813;-0,2857;0,5358;-0,0699;0,5079;1,554;-0,0191
"coeur";13;0,2892;-0,3654;-0,0777;-0,0363;0,2305;0,5286;-0,0099
"proposer";16;-1,4209;0,7398;-0,0956;-0,0447;0,8063;-0,1877;-0,0122
"exister";16;-0,8757;1,7425;-0,0956;-0,0447;-0,3001;-0,1877;-0,0122
"élément";11;-1,5666;0,7063;-0,0657;1,1654;0,4603;-0,129;-0,0084
"groupe";14;-1,9941;-0,4097;-0,0837;-0,0391;1,3292;1,283;-0,0107
"apporter";11;-1,5666;1,9025;-0,0657;-0,0307;-0,6769;1,479;-0,0084
"chercheur";10;-1,4241;-0,6644;0,8909;-0,0279;1,7621;-0,1173;-0,0076
"porter";10;-1,4241;1,3809;0,8909;-0,0279;-0,2622;-0,1173;-0,0076
"envoyer";13;0,2892;-0,3654;-0,0777;-0,0363;0,2305;-0,1525;1,6461
"sud";10;-1,4241;0,3714;-0,0598;-0,0279;1,1007;-0,1173;-0,0076
"bout";10;-1,4241;0,7989;-0,0598;-0,0279;0,6461;-0,1173;-0,0076
"tourner";10;-1,4241;-0,6644;-0,0598;-0,0279;1,1007;1,5585;-0,0076
"nasa";14;-1,1854;0,2142;-0,0837;-0,0391;1,3292;-0,1642;-0,0107
"théâtre";12;-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"patron";14;-0,6896;-0,9303;-0,0837;-0,0391;1,93;-0,1642;-0,0107
"nuit";11;-0,8447;0,3223;-0,0657;-0,0307;0,4603;0,59;-0,0084
"permettre";20;-1,9063;1,787;-0,1196;-0,0559;0,2835;0,3794;-0,0153
"partir";26;-1,9254;0,5158;0,5216;-0,0727;0,8455;0,297;-0,0199
"marier";15;-1,3024;-0,455;1,761;-0,0419;1,0351;-0,176;-0,0115
"préparer";10;-1,4241;-0,2405;-0,0598;1,2054;1,1007;-0,1173;-0,0076
"décrire";12;-1,7091;0,2807;-0,0717;-0,0335;1,5047;-0,1408;-0,0092
"fantôme";11;-1,5666;0,3223;-0,0657;-0,0307;1,2996;-0,129;-0,0084
