"";"*audiencefemme_0";"*audiencefemme_01";"*audiencefemme_02";"*audiencefemme_03";"*audiencefemme_04";"*audiencefemme_05";"*audiencefemme_06";"*audiencefemme_07";"*audiencefemme_08";"*audiencefemme_09";"*audiencefemme_1";"*audiencefemme_103";"*audiencefemme_11";"*audiencefemme_112";"*audiencefemme_116";"*audiencefemme_12";"*audiencefemme_128";"*audiencefemme_13";"*audiencefemme_135";"*audiencefemme_14";"*audiencefemme_141";"*audiencefemme_147";"*audiencefemme_15";"*audiencefemme_16";"*audiencefemme_17";"*audiencefemme_18";"*audiencefemme_19";"*audiencefemme_199";"*audiencefemme_2";"*audiencefemme_22";"*audiencefemme_23";"*audiencefemme_27";"*audiencefemme_28";"*audiencefemme_29";"*audiencefemme_3";"*audiencefemme_31";"*audiencefemme_34";"*audiencefemme_35";"*audiencefemme_36";"*audiencefemme_38";"*audiencefemme_41";"*audiencefemme_47";"*audiencefemme_49";"*audiencefemme_55";"*audiencefemme_61";"*audiencefemme_62";"*audiencefemme_63";"*audiencefemme_69";"*audiencefemme_76";"*audiencefemme_79";"*audiencefemme_8";"*audiencefemme_83";"*audiencefemme_85";"*audiencefemme_89";"*audiencefemme_9";"*audiencefemme_96"
"penser";1;2;3;2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;3;1;1;0;0
"suivre";0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évoquer";1;1;1;2;4;0;0;1;0;0;0;0;0;0;0;1;0;6;0;2;0;0;1;2;5;2;0;0;0;1;0;0;2;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"tête";13;30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"possible";0;1;1;3;3;2;2;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"poser";0;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"hassaine";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"théorie";0;0;6;2;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fou";0;1;2;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"expérience";0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"son";5;15;14;12;5;7;0;5;0;2;8;1;2;0;2;3;0;21;1;4;0;3;3;11;6;0;0;1;0;5;2;1;2;3;1;11;3;5;9;5;0;11;1;2;1;7;0;0;0;1;1;3;4;0;0;3
"corps";0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"cette";2;2;3;2;3;3;0;1;0;2;0;0;2;0;5;2;0;4;0;2;0;3;0;3;0;0;0;0;0;2;5;0;1;0;0;3;8;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;2;1;0;0
"solère";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"reportage";0;0;1;0;0;0;0;1;0;0;2;0;4;0;0;4;0;0;0;4;0;0;0;5;1;0;3;0;0;2;0;0;1;0;0;1;4;0;1;0;0;8;2;0;0;0;0;0;0;0;0;1;2;0;0;0
"explorer";1;0;0;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"convaincre";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1
"si";0;2;7;5;1;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"sa";6;4;13;5;0;4;1;0;0;2;5;0;3;0;2;4;0;6;0;2;0;6;2;5;2;0;1;0;0;1;4;0;1;0;0;7;1;4;4;1;0;2;0;0;0;3;0;0;1;1;0;0;7;0;0;3
"se";11;20;32;32;15;10;2;6;1;0;3;1;1;0;4;4;0;4;0;7;0;3;3;7;2;3;0;0;0;1;10;1;4;0;0;6;3;2;8;0;2;4;2;1;1;3;0;0;0;1;2;3;1;0;0;0
"internet";1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"million";0;0;5;2;6;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"city";14;33;6;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";0;0;0;0;0;1;0;1;0;0;1;0;0;0;2;2;0;1;0;0;0;0;6;1;0;0;0;0;0;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"plein";7;16;3;1;0;0;1;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"sophie";0;0;0;0;0;0;0;2;0;1;0;0;1;0;0;6;0;1;0;0;0;0;3;2;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"affirmer";1;2;7;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0
"semaine";2;1;0;2;0;0;0;0;0;1;1;0;0;0;0;4;0;1;0;6;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"comédien";0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"différent";0;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"extra_terrestre";2;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"monde";15;36;16;16;4;6;4;3;1;0;2;0;0;2;0;3;0;3;1;0;1;1;0;3;0;0;0;0;0;2;0;1;1;1;0;4;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
"visiteur";0;0;6;2;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0
"naulleau";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"lilia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"fille";11;60;35;4;0;1;0;1;0;0;1;0;1;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;1;0
"désert";0;0;11;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"humoriste";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"apparition";0;0;1;0;0;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;8;0
"s";9;9;11;7;2;9;1;4;0;1;5;0;1;0;7;1;0;5;0;3;0;4;4;3;2;1;0;0;0;3;1;0;2;1;1;10;2;7;3;0;0;1;0;0;4;0;0;0;0;0;2;3;1;1;0;2
"autour";2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"venir";4;6;7;5;4;3;0;1;0;0;3;0;0;0;0;2;0;1;0;2;0;0;2;1;1;0;0;0;0;2;0;0;3;0;1;0;0;0;0;0;0;1;0;0;2;1;0;2;0;0;0;1;0;0;0;0
"tomber";0;1;0;2;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"vouloir";1;4;6;0;0;2;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0
