"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"pre";-1,848;1,6607;1,9781;1,2865;0,2959;-0,6282;-0,3299;0,6549;0,3873;0,6863;0,6813;0,9807;-0,4904;-1,0062;-0,8852;0,9371;-1,163;-10,2333;4,5038;0,5187;-1,5653;-0,69;1,1977;1,2596;0,8804;-0,3308;0,3856;-0,3073;-0,4403;-1,1194;-1,7025;1,2613;-2,21;1,6007;-0,3555;0,3481;0,3878;0,9006;-2,4309;-0,7738;-0,3753;1,4851;0,6721;0,5496;-0,9314;-0,9401;0,3624;0,8913;-0,9335;-0,3436;-0,8125;0,7357;-0,608;-0,3978;1,1067;0,4079
"ver_sup";1,0407;0,8093;4,184;0,9542;1,1271;-1,23;-0,8293;0,9446;0,2402;0,5984;0,3851;-0,4444;-1,85;-0,6029;0,4665;-0,7751;-0,6286;-1,0371;-0,5374;-0,3025;-0,5815;0,9669;-3,1007;0,8482;-2,5642;0,5835;-0,3061;0,3996;0,8756;-3,821;2,1249;-0,5472;-1,731;-1,3577;-0,1964;2,0289;-0,3649;-2,4508;-0,2621;1,1133;-0,2948;-0,2737;0,4411;0,3886;-0,59;-1,343;0,6232;-0,4702;-0,4573;0,4149;0,4268;0,5017;-0,3516;0,9517;-1,5341;0,5976
"adj_dem";-1,2311;-2,045;-0,4331;0,2834;3,1361;0,2733;-0,2041;0,4142;-0,1024;0,6191;-0,9731;-0,2616;-0,3848;-0,166;2,7079;1,0784;-0,1731;-0,5066;-0,2982;0,3939;-0,1601;1,3592;-2,5982;-0,2367;-0,9719;1,5727;-0,2037;-0,1648;-0,0765;-0,395;2,0226;-0,1507;-0,8178;-0,3739;1,3133;-0,2198;3,8752;-0,5942;-0,4073;-0,1189;-0,0812;0,2722;-0,258;-0,1684;-0,1625;-0,2115;-0,1118;-0,1295;-0,1259;0,511;-0,1566;-0,1967;1,0178;0,5596;-0,6454;-0,1165
"ono";-0,3441;-0,2825;0,6486;-0,2297;-0,5214;-1,6061;-0,2988;-0,172;-0,0537;0,4096;0,9523;0,567;-0,2803;1,7624;-0,9038;1,507;2,91;0,7088;0,5192;-0,7449;0,7547;0,3001;-0,3955;-0,9846;0,9535;-0,3837;0,661;-0,0865;1,0542;-0,7108;0,8375;-0,0791;-0,3219;0,4395;-0,0803;-0,2005;-0,6496;-0,6106;0,4203;-0,0624;-0,0426;0,6181;-0,1354;-0,0884;-0,0853;-0,3057;-0,0587;-0,068;-0,0661;-0,084;-0,0822;-0,292;0,3601;-0,0735;0,2663;-0,0611
"pro_per";0,7103;1,0446;1,8359;2,316;1,3038;-1,1489;0,7178;1,3823;0,4325;0,6113;-1,5313;-1,8481;-8,6007;-2,2051;-1,0895;0,2901;-2,2991;-8,3129;-1,6912;-1,7367;-2,1268;3,8129;-7,4327;-2,5657;-3,6182;0,8157;-2,7064;-0,905;-0,225;-2,7399;14,9967;-0,2789;-1,108;-1,175;2,1853;12,3882;-0,3103;-0,3639;-0,313;1,1746;1,0141;0,3267;-0,4657;0,8706;4,4971;0,802;-0,8333;1,0218;0,485;-0,54;1,7016;1,992;3,5778;-0,4083;-4,6467;1,6177
"num";1,158;-48,0791;-32,0429;-14,6326;-14,703;9,4688;-4,3974;-6,0819;-1,1728;-2,2138;-8,5775;-2,9966;57,1738;-0,7172;-5,3489;-1,6509;-1,9828;13,3217;0,6069;-9,543;-1,1103;-3,098;58,1028;-6,4496;-5,3804;-7,0587;-1,5233;-1,8882;-0,876;33,7874;-1,0674;-1,0236;45,6698;-2,4952;-1,7532;-10,4269;-8,5722;-0,9539;11,8523;-1,3617;-0,93;-1,7473;-1,4535;-1,9287;-1,8612;-1,4718;-1,2807;-0,8326;-1,4427;-0,6744;-1,7937;-2,9349;-2,7941;-1,6047;53,2106;-1,3347
"adv";-1,6868;-2,4569;0,5737;1,5492;0,7004;-0,2616;0,386;-1,0403;-0,1829;1,0581;0,9814;-0,149;-1,0425;-0,2965;9,252;-0,3521;-0,3091;-3,0227;-0,5326;-0,3151;0,3166;-0,2348;-0,397;0,4588;-0,6168;0,2408;0,2461;0,3078;-0,1366;-1,0664;-0,4775;-0,2691;-2,6123;-0,2619;1,5961;0,6866;-0,2137;0,7056;2,0475;0,4127;-0,145;-0,4189;-0,1457;-0,3007;1,5298;0,3713;-0,1997;-0,2312;0,3934;-0,286;0,8687;-0,2197;0,2374;-0,2502;-0,2935;-0,2081
"ver";0,2963;1,5337;0,5706;4,4894;3,2234;-3,6735;1,0614;0,3656;0,6865;1,3449;0,6178;0,7165;-2,7994;-2,7888;0,9937;-0,3162;-3,6616;-22,9146;0,3922;-0,3833;-0,5716;3,8931;-10,1041;0,9028;-0,8415;1,4586;0,3927;0,5139;-1,6678;-2,5073;1,7553;0,8878;-4,8705;0,4277;1,8413;5,5513;1,0977;-0,4888;-2,8049;1,9419;0,4274;1,5888;0,9114;2,0015;1,3347;1,0576;1,8406;0,6437;0,6985;0,5691;1,744;2,3178;1,7624;0,6698;-5,7652;0,8654
"adj_ind";-1,7616;-3,7569;-0,4691;1,9489;1,3336;1,0291;1,9525;0,3999;-0,1046;-0,417;-0,9941;-0,2672;-0,4003;0,4904;2,1552;1,0377;-0,1768;-1,3721;0,2974;-0,8081;-0,1636;1,3311;-1,2284;0,3583;0,7164;0,292;-0,2081;-0,1684;-0,0781;-0,7576;-0,2049;-0,1539;-0,8422;-0,3819;-0,1563;0,6055;1,1559;-0,6125;0,8544;-0,1214;1,8028;1,9863;-0,2636;-0,172;-0,166;0,8059;-0,1142;-0,1323;0,5911;-0,1636;-0,16;-0,5684;-0,158;-0,1431;-0,6593;-0,119
"adj_pos";1,0861;0,735;-0,5329;-1,1373;-2,0402;-1,6516;-0,5672;0,6098;-0,1553;2,3074;2,0376;-0,6419;-1,9322;-0,779;-3,1268;1,2729;-0,8122;-0,74;-0,4213;-0,7543;-0,7513;1,6521;-5,0026;0,706;0,619;-1,8188;-0,203;1,4829;-0,3588;-1,0515;1,4017;0,6577;-3,3072;-0,3652;-0,2922;4,1394;-0,4759;0,585;3,0808;2,74;0,6644;1,6563;-0,6297;0,5681;-0,3201;1,9683;-0,5246;-0,2256;-0,216;0,608;0,6261;-0,5383;3,1621;-0,6573;-3,0285;3,5685
