"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"unir";-0,3415;-0,2928;2,0201;2,8974;0,5698;-0,6464;-0,1203;-0,1886;-0,0182;-0,0772;0,4582;-0,0436;0,3348;-0,0304;0,2902;-0,3745;-0,0267;-0,9543;-0,0575;-0,2614;-0,0263;-0,1186;-0,1789;-0,3731;-0,1596;-0,1483;-0,0351;-0,0338;-0,0162;0,3031;-0,1231;-0,0287;-0,3062;-0,0677;-0,0324;-0,3839;-0,2404;0,4041;-0,3807;-0,024;-0,0152;-0,1654;-0,0483;-0,0324;-0,0348;0,6348;-0,0236;-0,0291;-0,0253;-0,0321;-0,0307;0,6486;-0,0965;-0,026;-0,12;-0,024
"leurs";0,3613;-0,7341;0,2764;-1,1474;0,919;-0,6214;1,0274;0,2552;-0,034;0,5492;0,2594;-0,0814;-0,5036;-0,0568;-0,5828;1,6782;-0,0498;-1,782;0,6595;-0,1585;-0,0492;-0,2215;-0,9909;-0,277;0,828;0,3266;-0,0656;0,869;-0,0303;0,4393;1,0112;0,935;-0,5719;-0,1263;-0,0606;2,2546;-0,449;-0,4066;0,6611;-0,0448;2,7069;0,2934;-0,0903;-0,0606;-0,065;-0,2139;-0,0441;0,9302;-0,0473;-0,0599;0,9072;-0,2063;-0,1802;-0,0486;-0,2241;-0,0448
"sortir";0,5311;-0,9963;-0,3663;-0,2173;-0,2687;2,8757;-0,0722;0,6394;1,6043;-0,0463;0,645;-0,0262;-0,1618;-0,0182;-0,1872;-0,2247;-0,016;0,4362;-0,0345;-0,1568;-0,0158;-0,0712;-0,3183;0,395;-0,0957;-0,089;-0,0211;-0,0203;-0,0097;-0,1794;0,8059;-0,0172;-0,1837;-0,0406;-0,0195;-0,2303;-0,1442;0,5854;0,3883;-0,0144;-0,0091;-0,0992;-0,029;-0,0195;-0,0209;-0,0687;-0,0142;-0,0174;-0,0152;-0,0193;-0,0184;-0,0663;-0,0579;-0,0156;-0,072;-0,0144
"commentaire";0,9915;-1,0517;-0,9025;-0,6409;-0,2837;1,9275;-0,0762;-0,1195;-0,0115;-0,0489;-0,1177;-0,0276;-0,1708;-0,0193;-0,1976;-0,2371;-0,0169;-0,6043;-0,0364;-0,1655;-0,0167;-0,0751;2,2182;-0,2363;-0,101;-0,0939;-0,0223;-0,0214;-0,0103;2,066;-0,0779;-0,0182;2,038;1,0271;-0,0205;-0,2431;-0,1523;-0,1379;0,3706;-0,0152;-0,0096;-0,1047;-0,0306;-0,0205;-0,022;-0,0725;-0,015;-0,0184;-0,016;-0,0203;-0,0195;-0,07;-0,0611;-0,0165;-0,076;-0,0152
"zorbb";-0,2956;-0,6088;-0,5225;-0,371;-0,1642;-0,237;-0,0441;10,4176;-0,0067;-0,0283;4,9161;-0,016;-0,0989;-0,0111;-0,1144;-0,1373;-0,0098;-0,3498;-0,0211;-0,0958;-0,0097;-0,0435;-0,1945;-0,1368;-0,0585;-0,0544;-0,0129;-0,0124;-0,0059;-0,1096;-0,0451;-0,0105;-0,1123;-0,0248;-0,0119;-0,1407;-0,0881;-0,0798;-0,1396;-0,0088;-0,0056;-0,0606;-0,0177;-0,0119;-0,0128;-0,042;-0,0087;-0,0106;-0,0093;-0,0118;-0,0113;-0,0405;-0,0354;-0,0095;-0,044;-0,0088
"consacrer";-0,6181;-1,2731;-1,0926;-0,7759;-0,3434;-0,4956;-0,0923;-0,1446;-0,014;0,895;-0,1425;-0,0334;-0,2067;-0,0233;-0,2393;9,5834;-0,0205;0,3097;-0,0441;1,1208;-0,0202;-0,0909;0,216;0,3166;-0,1223;0,6377;4,491;-0,0259;-0,0124;-0,2292;-0,0943;-0,022;-0,2348;-0,0519;-0,0249;-0,2943;-0,1843;-0,1669;-0,2919;-0,0184;-0,0116;-0,1268;-0,0371;-0,0249;-0,0267;-0,0878;-0,0181;-0,0223;1,3592;-0,0246;-0,0236;0,7516;-0,074;-0,0199;-0,092;-0,0184
"sentir";-0,4837;-0,9963;0,2443;-0,6072;-0,2687;0,2287;-0,0722;-0,1132;-0,0109;-0,0463;-0,1115;-0,0262;-0,1618;-0,0182;2,0828;-0,2247;-0,016;-0,5725;-0,0345;-0,1568;1,4469;-0,0712;-0,3183;-0,2238;-0,0957;0,7323;-0,0211;-0,0203;-0,0097;-0,1794;7,9525;-0,0172;-0,1837;-0,0406;-0,0195;1,8427;-0,1442;-0,1306;-0,2284;-0,0144;-0,0091;-0,0992;-0,029;-0,0195;-0,0209;-0,0687;-0,0142;-0,0174;-0,0152;-0,0193;-0,0184;0,8492;-0,0579;-0,0156;-0,072;-0,0144
"député";-0,8332;-1,7162;-1,4728;-1,0459;-0,4629;-0,2568;-0,1244;-0,1949;-0,0188;-0,0797;0,4468;-0,0451;0,8789;-0,0314;-0,3225;-0,387;-0,0276;23,1389;-0,0594;0,3343;-0,0272;-0,1226;-0,5483;-0,3855;-0,1649;-0,1532;-0,0363;-0,0349;-0,0167;-0,309;-0,1272;-0,0297;-0,3165;-0,0699;-0,0335;-0,3967;-0,2485;-0,225;0,2249;-0,0248;-0,0157;-0,1709;-0,05;-0,0335;-0,036;-0,1184;-0,0244;-0,03;-0,0262;-0,0332;-0,0318;-0,1142;-0,0997;-0,0269;-0,124;-0,0248
"toute";0,2018;-0,3838;-0,76;-0,5397;1,8096;0,2613;-0,0642;-0,1006;-0,0097;-0,0411;-0,0991;-0,0233;-0,1438;-0,0162;0,4971;-0,1997;-0,0142;-0,1633;-0,0307;-0,1394;-0,014;0,8679;-0,283;-0,1989;0,7498;-0,0791;-0,0187;-0,018;-0,0086;0,5125;-0,0656;-0,0153;-0,1633;-0,0361;-0,0173;1,1124;-0,1282;-0,1161;1,9971;-0,0128;-0,0081;-0,0882;-0,0258;-0,0173;-0,0186;-0,0611;-0,0126;-0,0155;-0,0135;-0,0171;-0,0164;-0,0589;-0,0515;-0,0139;-0,064;-0,0128
"perquisition";-0,5374;-1,107;-0,95;-0,6747;-0,2986;26,3476;-0,0802;-0,1257;-0,0122;-0,0514;-0,1239;-0,0291;-0,1798;-0,0203;-0,2081;-0,2496;-0,0178;-0,6361;-0,0383;-0,1743;-0,0176;-0,0791;-0,3537;-0,2487;-0,1064;-0,0989;-0,0234;-0,0225;-0,0108;-0,1993;-0,082;-0,0191;-0,2041;-0,0451;-0,0216;-0,2559;-0,1603;-0,1452;-0,2538;-0,016;-0,0101;-0,1102;-0,0322;-0,0216;-0,0232;-0,0764;-0,0158;-0,0194;-0,0169;-0,0214;-0,0205;-0,0736;-0,0643;-0,0173;-0,08;-0,016
