"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"toute";0,43;0,22;0;0;2,3;0,54;0;0;0;0;0;0;0;0;1,09;0;0;0,37;0;0;0;2,86;0;0;2,13;0;0;0;0;1,14;0;0;0;0;0;1,78;0;0;2,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"perquisition";0;0;0;0;0;10,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ahmed";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"affaire";0;0;0;0;0;1,61;0;0;0;0;0;0;0;0;7,66;0,91;12,66;2,2;0;1,3;0;0;0;0;0;0;0;10;0;1,14;0;0;0;0;0;0;0;1,56;0,9;0;0;2,05;0;0;0;2,96;0;0;13,33;10,53;0;0;0;25,97;0;0
"vigier";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rick";0;1,95;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"guerre";0,86;0,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,37;0;3,91;0;0;0;0;0;0;0;0;0;2,28;0;0;0;0;0;0;0;0;0,9;0;0;0;0;0;19,42;0;0;0;0;0;0;0;0;0;0;0
"parler";0;0,22;0;0;0;0;2,82;3,6;0;0;3,66;7,75;0;0;2,19;6,4;0;1,47;5,88;0;0;0;0;0,92;6,38;18,31;9,62;0;0;2,28;0;0;0;5;0;0,89;9,92;0;0,9;0;0;2,05;0;0;0;8,88;0;0;0;0;0;0;7,02;0;0;0
"fry";0;0,65;4,75;6,93;3,07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"penser";0,43;0,43;0,75;0,69;0,77;0;0;0;0;8,77;1,83;0;0;0;0;0;0;0;0;0;0;2,86;0;0,92;0;0;0;0;0;0;2,75;0;0;0;0;0;0;0;0,9;0;22,22;4,11;0;0;0;0;14,29;0;0;0;0;9,2;3,51;12,99;0;0
