"";"X.audiencefemme_0";"X.audiencefemme_01";"X.audiencefemme_02";"X.audiencefemme_03";"X.audiencefemme_04";"X.audiencefemme_05";"X.audiencefemme_06";"X.audiencefemme_07";"X.audiencefemme_08";"X.audiencefemme_09";"X.audiencefemme_1";"X.audiencefemme_103";"X.audiencefemme_11";"X.audiencefemme_112";"X.audiencefemme_116";"X.audiencefemme_12";"X.audiencefemme_128";"X.audiencefemme_13";"X.audiencefemme_135";"X.audiencefemme_14";"X.audiencefemme_141";"X.audiencefemme_147";"X.audiencefemme_15";"X.audiencefemme_16";"X.audiencefemme_17";"X.audiencefemme_18";"X.audiencefemme_19";"X.audiencefemme_199";"X.audiencefemme_2";"X.audiencefemme_22";"X.audiencefemme_23";"X.audiencefemme_27";"X.audiencefemme_28";"X.audiencefemme_29";"X.audiencefemme_3";"X.audiencefemme_31";"X.audiencefemme_34";"X.audiencefemme_35";"X.audiencefemme_36";"X.audiencefemme_38";"X.audiencefemme_41";"X.audiencefemme_47";"X.audiencefemme_49";"X.audiencefemme_55";"X.audiencefemme_61";"X.audiencefemme_62";"X.audiencefemme_63";"X.audiencefemme_69";"X.audiencefemme_76";"X.audiencefemme_79";"X.audiencefemme_8";"X.audiencefemme_83";"X.audiencefemme_85";"X.audiencefemme_89";"X.audiencefemme_9";"X.audiencefemme_96"
"pro_ind";7,32;8,15;8,9;6,62;7,07;4,73;10,37;3,64;11,49;5,78;6,09;4,5;1,78;0;13,16;12,6;0;3,89;3,95;2,51;7,35;8,21;1,39;7,64;0;4,85;0;0;0;1,76;19,03;0;1,63;0;15,38;12,43;8,64;8,16;8,37;0;0;1,52;4,57;27,97;14,49;10,14;0;0;0;0;7,52;10,62;0;8,4;5,49;20,2
"adj";60,05;83,19;90,91;73,38;91,93;74,47;76,76;60,68;45,98;52,02;48,72;49,55;54,32;134,75;63,71;57,59;95,24;58,35;55,34;70,41;80,88;61,6;54,55;59,83;29,27;38,83;57,8;28,57;30,77;43,9;61,31;7,81;45,57;22,08;30,77;57,59;52,78;60,2;70,14;59,41;57,97;53,03;36,53;41,96;50,72;56,8;52,63;81,82;74,77;36,76;45,11;36,09;27,36;58,82;54,95;70,71
"pro_dem";4,39;2,46;4,45;4,69;4,12;3,15;6,22;4,85;11,49;8,67;2,44;4,5;4,45;0;11,77;11,4;0;5,69;0;3,35;0;6,16;4,16;4,46;0;6,47;0;14,29;15,38;0,88;16,91;0;6,51;3,15;0;10,47;6,72;3,06;13,51;9,9;0;6,06;4,57;13,99;7,25;4,06;10,53;0;28,04;7,35;7,52;4,25;9,95;0;3,66;20,2
"nom";218,6;225,32;213,18;207,17;218,62;236,01;207,47;233,01;195,4;190,75;242,39;225,23;226,18;262,41;243,07;221,96;312,93;257,63;209,49;248,95;316,18;205,34;243,64;249,52;262,2;249,19;289,02;250;338,46;223;154,33;210,94;206,67;315,46;169,23;196,34;241,84;275,51;218,15;138,61;246,38;221,21;255,71;146,85;231,88;212,98;242,11;218,18;214,95;235,29;142,86;210,19;241,29;210,08;208,79;161,62
"art_ind";49,8;57,04;66,54;76,14;79,55;39,4;64,32;27,91;34,48;43,35;31,67;49,55;30,28;42,55;53,32;29,39;34,01;31,12;55,34;39,4;36,76;47,23;20,8;39,47;42,68;38,83;46,24;42,86;46,15;16,68;42,28;39,06;17,9;50,47;30,77;44,5;41,27;46,94;28,96;69,31;43,48;43,94;68,49;48,95;86,96;64,91;115,79;36,36;37,38;102,94;22,56;48,83;44,78;67,23;20,15;20,2
"adj_int";0;0;0,21;0,28;0;0;2,07;0;0;0;0;0;0;0;0;0,6;0;0,3;0;0;0;0;0,46;0;0;0;0;0;0;0;4,23;0;0;0;0;0,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,49;0;0;0
"pro_pos";0;0;0,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"nom_sup";3,66;1,14;2,75;4,97;3,54;4,73;4,15;2,43;11,49;8,67;0;0;6,23;0;2,08;7,8;0;9,58;7,91;1,68;7,35;4,11;3,7;5,09;4,88;3,24;5,78;7,14;46,15;7,02;0;23,44;7,32;12,62;0;5,24;2,88;2,04;5,79;0;0;6,06;0;6,99;0;6,09;0;0;0;29,41;0;8,49;7,46;16,81;1,83;0
"adv_sup";25,63;27,67;25,64;21,79;18,27;20,09;22,82;21,84;22,99;26,01;13,4;22,52;8,9;14,18;29,09;17,4;0;14,66;0;20,96;0;26,69;6,01;20,37;13,41;30,74;0;14,29;46,15;13,17;27,48;62,5;9,76;12,62;61,54;40,58;14,4;11,22;35,39;9,9;28,99;30,3;9,13;62,94;14,49;24,34;10,53;45,45;9,35;29,41;45,11;19,11;29,85;25,21;3,66;10,1
"adj_sup";1,1;0,76;0,42;0,83;0;0,79;0;0;0;5,78;0;0;0,89;0;2,77;0;6,8;0,3;0;0;0;0;0;1,27;2,44;3,24;0;0;0;1,76;6,34;0;0;0;0;4,58;0;1,02;0,64;0;0;1,52;0;0;0;0;0;0;9,35;0;0;2,12;0;0;0;0
"art_def";94,84;86,03;94,51;92,41;93,11;103,23;112,03;114,08;68,97;75,14;137,64;81,08;83,7;212,77;92,11;104,38;272,11;90,37;75,1;134,12;198,53;88,3;115,58;119,67;123,17;111,65;115,61;150;107,69;92,19;84,57;117,19;95,2;129,34;100;70,03;115,16;116,33;84,3;39,6;115,94;90,91;91,32;55,94;108,7;70,99;84,21;109,09;140,19;88,24;90,23;89,17;72,14;117,65;139,19;90,91
"adj_num";2,2;2,27;1,06;2,76;0;0,79;2,07;2,43;0;0;1,22;0;0;7,09;0,69;1,8;0;1,8;3,95;2,51;0;0;1,39;8,27;6,1;6,47;0;7,14;0;0,88;0;31,25;1,63;0;7,69;0,65;0,96;4,08;5,15;0;0;6,06;4,57;6,99;7,25;4,06;0;0;0;0;0;0;0;8,4;0;0
"pro_rel";22,7;26,53;25,01;17,66;21,21;11,03;33,2;14,56;11,49;17,34;20,71;13,51;10,69;14,18;16,62;12,6;6,8;9,87;31,62;12,57;7,35;16,43;5,09;15,28;6,1;27,51;5,78;21,43;15,38;7,9;23,26;7,81;5,7;3,15;23,08;15,71;16,31;12,24;13,51;39,6;14,49;12,12;4,57;13,99;7,25;20,28;10,53;9,09;37,38;7,35;30,08;21,23;27,36;33,61;1,83;20,2
"con";38,08;42,45;38,36;29,79;24,75;31,91;26,97;55,83;68,97;46,24;36,54;18,02;8,9;7,09;37,4;40,19;0;22,14;11,86;31,01;14,71;41,07;14,33;37,56;20,73;22,65;23,12;42,86;15,38;16,68;57,08;31,25;9,76;22,08;46,15;49,74;34,55;32,65;28,96;59,41;72,46;37,88;50,23;34,97;36,23;50,71;42,11;27,27;28,04;44,12;45,11;38,22;32,34;16,81;7,33;70,71
