"";"";"";"";"gasnier";""
"190";"carolin";"0.450020715215626";"0.450020715215626";"0.54757319346004";"256"
"191";"bde";"0.485026053043446";"0.485026053043446";"0.54757319346004";"257"
"192";"président";"0.4071969813142";"0.4071969813142";"0.547066578019187";"259"
"193";"isabelle";"0.333345365757458";"0.333345365757458";"0.547057991316799";"260"
"194";"écriture";"0.333345365757458";"0.333345365757458";"0.547057991316799";"261"
"195";"couple";"0.333345365757458";"0.333345365757458";"0.547057991316799";"262"
"196";"conséquence";"0.333345365757458";"0.333345365757458";"0.547057991316799";"263"
"197";"choix";"0.333345365757458";"0.333345365757458";"0.547057991316799";"264"
"198";"zarzavatdjian";"0.333345365757458";"0.333345365757458";"0.547057991316799";"265"
"199";"nouvel";"0.333345365757458";"0.333345365757458";"0.547057991316799";"266"
"200";"intituler";"0.333345365757458";"0.333345365757458";"0.547057991316799";"267"
"201";"exemple";"0.333345365757458";"0.333345365757458";"0.547057991316799";"268"
"202";"classe";"0.333345365757458";"0.333345365757458";"0.547057991316799";"270"
"203";"carrer";"0.333345365757458";"0.333345365757458";"0.547057991316799";"271"
"204";"mars";"0.319976195929775";"0.319976195929775";"0.546660140772852";"272"
"205";"retrouver";"0.310330946022014";"0.310330946022014";"0.545815781704763";"273"
"206";"enfant";"0.331802022198875";"0.331802022198875";"0.545704154573727";"274"
"207";"donner";"0.325801107142677";"0.325801107142677";"0.545704154573727";"275"
"208";"géant";"0.299280830935827";"0.299280830935827";"0.545658358827662";"276"
"209";"dieu";"0.299280830935827";"0.299280830935827";"0.545658358827662";"277"
"210";"cnrs";"0.299280830935827";"0.299280830935827";"0.545658358827662";"278"
"211";"jacques";"0.335992655948043";"0.335992655948043";"0.545621149783983";"279"
"212";"suggérer";"0.30190117976826";"0.30190117976826";"0.545569629569659";"280"
"213";"image";"0.338421732764213";"0.338421732764213";"0.544834035398476";"281"
"214";"venir";"0.332193113997769";"0.332193113997769";"0.544281624211557";"282"
"215";"travers";"0.322863970427726";"0.322863970427726";"0.544241552933749";"283"
"216";"international";"0.419538134684733";"0.419538134684733";"0.544015436437549";"284"
"217";"espace";"0.330238367953764";"0.330238367953764";"0.543998263032774";"285"
"218";"fils";"0.360780407414325";"0.360780407414325";"0.54368914174683";"286"
"219";"user";"0.343481291280577";"0.343481291280577";"0.54368914174683";"287"
"220";"atr";"0.328479003640082";"0.328479003640082";"0.54368914174683";"288"
"221";"équipe";"0.35519529115972";"0.35519529115972";"0.543402918333918";"289"
"222";"public";"0.343148858712188";"0.343148858712188";"0.543245495456817";"290"
"223";"groupe";"0.325775469130429";"0.325775469130429";"0.542884853956548";"291"
"224";"étranger";"0.374292269138298";"0.374292269138298";"0.541030126240881";"292"
"225";"choisir";"0.38402499337305";"0.38402499337305";"0.541030126240881";"293"
"226";"janvier";"0.411460035029917";"0.411460035029917";"0.541030126240881";"294"
"227";"enlèvement";"0.379158631255674";"0.379158631255674";"0.541030126240881";"295"
"228";"accueillir";"0.379158631255674";"0.379158631255674";"0.541030126240881";"296"
"229";"servir";"0.299280830935827";"0.299280830935827";"0.540992917197202";"297"
"230";"militaire";"0.299280830935827";"0.299280830935827";"0.540992917197202";"298"
"231";"disparaître";"0.299280830935827";"0.299280830935827";"0.540992917197202";"299"
"232";"théorie";"0.302119542170963";"0.302119542170963";"0.540972881558298";"300"
"233";"véritable";"0.302119542170963";"0.302119542170963";"0.540972881558298";"301"
"234";"lopez";"0.404296844419286";"0.404296844419286";"0.540846943256617";"302"
"235";"printemps";"0.404296844419286";"0.404296844419286";"0.540846943256617";"304"
"236";"mêler";"0.404296844419286";"0.404296844419286";"0.540846943256617";"305"
"237";"bayrou";"0.404296844419286";"0.404296844419286";"0.540846943256617";"306"
"238";"éjonatown";"0.404296844419286";"0.404296844419286";"0.540846943256617";"307"
"239";"vérif";"0.404296844419286";"0.404296844419286";"0.540846943256617";"308"
"240";"thévenot";"0.404296844419286";"0.404296844419286";"0.540846943256617";"309"
"241";"session";"0.404296844419286";"0.404296844419286";"0.540846943256617";"310"
"242";"maxence";"0.404296844419286";"0.404296844419286";"0.540846943256617";"311"
"243";"impertinence";"0.404296844419286";"0.404296844419286";"0.540846943256617";"312"
"244";"gaspard";"0.404296844419286";"0.404296844419286";"0.540846943256617";"313"
"245";"effondrement";"0.404296844419286";"0.404296844419286";"0.540846943256617";"314"
"246";"désir";"0.404296844419286";"0.404296844419286";"0.540846943256617";"315"
"247";"1er";"0.404296844419286";"0.404296844419286";"0.540846943256617";"316"
"248";"expliquer";"0.327025366342165";"0.327025366342165";"0.540804009744681";"317"
"249";"matin";"0.39073750261003";"0.39073750261003";"0.540638000165192";"318"
"250";"ex";"0.416053692016425";"0.416053692016425";"0.540248736323632";"319"
"251";"claude";"0.34783003103601";"0.34783003103601";"0.539739258648649";"320"
"252";"visite";"0.320762617684344";"0.320762617684344";"0.539664840561292";"321"
"253";"député";"0.428515607006534";"0.428515607006534";"0.539206883100634";"322"
"254";"chien";"0.383293641722595";"0.383293641722595";"0.539206883100634";"323"
"255";"tester";"0.383293641722595";"0.383293641722595";"0.539206883100634";"324"
"256";"saint";"0.390106548686921";"0.390106548686921";"0.539206883100634";"325"
"257";"populaire";"0.390106548686921";"0.390106548686921";"0.539206883100634";"326"
"258";"coup";"0.383293641722595";"0.383293641722595";"0.539206883100634";"327"
"259";"marquer";"0.383293641722595";"0.383293641722595";"0.539206883100634";"328"
"260";"carte";"0.383293641722595";"0.383293641722595";"0.539206883100634";"329"
"261";"bureau";"0.383293641722595";"0.383293641722595";"0.539206883100634";"330"
"262";"pari";"0.351184035745007";"0.351184035745007";"0.537907428806015";"331"
"263";"agir";"0.31018660030153";"0.31018660030153";"0.53776145486543";"332"
"264";"ville";"0.314283118576321";"0.314283118576321";"0.537727108055881";"333"
"265";"handicapé";"0.333345365757459";"0.333345365757459";"0.537483818154906";"334"
"266";"spécialiser";"0.333345365757459";"0.333345365757459";"0.537483818154906";"335"
"267";"santé";"0.333345365757459";"0.333345365757459";"0.537483818154906";"336"
"268";"lecluyse";"0.333345365757459";"0.333345365757459";"0.537483818154906";"337"
"269";"démonstration";"0.333345365757459";"0.333345365757459";"0.537483818154906";"338"
"270";"animateur";"0.333345365757459";"0.333345365757459";"0.537483818154906";"339"
"271";"équilibre";"0.333345365757459";"0.333345365757459";"0.537483818154906";"340"
"272";"saveur";"0.333345365757459";"0.333345365757459";"0.537483818154906";"341"
"273";"producteur";"0.333345365757459";"0.333345365757459";"0.537483818154906";"342"
"274";"mimosa";"0.333345365757459";"0.333345365757459";"0.537483818154906";"343"
"275";"luxe";"0.333345365757459";"0.333345365757459";"0.537483818154906";"344"
"276";"louise";"0.333345365757459";"0.333345365757459";"0.537483818154906";"345"
"277";"henri";"0.333345365757459";"0.333345365757459";"0.537483818154906";"346"
"278";"dreyfus";"0.333345365757459";"0.333345365757459";"0.537483818154906";"347"
"279";"culturel";"0.333345365757459";"0.333345365757459";"0.537483818154906";"348"
"280";"chanter";"0.333345365757459";"0.333345365757459";"0.537483818154906";"349"
"281";"britannique";"0.333345365757459";"0.333345365757459";"0.537483818154906";"350"
"282";"boiter";"0.333345365757459";"0.333345365757459";"0.537483818154906";"351"
"283";"beccaro";"0.333345365757459";"0.333345365757459";"0.537483818154906";"352"
"284";"face";"0.365696892508066";"0.365696892508066";"0.536536418658168";"353"
"285";"effet";"0.299280830935827";"0.299280830935827";"0.53633606226913";"354"
"286";"intelligent";"0.299280830935827";"0.299280830935827";"0.53633606226913";"355"
"287";"connaissance";"0.299280830935827";"0.299280830935827";"0.53633606226913";"356"
"288";"sortir";"0.339493189730824";"0.339493189730824";"0.536275955352419";"357"
"289";"voix";"0.349584340808845";"0.349584340808845";"0.536275955352419";"358"
"290";"média";"0.415868152328766";"0.415868152328766";"0.534884909565668";"359"
"291";"affaire";"0.357989609644211";"0.357989609644211";"0.534730348922696";"360"
"292";"commenter";"0.358274773760688";"0.358274773760688";"0.534650206367081";"361"
"293";"gagner";"0.365352914357136";"0.365352914357136";"0.53448992125585";"362"
"294";"technique";"0.327667943287186";"0.327667943287186";"0.53448992125585";"363"
"295";"coach";"0.345170612201096";"0.345170612201096";"0.53448992125585";"364"
"296";"afrique";"0.327667943287186";"0.327667943287186";"0.53448992125585";"365"
"297";"trouver";"0.31449501897883";"0.31449501897883";"0.534229457950101";"366"
"298";"intéresser";"0.337956233737483";"0.337956233737483";"0.534183662204035";"367"
"299";"elisabeth";"0.351083235422915";"0.351083235422915";"0.534183662204035";"368"
"300";"thevenot";"0.337956233737483";"0.337956233737483";"0.534183662204035";"369"
"301";"actu";"0.351083235422915";"0.351083235422915";"0.534183662204035";"370"
"302";"premier";"0.356630452151201";"0.356630452151201";"0.533645562187761";"371"
"303";"mystérieux";"0.304521528600694";"0.304521528600694";"0.533322129731171";"372"
"304";"envoyer";"0.309979334651603";"0.309979334651603";"0.533322129731171";"373"
"305";"chaîne";"0.427711087752215";"0.427711087752215";"0.533241987175556";"374"
"306";"avion";"0.40145708438135";"0.40145708438135";"0.533241987175556";"375"
"307";"procès";"0.420851877851084";"0.420851877851084";"0.532832687695092";"376"
"308";"antenne";"0.447105881221949";"0.447105881221949";"0.532832687695092";"377"
"309";"exoplanètes";"0.412335744145676";"0.412335744145676";"0.532832687695092";"378"
"310";"allusion";"0.438589747516541";"0.438589747516541";"0.532832687695092";"379"
"311";"zoom";"0.429368011556492";"0.429368011556492";"0.532832687695092";"380"
"312";"réunir";"0.438589747516541";"0.438589747516541";"0.532832687695092";"381"
"313";"olaf";"0.438589747516541";"0.438589747516541";"0.532832687695092";"382"
"314";"frontière";"0.438589747516541";"0.438589747516541";"0.532832687695092";"383"
"315";"angela";"0.412335744145676";"0.412335744145676";"0.532832687695092";"384"
"316";"mois";"0.377690039921101";"0.377690039921101";"0.532620882369537";"385"
"317";"revue";"0.373431973068397";"0.373431973068397";"0.532620882369537";"386"
"318";"endroit";"0.299280830935827";"0.299280830935827";"0.531684931809316";"387"
"319";"cerveau";"0.299280830935827";"0.299280830935827";"0.531684931809316";"388"
"320";"écraser";"0.299280830935827";"0.299280830935827";"0.531684931809316";"389"
"321";"visiter";"0.299280830935827";"0.299280830935827";"0.531684931809316";"390"
"322";"représenter";"0.299280830935827";"0.299280830935827";"0.531684931809316";"391"
"323";"disparition";"0.299280830935827";"0.299280830935827";"0.531684931809316";"392"
"324";"apparence";"0.299280830935827";"0.299280830935827";"0.531684931809316";"393"
"325";"tenter";"0.310823836477609";"0.310823836477609";"0.531164005197817";"394"
"326";"devenir";"0.336016320990009";"0.336016320990009";"0.53112107168588";"395"
"327";"débat";"0.364656435288695";"0.364656435288695";"0.531003720086587";"396"
"328";"recherche";"0.356809273505953";"0.356809273505953";"0.530671700927609";"397"
"329";"mort";"0.328321776478636";"0.328321776478636";"0.53050569134812";"398"
"330";"vidéo";"0.402674124397609";"0.402674124397609";"0.530036284950945";"399"
"331";"évoquer";"0.345250120412492";"0.345250120412492";"0.529521082807704";"400"
"332";"réputation";"0.374968929061739";"0.374968929061739";"0.529051676410529";"401"
"333";"exposer";"0.369291506591467";"0.369291506591467";"0.529051676410529";"402"
"334";"canular";"0.38064635153201";"0.38064635153201";"0.529051676410529";"403"
"335";"aimer";"0.349598993135991";"0.349598993135991";"0.528622341291162";"404"
"336";"pratiquer";"0.333345365757458";"0.333345365757458";"0.527926818397787";"406"
"337";"plume";"0.333345365757458";"0.333345365757458";"0.527926818397787";"407"
"338";"payer";"0.333345365757458";"0.333345365757458";"0.527926818397787";"408"
"339";"fragile";"0.333345365757458";"0.333345365757458";"0.527926818397787";"409"
"340";"arabe";"0.333345365757458";"0.333345365757458";"0.527926818397787";"410"
"341";"anglais";"0.333345365757458";"0.333345365757458";"0.527926818397787";"411"
"342";"mr";"0.333345365757458";"0.333345365757458";"0.527926818397787";"412"
"343";"fruit";"0.333345365757458";"0.333345365757458";"0.527926818397787";"413"
"344";"evanno";"0.333345365757458";"0.333345365757458";"0.527926818397787";"414"
"345";"broch";"0.333345365757458";"0.333345365757458";"0.527926818397787";"415"
"346";"studio";"0.333345365757458";"0.333345365757458";"0.527926818397787";"416"
"347";"roux";"0.333345365757458";"0.333345365757458";"0.527926818397787";"417"
"348";"reconstitution";"0.333345365757458";"0.333345365757458";"0.527926818397787";"418"
"349";"porteil";"0.333345365757458";"0.333345365757458";"0.527926818397787";"419"
"350";"mur";"0.333345365757458";"0.333345365757458";"0.527926818397787";"420"
"351";"mariage";"0.333345365757458";"0.333345365757458";"0.527926818397787";"421"
"352";"fabrication";"0.333345365757458";"0.333345365757458";"0.527926818397787";"422"
"353";"développer";"0.333345365757458";"0.333345365757458";"0.527926818397787";"423"
"354";"culinaire";"0.333345365757458";"0.333345365757458";"0.527926818397787";"424"
"355";"craquer";"0.333345365757458";"0.333345365757458";"0.527926818397787";"425"
"356";"compositeur";"0.333345365757458";"0.333345365757458";"0.527926818397787";"426"
"357";"collignon";"0.333345365757458";"0.333345365757458";"0.527926818397787";"427"
"358";"brafman";"0.333345365757458";"0.333345365757458";"0.527926818397787";"428"
