"";"";"";"";"merci";""
"85";"depuis";"0.335506846489265";"0.194730451886382";"0.812058992516013";"213"
"86";"toujours";"0.32482665801785";"0.175766903515061";"0.811689134639721";"214"
"87";"autre";"0.321092369667229";"0.174196521791106";"0.811689134639721";"215"
"88";"17";"0.360035194456074";"0.221712203081208";"0.811640362172518";"216"
"89";"x";"0.318519173505454";"0.170410445040673";"0.811526559749044";"217"
"90";"2007";"0.416832427987899";"0.301948207859902";"0.811420886070103";"219"
"91";"demain";"0.416832427987899";"0.301948207859902";"0.811420886070103";"220"
"92";"2021";"0.351788837677541";"0.189538891968556";"0.811420886070103";"221"
"93";"celui_ci";"0.360304971382964";"0.200826498253207";"0.811420886070103";"222"
"94";"1996";"0.416832427987899";"0.301948207859902";"0.811420886070103";"223"
"95";"contre";"0.331827039174289";"0.178061823811827";"0.811258311179425";"224"
"96";"cela";"0.318118068931126";"0.171175866958911";"0.811229860573557";"225"
"97";"encore";"0.317840381148898";"0.171705774440768";"0.811168894989553";"226"
"98";"ou";"0.333673516316623";"0.187078535874561";"0.810900646419935";"227"
"99";"alors";"0.325232433340415";"0.177270215086765";"0.810421050492436";"228"
"100";"personne";"0.323762677561801";"0.176468654471265";"0.809543146082777";"229"
"101";"2017";"0.338661835992106";"0.180165432231837";"0.808571761110978";"230"
"102";"chez";"0.367322210474312";"0.22956085932958";"0.808567696738711";"231"
"103";"dès";"0.307796964641226";"0.163332659306328";"0.808311641285894";"232"
"104";"divers";"0.307796964641226";"0.163332659306328";"0.808311641285894";"233"
"105";"dame";"0.307796964641226";"0.163332659306328";"0.808311641285894";"234"
"106";"maintenant";"0.322460922319997";"0.172068070193738";"0.807356513803163";"235"
"107";"29";"0.344929627776416";"0.21762317070407";"0.807112651467146";"236"
"108";"42";"0.344929627776416";"0.21762317070407";"0.807112651467146";"237"
"109";"parfois";"0.341287236329193";"0.18204012417918";"0.806539574977507";"238"
"110";"longtemps";"0.348100143293532";"0.191070209206901";"0.806539574977507";"239"
"111";"vouloir";"0.343789794953658";"0.201637602108825";"0.806320098875093";"240"
"112";"enfin";"0.316313098346649";"0.174620265590979";"0.805681992429183";"241"
"113";"dehors";"0.342567101717518";"0.193367185064419";"0.805681992429183";"242"
"114";"mieux";"0.316313098346649";"0.174620265590979";"0.805681992429183";"243"
"115";"1999";"0.342567101717518";"0.193367185064419";"0.805681992429183";"244"
"116";"pendant";"0.338261311466903";"0.199320195425591";"0.805596640611577";"245"
"117";"quatre";"0.328882204928453";"0.18210776063733";"0.805320263297425";"246"
"118";"dire";"0.339806790732888";"0.187925105260589";"0.804934147932066";"248"
"119";"surtout";"0.372318905880784";"0.256970041313506";"0.804592740661643";"249"
"120";"mêmes";"0.351315703184089";"0.241972505734754";"0.804592740661643";"250"
"121";"toute";"0.357602013397382";"0.218487172714165";"0.804320427719758";"251"
"122";"eux";"0.326449023869761";"0.178882730270287";"0.804182239062682";"252"
"123";"entre";"0.35404928405686";"0.222013153330415";"0.803588840711709";"253"
"124";"concernant";"0.371971139833585";"0.24445541872406";"0.803564454478107";"254"
"125";"peu";"0.360864104222797";"0.225686105081902";"0.803499424521836";"255"
"126";"rien";"0.340308665457366";"0.188914574315831";"0.803499424521836";"256"
"127";"ben";"0.310635675876367";"0.167095194734545";"0.803202725346349";"257"
"128";"douze";"0.334286168763628";"0.17704094565293";"0.803202725346349";"258"
"129";"quant";"0.310635675876367";"0.167095194734545";"0.803202725346349";"259"
"130";"ni";"0.334286168763628";"0.17704094565293";"0.803202725346349";"260"
"131";"devant";"0.310635675876367";"0.167095194734545";"0.803202725346349";"261"
"132";"500";"0.310635675876367";"0.167095194734545";"0.803202725346349";"262"
"133";"quel";"0.334286168763628";"0.17704094565293";"0.803202725346349";"263"
"134";"malgré";"0.334286168763628";"0.17704094565293";"0.803202725346349";"264"
"135";"lorsqu";"0.310635675876367";"0.167095194734545";"0.803202725346349";"265"
"136";"aucune";"0.334286168763628";"0.17704094565293";"0.803202725346349";"266"
"137";"1994";"0.334286168763628";"0.17704094565293";"0.803202725346349";"268"
"138";"1989";"0.310635675876367";"0.167095194734545";"0.803202725346349";"269"
"139";"durant";"0.327096940596836";"0.17607267362815";"0.803101116039676";"270"
"140";"000";"0.360145893389954";"0.239482543264868";"0.80276377314152";"271"
"141";"tard";"0.333909847561175";"0.18510275865587";"0.802328885308957";"272"
"142";"me";"0.345641013704192";"0.192091087365798";"0.801312792242222";"273"
"143";"combien";"0.345641013704192";"0.192091087365798";"0.801312792242222";"274"
"144";"43";"0.334050968012095";"0.182079578779768";"0.8";"275"
"145";"hors";"0.334050968012095";"0.182079578779768";"0.8";"276"
"146";"aucun";"0.334050968012095";"0.182079578779768";"0.8";"277"
"147";"70";"0.334050968012095";"0.182079578779768";"0.8";"278"
