"";"";"";"";"*user_BTLVNuméro1surleMystèreetlInexpliqué";""
"1";"*user_BTLVNuméro1surleMystèreetlInexpliqué";"-0.483921945020295";"-0.54570740444044";"0.834622547587866";"26"
"2";"*user_ÉNIGMESEN7SECONDES";"-0.4633763385766";"-0.358903193555335";"0.813324602479186";"29"
