"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"64";64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"65";65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"67";67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"68";68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"70";70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"72";72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"73";73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"74";74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"75";75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"76";76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"77";77;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"78";78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"79";79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"80";80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"81";81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"82";82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"83";83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"84";84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"85";85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"86";86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"87";87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"88";88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"89";89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"90";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"91";91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"92";92;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"93";93;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"94";94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"95";95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"96";96;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"97";97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"98";98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"99";99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"100";100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"101";101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"102";102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"103";103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"104";104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";105;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"106";106;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"107";107;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"108";108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"109";109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"110";110;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"111";111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"112";112;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"113";113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"114";114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"115";115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"116";116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"117";117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"118";118;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"119";119;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"120";120;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"121";121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"122";122;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"123";123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"124";124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"125";125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"126";126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"127";127;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"128";128;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"129";129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"130";130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
