"V1";"V2";"V3";"V4";"V5";"V6"
"  4";"  5";" 80.00";" 10.47";"patrice";"1.213495e-03"
"  5";"  8";" 62.50";"  8.31";"jacques";"3.944849e-03"
"  3";"  4";" 75.00";"  7.00";"art";"8.139019e-03"
"  3";"  4";" 75.00";"  7.00";"suite";"8.139019e-03"
"  3";"  5";" 60.00";"  4.56";"enfant";"3.265928e-02"
"  2";"  3";" 66.67";"  3.75";"éveil";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"abonné";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"réalité";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"énergie";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"surnaturel";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"sarah";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"méditation";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"martine";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"ligne";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"deïmian";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"deuxième";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"crâne";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"continuer";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"claude";"5.290656e-02"
"  2";"  3";" 66.67";"  3.75";"antérieur";"5.290656e-02"
"  3";"  6";" 50.00";"  3.03";"janvier";"8.198791e-02"
"  3";"  6";" 50.00";"  3.03";"changer";"8.198791e-02"
"  2";"  4";" 50.00";"  2.01";"spécialiste";"1.562020e-01"
"  2";"  4";" 50.00";"  2.01";"cas";"1.562020e-01"
"  3";"  7";" 42.86";"  2.00";"planète";"1.571440e-01"
"  3";"  7";" 42.86";"  2.00";"science";"1.571440e-01"
"  3";"  7";" 42.86";"  2.00";"expérience";"1.571440e-01"
"*****";"*";"*";"*";"*";"*"
"70";"108";" 64.81";"147.45";"sur";"6.242716e-34"
"15";" 15";"100.00";" 57.24";"mieux";"3.848029e-14"
"29";" 48";" 60.42";" 47.86";"on";"4.569338e-12"
"18";" 24";" 75.00";" 43.32";"si";"4.641842e-11"
"38";" 85";" 44.71";" 32.45";"et";"1.221002e-08"
"44";"120";" 36.67";" 21.16";"la";"4.220698e-06"
"15";" 29";" 51.72";" 17.01";"vous";"3.714183e-05"
"10";" 16";" 62.50";" 16.82";"là";"4.104869e-05"
"21";" 53";" 39.62";" 11.80";"être";"5.927137e-04"
