"";"";"";"";"français";""
"116";"martine";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"326"
"117";"ligne";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"327"
"118";"deïmian";"-0.445545954518129";"-0.633889687060348";"0.811384751417766";"328"
"119";"deuxième";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"329"
"120";"crâne";"-0.445545954518129";"-0.633889687060348";"0.811384751417766";"330"
"121";"continuer";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"331"
"122";"claude";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"332"
"123";"antérieur";"-0.445545954518129";"-0.633889687060348";"0.811384751417766";"333"
"124";"janvier";"-0.475307608639169";"-0.495806069019041";"0.80885869409643";"334"
"125";"planète";"-0.48602297108658";"-0.515853474252629";"0.808841200624676";"335"
"126";"info";"-0.460667619051055";"-0.516317869634174";"0.808841200624676";"336"
"127";"expérience";"-0.439178463827378";"-0.515758622785405";"0.808841200624676";"337"
"128";"projet";"-0.533050088022752";"-0.497666279635737";"0.808207936947167";"341"
"129";"média";"-0.451072200319149";"-0.497500289568095";"0.808207936947167";"342"
"130";"témoignage";"-0.495444066381318";"-0.496687597650392";"0.808207936947167";"343"
"131";"spécialiste";"-0.457838044739884";"-0.495708915665046";"0.808207936947167";"345"
"132";"animal";"-0.416235325596074";"-0.428118746527893";"0.808207936947167";"347"
"133";"extraordinaire";"-0.464440384799283";"-0.543796474926343";"0.805902297369936";"352"
"134";"origine";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"354"
"135";"vivre";"-0.417991218501849";"-0.451287750872741";"0.805902297369936";"355"
"136";"machine";"-0.417991218501849";"-0.451287750872741";"0.805902297369936";"356"
"137";"guérison";"-0.449238150409274";"-0.542685872320539";"0.805902297369936";"357"
"138";"fabrice";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"358"
"139";"commencer";"-0.414299022610704";"-0.54249156561255";"0.805902297369936";"359"
"140";"partie";"-0.51770721485988";"-0.559744878419121";"0.805373994522953";"360"
"141";"new";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"361"
"142";"travis";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"363"
"143";"observation";"-0.527295068773321";"-0.451509070962931";"0.805311018024637";"364"
"144";"abduction";"-0.558542000680745";"-0.542907192410729";"0.805311018024637";"365"
"145";"cas";"-0.518879265311887";"-0.565236188736241";"0.805311018024637";"366"
"146";"pentagone";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"367"
"147";"médium";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"368"
"148";"linda";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"369"
"149";"confirmer";"-0.477153706584742";"-0.450204161649137";"0.805311018024637";"370"
"150";"équipe";"-0.527381758938406";"-0.524694243275939";"0.804180939749303";"371"
"151";"parler";"-0.461799448775524";"-0.524561451221825";"0.804180939749303";"372"
"152";"affranchi";"-0.474507399249718";"-0.566048880653944";"0.802679999872775";"374"
"153";"reportage";"-0.523602872882175";"-0.54271288570274";"0.8";"375"
"154";"archéologie";"-0.523602872882175";"-0.54271288570274";"0.8";"376"
"155";"amour";"-0.523602872882175";"-0.54271288570274";"0.8";"377"
"156";"dossier";"-0.523602872882175";"-0.54271288570274";"0.8";"378"
"157";"vague";"-0.523602872882175";"-0.54271288570274";"0.8";"379"
"158";"réincarnation";"-0.523602872882175";"-0.54271288570274";"0.8";"380"
