"";"";"";"";"français";""
"1";"français";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"118"
"2";"recherche";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"126"
"3";"mettre";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"132"
"4";"image";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"134"
"5";"exemple";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"135"
"6";"communication";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"144"
"7";"preuve";"-0.41360148623741";"-0.393365240010621";"0.861419579329714";"145"
"8";"esprit";"-0.451661793926749";"-0.404963248874145";"0.860261511499572";"148"
"9";"dr";"-0.511006586028073";"-0.602775027125409";"0.85969472301473";"152"
"10";"révélation";"-0.459689289312417";"-0.479264281865682";"0.856000101780199";"159"
"11";"fantôme";"-0.594091308594756";"-0.567193552706932";"0.853904383864022";"169"
"12";"homme";"-0.463376338576602";"-0.358903193555333";"0.852749814728231";"170"
"13";"rencontre";"-0.522890439691241";"-0.587808068446739";"0.851430806957949";"172"
"14";"cacher";"-0.461389830109795";"-0.389642281552539";"0.850188770463386";"175"
"15";"mort";"-0.489084976647309";"-0.587107037112845";"0.84742480192619";"179"
"16";"youtube";"-0.41096764687873";"-0.358611733493357";"0.846830023886541";"180"
"17";"com";"-0.410967646878718";"-0.358611733493349";"0.846830023886541";"181"
"18";"https";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"182"
"19";"watch";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"183"
"20";"ufologie";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"185"
"21";"facebook";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"187"
"22";"émission";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"188"
"23";"réseau";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"190"
"24";"nalien";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"191"
"25";"quantique";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"192"
"26";"musique";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"194"
"27";"nufologie";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"195"
"28";"engager";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"196"
"29";"invasion";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"198"
"30";"réflexion";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"199"
"31";"réaliser";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"200"
"32";"nfacebook";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"203"
"33";"and";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"204"
"34";"videos";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"205"
"35";"souhaiter";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"206"
"36";"présenter";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"209"
"37";"civilisation";"-0.394218313173466";"-0.41410075989619";"0.844734305970363";"214"
"38";"vaisseau";"-0.394218313173466";"-0.41410075989619";"0.844734305970363";"215"
"39";"trouver";"-0.457553150610173";"-0.358870809104002";"0.843989084073625";"216"
"40";"harbour";"-0.655132529166759";"-0.636720825778126";"0.841826890964781";"218"
"41";"gérard";"-0.655132529166759";"-0.636720825778126";"0.841826890964781";"219"
"42";"philippe";"-0.386383466435237";"-0.634973276283952";"0.841113157317201";"223"
"43";"défunt";"-0.390075662326382";"-0.543769461544143";"0.841113157317201";"224"
"44";"thierry";"-0.355136534527812";"-0.543575154836154";"0.841113157317201";"225"
"45";"enigmes";"-0.386383466435237";"-0.634973276283952";"0.841113157317201";"226"
"46";"enlever";"-0.478999804530314";"-0.404602254279232";"0.839006943317971";"229"
"47";"couple";"-0.480845902475887";"-0.359000346909328";"0.838636081716778";"230"
"48";"spiritualité";"-0.504708442601022";"-0.632806097836744";"0.837607465577619";"231"
"49";"pooyard";"-0.504708442601022";"-0.632806097836744";"0.837607465577619";"232"
"50";"dominique";"-0.504708442601022";"-0.632806097836744";"0.837607465577619";"233"
"51";"monde";"-0.46154053388495";"-0.462819648066319";"0.83682025934867";"234"
"52";"michel";"-0.485960283456566";"-0.577967224968065";"0.834906473538739";"237"
"53";"patrice";"-0.469210949751286";"-0.633456251370907";"0.834906473538739";"239"
"54";"voyage";"-0.469131357826034";"-0.40506040222814";"0.83272678695814";"241"
"55";"humain";"-0.445906774677317";"-0.358806040201338";"0.83272678695814";"242"
"56";"univers";"-0.444060676731744";"-0.404407947571243";"0.83272678695814";"243"
"57";"contact";"-0.444060676731744";"-0.404407947571243";"0.83272678695814";"244"
"58";"lune";"-0.455889382619765";"-0.358861556403621";"0.830578588626699";"245"
"59";"channel";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"246"
"60";"video";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"247"
"61";"jour";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"248"
"62";"personnage";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"249"
"63";"apollo";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"251"
"64";"année";"-0.390030979747146";"-0.427973016496901";"0.829654933318066";"253"
"65";"jacques";"-0.448618977073568";"-0.599344494211523";"0.827345795046485";"256"
"66";"marc";"-0.418733857395042";"-0.566028620617293";"0.827191852495046";"257"
"67";"entretien";"-0.395298658464473";"-0.497480029531444";"0.827191852495046";"258"
"68";"science";"-0.451142273616864";"-0.476123603926232";"0.824357910070833";"260"
"69";"mystérieux";"-0.461991765117422";"-0.393104624082761";"0.824343915293429";"262"
"70";"suite";"-0.481273243670453";"-0.564257506750895";"0.822776500224235";"264"
"71";"premier";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"265"
"72";"conscience";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"266"
"73";"photo";"-0.452894600237031";"-0.358844901542936";"0.819648667474547";"268"
"74";"étrange";"-0.496828639840498";"-0.462486167122963";"0.818263184511598";"276"
"75";"chose";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"278"
"76";"armée";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"279"
"77";"air";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"280"
"78";"étudier";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"281"
"79";"jeune";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"282"
"80";"groupe";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"283"
"81";"forme";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"284"
"82";"donner";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"285"
"83";"atterrissage";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"286"
"84";"agir";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"287"
"85";"action";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"288"
"86";"propos";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"289"
"87";"bellanca";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"290"
"88";"extra_terrestre";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"291"
"89";"devenir";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"292"
"90";"bande";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"293"
"91";"inconnu";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"294"
"92";"minute";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"295"
"93";"mentir";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"296"
"94";"base";"-0.445906774677317";"-0.358806040201338";"0.815422244698683";"297"
"95";"tueur";"-0.445906774677317";"-0.358806040201338";"0.815422244698683";"298"
"96";"interview";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"299"
"97";"vraiment";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"301"
"98";"visiteur";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"302"
"99";"thomas";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"303"
"100";"long";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"304"
"101";"enfant";"-0.467212124312112";"-0.523128352099386";"0.814243184702436";"306"
"102";"gde";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"307"
"103";"edition";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"308"
"104";"cultur";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"309"
"105";"ufologiques";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"310"
"106";"hypnose";"-0.545828678895288";"-0.636499505687936";"0.813228563340681";"313"
"107";"bonheur";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"314"
"108";"enquête";"-0.482908725834174";"-0.496361370321943";"0.813221565951979";"315"
"109";"changer";"-0.457838044739884";"-0.495708915665046";"0.813221565951979";"316"
"110";"énigme";"-0.459684142685457";"-0.450107008295142";"0.813221565951979";"317"
"111";"face";"-0.477153706584742";"-0.450204161649137";"0.812406370168224";"318"
"112";"éveil";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"319"
"113";"énergie";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"322"
"114";"surnaturel";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"323"
"115";"méditation";"-0.473461510693596";"-0.541407976388946";"0.811384751417766";"325"
