"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";0,614362106737863;-0,221715959557652;0,0206585400289729;0,0174082164775895;0,939817327742054;-0,339168868561333;0,0316022971992407;0,0266301311739335;0,989706772579054;0,0102667870310896;1,68689397575842e-05;9,57145009791351e-06;0,264438617600709;0,034440539619273;0,000299002822655137;0,000212316914172148;0,70060952304319;0,106771281695001;0,00798702324401959
"classe 2";-1,65751676940481;-0,092728137306247;-0,0447832519784322;-0,0757491115785937;-0,99703908131954;-0,0557783658897708;-0,0269382809485003;-0,045565044054554;0,999714639477001;0,000249210423743975;1,10007495965737e-05;2,51493496584714e-05;0,72996228589356;0,0022845866383087;0,000532863305902991;0,00152454289329384;0,265695721268934;0,286617835009476;0,0218268459380744
"classe 3";0,755808360287705;5,13679702072831;-15,2290082138346;-0,621606483331855;0,0469394565451267;0,31902063169006;-0,945797118473995;-0,0386048528246205;0,0925303859412143;0,340430719384396;0,56628501238026;0,000753882294129431;0,00219484699561125;0,101383125942813;0,891095210613647;0,0014846084859077;0,00384220796202048;0,429588662232112;0,000709065719362109
"classe 4";-0,632137230961251;4,48235592961083;0,683218363298641;21,1427008355786;-0,0292214374216292;0,207203241453469;0,0315827349989815;0,977351244525822;0,0540635730236763;0,216509833499554;0,000951988936977823;0,728474604539791;0,000852071629002432;0,0428416357757848;0,000995342221772611;0,953178625535879;0,0021323248375611;0,470048102239357;0,000471126976974815
"classe 5";0,303429017778978;5,43571750182654;1,96539984204267;-1,25413537591171;0,0512341863835937;0,917824424491934;0,331859037617977;-0,211761571355456;0,036497038431853;0,932910756120848;0,0230821400131849;0,00751006543411614;0,00255217788111634;0,819050112023821;0,107077581036021;0,0435999061707472;0,0277202228882943;0,274607000857916;0,00209035442417186
