"";"banalfreq";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"magazine";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"lieu";15;-1,1416;1,3077;-0,0181;-0,0088;-0,1156
"mystérieux";19;0,658;-0,5462;-0,023;-0,0111;-0,1465
"handicapé";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"dieu";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"etats";15;0,6211;-0,5246;-0,0181;-0,0088;-0,1156
"père";16;-0,3864;0,4714;-0,0194;-0,0094;-0,1233
"margot";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"équipe";22;-0,6007;0,4869;-0,0266;-0,0129;0,4904
"clair";10;-0,3904;-0,415;1,5612;-0,0058;0,789
"main";11;0,294;-0,2429;-0,0133;-0,0064;-0,0848
"agir";21;-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"trace";10;0,9237;-0,823;-0,0121;-0,0058;-0,0771
"rugby";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"capable";10;0,4831;-0,415;-0,0121;-0,0058;-0,0771
"mars";16;0,7148;-1,5786;-0,0194;-0,0094;1,5033
"davant";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"mot";11;0,294;-0,9437;-0,0133;-0,0064;1,8172
"rappeler";13;-0,3875;-0,3739;-0,0157;1,7605;0,6861
"ex_membre";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"fils";11;-0,9818;1,1117;-0,0133;-0,0064;-0,0848
"important";11;0,5826;-0,9437;-0,0133;-0,0064;0,7513
"récit";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"rapport";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"association";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"travail";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"part";14;0,5317;-0,447;-0,0169;-0,0082;-0,1079
"dossier";12;0,6869;-1,8546;-0,0145;-0,007;1,743
"recevoir";29;1,2259;-1,9115;-0,0351;1,4164;0,3953
"expert";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"secret";16;0,7148;-0,9989;-0,0194;-0,0094;0,607
"mener";11;-0,3082;0,3682;-0,0133;-0,0064;-0,0848
"moment";14;0,9078;-1,3195;-0,0169;-0,0082;0,6576
"travers";13;0,447;-0,3739;-0,0157;-0,0076;-0,1002
"avenir";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"conseil";12;1,1938;-1,0669;-0,0145;-0,007;-0,0925
"travailler";14;1,4729;-1,3195;-0,0169;-0,0082;-0,1079
"objet";27;1,9388;-1,6892;-0,0327;-0,0158;-0,2082
"laurie";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"identifier";25;0,8598;-0,7093;-0,0303;-0,0146;-0,1928
"réseau";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"écrire";12;0,6869;-1,0669;-0,0145;-0,007;0,7172
"beau";12;0,3676;-0,5945;-0,0145;-0,007;0,7172
"sembler";16;-1,4042;1,5988;-0,0194;-0,0094;-0,1233
"cacher";19;-0,6182;0,7449;-0,023;-0,0111;-0,1465
"annonce";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"agnès";10;0,4831;-0,823;-0,0121;-0,0058;0,789
"moyen";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"mois";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"enquête";22;0,3881;-0,3036;-0,0266;-0,0129;-0,1696
"nouvelle";13;-1,0628;0,4641;-0,0157;-0,0076;1,6755
"mettre";25;-0,3874;-0,2882;-0,0303;1,4798;0,4456
"construire";15;1,6151;-1,4483;-0,0181;-0,0088;-0,1156
"coeur";13;-0,6748;0,4641;-0,0157;-0,0076;0,6861
"âge";13;0,7955;-0,6906;-0,0157;-0,0076;-0,1002
"bande";15;1,0234;-1,4483;-0,0181;-0,0088;0,6313
"entrepreneur";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"exister";16;1,142;-0,9989;-0,0194;-0,0094;-0,1233
"peret";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"élément";11;1,0575;-0,9437;-0,0133;-0,0064;-0,0848
"groupe";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"entier";23;1,4611;-1,264;-0,0278;-0,0135;-0,1773
"boucher";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"apporter";11;0,294;-0,5024;-0,0133;-0,0064;0,7513
"revue";10;0,4831;-1,5453;-0,0121;-0,0058;1,8993
"cnrs";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"chercheur";10;0,4831;-0,823;1,5612;-0,0058;-0,0771
"porter";10;0,227;-0,823;-0,0121;-0,0058;1,8993
"envoyer";13;-0,3875;0,4641;-0,0157;-0,0076;-0,1002
"sud";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"christian";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"bout";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"professeur";21;-0,4529;0,5616;-0,0254;-0,0123;-0,1619
"maison";20;0,2783;0,2358;-0,0242;-0,0117;-0,1542
"arriver";16;-0,9791;1,135;-0,0194;-0,0094;-0,1233
"tourner";10;0,227;-0,415;-0,0121;-0,0058;0,789
"vincent";12;1,1938;-1,0669;-0,0145;-0,007;-0,0925
"nasa";14;1,4729;-1,3195;-0,0169;-0,0082;-0,1079
"chose";11;-0,9818;1,1117;-0,0133;-0,0064;-0,0848
"patron";14;0,9078;-0,7903;-0,0169;-0,0082;-0,1079
"fédération";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
"nuit";11;0,5826;-0,5024;-0,0133;-0,0064;-0,0848
"permettre";20;1,6406;-1,4451;-0,0242;-0,0117;-0,1542
"galley";10;1,682;-1,5453;-0,0121;-0,0058;-0,0771
"xavier";10;-0,3904;0,4579;-0,0121;-0,0058;-0,0771
"rendre";43;-1,1895;1,193;-0,0521;-0,0252;0,2723
"partir";26;1,3287;-1,1299;-0,0315;-0,0152;-0,2005
"marier";15;0,3523;-0,5246;-0,0181;-0,0088;0,6313
"préparer";10;0,227;-0,823;-0,0121;1,8736;0,789
"mère";10;-0,7248;0,827;-0,0121;-0,0058;-0,0771
"humain";38;0,2596;0,3256;-0,046;-0,0223;-0,2932
"courant";12;0,6869;-1,8546;-0,0145;-0,007;1,743
"décrire";12;1,1938;-1,8546;-0,0145;-0,007;0,7172
"fantôme";11;1,8504;-1,6999;-0,0133;-0,0064;-0,0848
