"";"*annéededecennie_1990";"*annéededecennie_2000";"*annéededecennie_2010";"*annéededecennie_2020"
"leur";10;16;101;50
"sport";3;1;2;4
"3";4;2;7;5
"près_de";1;2;9;2
"tropical";0;0;77;0
"maïa";0;0;0;37
"prétexte";0;0;77;0
"explication";3;3;1;5
"ami";2;4;14;2
"certains";4;2;3;11
"faire";26;39;54;41
"héros";2;4;5;1
"vilain";1;0;8;1
"vendre";0;3;6;1
"loi";0;0;5;5
"giorgio";0;0;0;19
"aile";0;0;14;12
"iran";1;1;0;17
"aimer";1;2;6;2
"vidéo";1;1;6;11
"réalité";0;3;10;8
"visage";2;3;3;4
"posséder";1;2;21;11
"diffuser";0;2;7;1
"cet";0;2;13;6
"ces";12;7;14;20
"base";4;0;5;2
"dire";4;4;9;3
"selon";2;1;7;28
"véritable";0;3;3;6
"aussi";2;5;28;20
"jour";5;3;10;7
"justice";0;1;8;2
"voler";1;1;16;15
"culture";2;7;6;11
"portrait";3;2;7;1
"effet";2;0;6;3
"planète";3;9;29;20
"grand";4;10;18;23
"bon";2;1;11;2
"000";0;1;9;4
"autres";6;2;29;22
"pierre";11;5;5;3
"jouer";3;5;4;1
"jamais";3;0;7;6
"être";116;84;473;312
"hapsatou";0;0;11;0
"univers";4;5;15;19
"info";0;2;8;6
"cryogénisé";0;1;42;0
"rester";4;1;6;10
"visite";4;2;6;9
"structure";0;0;1;10
"e";3;6;15;23
"utiliser";4;2;5;8
"rencontre";6;5;6;8
"suite";3;1;12;2
"scientologie";0;0;16;0
"brigitte";0;0;14;0
"élection";0;0;4;9
"jump";0;0;14;13
"cela";2;1;5;3
"gens";3;1;13;2
"danger";0;3;14;12
"gitan";0;0;14;0
"volant";2;4;9;7
"entrer";0;0;5;8
"heure";0;9;2;2
"également";3;0;3;4
"rencontrer";2;1;6;5
"représentant";1;0;0;10
"avocat";0;0;19;5
"université";2;4;3;8
"adopter";0;0;16;13
"sy";0;0;11;13
"jaune";0;0;21;0
"nous";9;14;28;23
"médecin";1;3;14;1
"réaliser";0;2;9;3
"trouver";4;4;12;12
"mohammed";0;0;11;0
"preuve";7;1;3;27
"luc";2;2;26;2
"lui";10;13;21;20
"ukrainien";0;0;0;11
"carrière";5;4;2;0
"examiner";0;0;1;15
"femme";4;6;14;3
"journal";3;10;1;0
"persuader";1;1;10;4
"général";3;1;29;0
"he";0;3;9;0
"étude";7;1;4;5
"laporte";0;0;12;0
"chercher";1;3;10;2
"eric";2;1;26;14
"homme";10;11;21;30
"star";0;3;7;4
"fois";7;8;4;3
"aider";1;0;6;3
"aux";17;22;43;65
"siècle";2;0;3;6
"voix";6;6;0;5
"réputation";0;0;2;17
"voir";18;13;21;7
"légende";0;3;5;4
"force";1;2;6;2
"histoire";3;6;8;21
"propre";2;4;20;14
"aujourd_hui";3;4;31;21
"mes";2;2;3;3
"omar";0;0;0;13
"dettinger";0;0;43;0
"quotidien";0;1;11;2
"géant";0;0;5;9
"suggérer";0;1;2;10
"afin";0;2;5;3
"famille";5;7;11;0
"vivre";6;2;17;8
"comportement";1;0;15;0
"créer";1;1;10;3
"acteur";2;2;1;27
"sauver";3;0;34;22
"entraîner";1;0;14;12
"école";2;1;5;8
"syndicat";0;0;14;0
"julien";0;1;0;48
"cabrol";0;0;0;11
"02";0;3;2;13
"voyage";2;3;17;2
"00";0;1;18;9
"01";0;1;6;14
"06";0;5;2;8
"07";0;9;6;7
"04";0;4;4;10
"05";0;8;8;7
"08";0;4;10;3
"09";0;4;4;10
"une";71;58;323;173
"scientifique";9;7;10;12
"aller";0;8;21;11
"servir";1;0;5;5
"il";71;60;178;116
"théoricien";0;0;6;22
"quand";0;9;9;3
"livre";5;6;5;24
"elle";27;10;88;34
"revel";0;0;12;0
"super";0;0;39;23
"magazine";1;0;10;1
"lieu";3;4;7;1
"batman";0;1;28;21
"très";11;14;17;7
"mystérieux";0;2;6;11
"petit";18;11;187;10
"décider";0;3;15;1
"handicapé";11;0;0;0
"corbière";0;0;13;0
"dieu";0;0;4;10
"mazaurette";0;0;0;41
"laure";0;11;1;0
"ville";0;2;8;4
"etats";3;0;6;6
"père";4;3;8;1
"margot";0;0;0;11
"équipe";2;3;9;8
"vous";0;3;43;1
"sous";3;1;5;9
"clair";5;3;2;0
"mal";2;4;4;1
"avant";3;4;11;0
"spécialiste";5;2;7;28
"police";4;0;29;0
"mais";4;15;55;34
"main";3;5;1;2
"ancien";4;8;69;76
"agir";5;2;8;6
"ministre";0;3;7;14
"chanson";3;7;4;1
"11";2;3;3;14
"10";2;6;4;6
"13";1;5;3;7
"12";0;5;10;11
"15";0;2;4;14
"17";0;1;10;5
"16";0;0;7;8
"19";0;6;1;113
"18";1;1;3;5
"trace";2;1;1;6
"extraire";2;48;6;56
"aventure";1;0;94;12
"nouveau";6;7;63;31
"débarquer";0;1;10;1
"parent";0;4;33;14
"jt";0;7;7;0
"je";1;5;5;0
"lopez";0;0;16;0
"rugby";0;0;11;0
"tous";9;11;39;20
"tout";9;10;45;15
"côté";1;3;26;15
"capable";2;1;2;5
"lorsque";1;2;18;15
"mars";3;6;4;3
"delage";0;0;13;0
"pas";12;13;90;47
"starfire";0;0;14;12
"new_yorkais";0;1;42;0
"4";3;0;6;2
"davant";2;1;7;0
"mot";3;3;4;1
"christine";0;1;12;0
"titan";0;0;30;22
"rappeler";7;1;4;1
"ex_membre";0;0;11;0
"fils";3;0;7;1
"citation";0;0;26;6
"pourquoi";4;2;6;5
"film";11;22;9;14
"important";2;2;2;5
"revenir";2;11;4;15
"révéler";5;0;3;10
"public";3;3;7;1
"à";113;116;393;222
"agathe";0;0;12;0
"des";148;119;355;372
"récit";1;1;1;7
"csa";0;0;12;1
"rapport";2;1;0;7
"par";55;50;110;72
"trois";5;4;4;0
"24";0;0;3;7
"25";0;3;4;9
"26";0;1;3;7
"27";0;2;2;12
"21";0;1;21;48
"22";0;2;21;8
"23";0;2;21;12
"28";1;1;3;9
"29";2;1;2;7
"etienne";0;0;0;40
"association";7;1;3;0
"porte";0;0;19;11
"président";2;1;17;13
"troisième";2;1;15;0
"dont";7;12;7;2
"cirque";0;2;15;12
"travail";5;2;3;1
