"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"pre";0,8475;2,2288;0,8062;-4,3651
"ver_sup";-0,338;-0,7594;-0,3921;0,9293
"adj_dem";2,0168;-1,0886;0,279;-0,5864
"ono";-0,7992;4,7934;-0,8346;-1,2442
"pro_per";0,4481;-4,3812;7,5577;-3,1464
"num";-38,2931;-1,7388;-24,9116;88,3367
"adv";2,896;-0,3942;1,8921;-6,1293
"ver";6,7804;-0,499;1,405;-7,5058
"adj_ind";1,8937;0,2901;-1,4718;0,3462
"adj_pos";0,5276;2,9991;1,3625;-6,5545
"aux";-1,1469;-15,1657;1,7855;5,7054
"nr";-2,3713;3,3424;-2,7689;2,11
"pro_ind";0,7694;-1,307;0,722;-0,4456
"adj";-7,8654;-5,7146;4,8384;2,7898
"pro_dem";0,9091;-0,3881;-0,374;-0,4187
"nom";3,4453;3,7734;-3,7624;-1,1499
"art_ind";0,6878;-8,0089;4,5448;-0,6132
"adj_int";-0,2025;-0,7222;1,1272;-0,4021
"pro_pos";-0,119;-0,1444;-0,4788;1,0603
"nom_sup";-0,9291;0,4782;0,6784;-0,4321
"adv_sup";-1,5117;-1,8876;2,2171;0,4427
"adj_sup";0,8976;0,5754;0,4208;-1,6958
"art_def";0,4162;10,2156;-8,6509;0,7257
"adj_num";0,9163;2,0082;-0,6484;-1,6737
"pro_rel";-0,3668;-1,8491;1,2701;0,3351
"con";1,4944;-1,1346;6,1404;-7,9486
