"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"tenter";0,23;0,97;3,07;0
"quitter";0;0,39;1,22;1,35
"inviter";0,91;0,58;0,46;1,6
"ce";4,57;4,86;3,36;3,8
"après";2,29;0,97;4,4;1,6
"ados";0;0;0,81;1,1
"site";0,46;1,36;0,29;1,27
"politique";0,46;0,39;0,81;1,18
"avoir";22,87;16,52;20,68;27,44
"alliance";0;0;0,93;0
"lune";0,46;0,19;0,58;0,25
"seul";1,14;0,19;0,46;0,34
"tamaran";0;0;0,81;1,01
"mauvais";0;0,39;0,17;0,59
"chez";0,46;1,55;0,29;0,25
"chef";0;0,58;0,23;0,42
"appeler";0,46;0,39;0,06;0,42
"qui";12,81;10,49;15;13
"falloir";0,23;0;0,58;0
"françois";0,91;1,17;0,41;0,51
"soucoupe";0,91;0,39;0,46;0,08
"nombre";0,23;0,19;0,17;0,42
"pizza";0;0,19;2,43;0
"l";36,36;33,81;24,44;26,09
"alexis";0;0;0,75;0
"enlever";0,46;0;0,46;0
"prendre";2,29;0,78;3,59;0,34
"alors";0,91;0,78;1,33;0,51
"livreur";0;0,19;2,43;0
"état";0,23;0,19;0,12;1,27
"grave";0;0,19;1,62;1,77
"de";77,06;97,75;70,78;55,31
"du";15,78;24,87;11,58;11,48
"déage";0;0;0;0,84
"bien";0,91;1,17;1,68;1,44
"ils";3,89;2,14;5,62;5,4
"yacine";0;0;0;1,27
"thierry";1,37;0,58;0,81;0,68
"carbonnier";0;0;0;3,38
"jerry";0,23;0;0,52;0
"raid";0;0;0,87;0
"déclaration";0;0;0,41;1,27
"contact";1,14;0;0,12;1,1
"the";0;1,55;0,06;0,17
"photo";4,12;0,19;0,12;0,25
"transformer";0;0,39;0,23;0,42
"lci";0;0;0,75;0,68
"bord";0,46;1,17;0,23;0
"jacques";1,83;1,55;0,12;0
"loin";0,69;0,19;0,29;0,08
"connaître";1,37;0,78;0,7;0,42
"peupler";0;0,19;1,45;0
"commencer";0,23;0,19;0,58;0,25
"archive";1,37;0,78;0;0,17
"sujet";0,69;1,55;0,58;0,84
"zone";0,46;0,39;0,06;0,51
"donner";1,83;2,53;0,75;0,34
"quelques";1,6;0,58;0,58;0,34
"urgentiste";0;0;0,64;0,08
"gilet";0;0;1,22;0
"ciel";0,46;0,97;0,23;1,44
"cas";1,6;0,19;0,35;1,52
"discussion";0,46;0;0,52;0,34
"cours";1,37;0,39;0,46;0,25
"découvrir";1,6;1,75;0,98;1,1
"forme";0,46;0,39;0,7;1,27
"nom";0,69;0,39;0;0,42
"non";0,91;0,19;0,46;1,6
"nos";0,46;0,58;0,52;0,25
"en";27,21;23,32;13,73;12,5
"ex";0;0;0,87;0,51
"et";32,7;31,68;30,76;19,34
"album";0,46;2,72;0,06;0
"marine";0;0;0,35;0,42
"toulouse";0,23;0,39;0,06;0,68
"message";0,91;0,39;0,12;0,17
"incroyable";0,69;0,19;0,12;1,01
"premier";1,37;2,14;0,98;1,6
"déguiser";0,23;1,94;0,23;0
"deux";2,97;1,94;0,87;0,42
