"";"banalfreq";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"seul";18;1,3462;-0,5418;-0,2306;-0,5074
"tamaran";26;-1,3572;-1,615;0,6408;1,1554
"mauvais";12;-0,6263;0,3111;-0,8568;1,3641
"chef";12;-0,6263;0,6818;-0,506;0,5318
"appeler";10;0,5013;0,4059;-1,6146;0,7911
"qui";523;-0,4451;-1,6597;1,8408;-0,5377
"françois";23;0,5864;1,121;-0,9177;-0,3842
"soucoupe";15;1,0925;0,2126;0,4715;-1,5028
"nombre";10;-0,1645;-0,2166;-0,5647;0,7911
"enlever";10;0,5013;-0,621;1,5822;-1,5903
"alors";37;-0,2292;-0,3556;1,6104;-1,4357
"bien";56;-0,6472;-0,4331;0,7563;-0,2631
"thierry";31;0,8818;-0,4055;0,2608;-0,4482
"transformer";11;-0,5741;0,3548;-0,3925;0,6478
"lci";21;-1,0961;-1,3043;1,0646;0,5229
"loin";10;1,0236;-0,2166;0,3118;-0,856
"connaître";27;1,1118;0,3069;-0,245;-0,9189
"commencer";15;-0,3181;-0,4122;1,1338;-0,556
"sujet";31;-0,2774;1,3372;-0,952;0,3094
"zone";11;0,4452;0,3548;-1,8349;1,0661
"quelques";24;1,8421;-0,2217;-0,3318;-1,0058
"discussion";15;0,2846;-0,9316;0,7559;-0,3072
"cours";19;1,8114;-0,2789;-0,297;-0,919
"découvrir";46;0,5832;0,8202;-0,7395;-0,3649
"forme";31;-0,5196;-0,7011;-0,5029;1,5388
"nos";17;0,23;0,3985;0,4839;-0,7307
"ex";21;-1,0961;-1,3043;1,9124;-0,2806
"marine";11;-0,5741;-0,6831;0,4448;0,6478
"message";10;1,7071;0,4059;-0,9875;-0,4372
"premier";53;-0,2172;1,0586;-1,3754;0,6058
"sport";10;1,0236;-0,2166;-0,9875;0,4341
"3";18;0,8584;-0,2496;-0,3963;-0,2926
"près_de";14;-0,2854;0,2409;0,9421;-0,8286
"ami";22;-0,2687;0,474;1,2351;-1,7514
"héros";12;0,3966;1,1912;-0,2713;-1,1085
"vilain";10;-0,1645;-0,621;1,5822;-0,856
"vendre";10;-0,5219;0,8594;0,5932;-0,856
"loi";10;-0,5219;-0,621;0,3118;0,7911
"aile";26;-1,3572;-1,615;0,6408;1,1554
"aimer";11;-0,193;0,3548;0,4448;-0,5286
"vidéo";19;-0,4568;-0,5866;-0,746;1,9023
"réalité";21;-1,0961;0,2646;0,3214;0,5229
"visage";12;0,3966;0,6818;-0,8568;0,2776
"posséder";35;-1,089;-0,8633;1,3038;0,2806
"diffuser";10;-0,5219;0,4059;1,0066;-0,856
"cet";21;-1,0961;-0,3408;1,0646;-0,2806
"base";11;1,5509;-0,6831;0,2255;-0,5286
"dire";20;0,7353;0,5651;0,2403;-1,0175
"véritable";12;-0,6263;0,6818;-0,8568;0,891
"aussi";55;-1,3628;-0,6172;0,6697;0,6618
"jour";25;0,8373;-0,2453;-0,4023;-0,3161
"justice";11;-0,5741;-0,2532;1,2329;-0,5286
"voler";33;-1,0053;-1,2663;0,404;1,2823
"culture";26;-0,3738;1,3098;-1,7123;0,8492
"portrait";13;0,7556;0,2735;0,4585;-1,2381
"effet";11;0,4452;-0,6831;0,4448;-0,2594
"planète";61;-1,129;0,3704;0,4274;0,3918
"grand";55;-0,6213;0,7205;-1,3185;1,2826
"bon";16;0,2557;-0,4546;1,3358;-1,0455
"000";14;-0,7307;-0,3708;0,9421;-0,2498
"autres";59;-0,308;-1,962;0,5412;0,777
"jouer";13;0,7556;1,6711;-0,6296;-1,2381
