"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"notamment";0,4452;0,3548;-0,3925;-0,2594
"depétrini";-0,7307;-0,8695;-3,6024;7,1907
"incident";-4,2836;-3,9628;22,0844;-9,13
"recherche";2,4998;-0,237;-3,3714;0,9555
"garçon";0,922;-0,2532;0,4448;-0,981
"environnement";-1,5138;-0,6234;7,3275;-4,6131
"nucléaire";-0,5219;0,4059;-0,5647;0,7911
"robin";-2,6108;-2,1675;1,1444;1,2293
"belhousse";-0,7829;-0,9316;-3,8598;7,7045
"témoin";0,5681;-0,7011;1,0254;-0,9266
"mystère";-0,5741;0,7641;0,7734;-0,981
"kelly";-0,6263;-0,7452;4,1975;-1,9084
"retrouver";-1,089;0,7526;2,9017;-3,444
"victime";-0,193;0,7641;0,7734;-1,7493
"d";0,657;0,4332;-2,7356;1,929
"technologie";-0,3517;-0,9937;-0,4256;1,53
"alexandre";-0,8351;-0,9937;5,5971;-2,5447
"frère";0,23;1,1853;-0,8157;-0,2416
"t";-0,3198;-0,4408;0,4278;0,334
"où";0,9264;0,9091;0,2857;-1,6874
"millénaire";-2,3496;-1,8969;13,9964;-7,1601
"meilleur";-0,5741;-0,2532;1,2329;-0,5286
"observation";-0,5741;-0,6831;-2,8303;5,6494
"un";1,1471;-0,6206;9,4163;-13,3742
"tirailleur";-0,5219;-0,621;-2,573;5,1357
"décontraction";-1,3572;-1,615;0,6408;1,1554
"astronaute";-1,3021;-0,6955;-0,6469;2,4913
"pouvoir";-1,8467;-4,6221;-0,6696;6,3358
"découverte";0,2599;1,3948;-2,5982;0,9538
"millier";0,6253;-0,9316;-1,947;2,3615
"continuer";0,2557;-0,9937;-0,6895;1,53
"ambre";-2,5063;-2,9825;-12,3587;24,6746
"les";2,3968;2,4427;-10,488;2,826
"beaucoup";-0,3517;0,8107;0,3692;-0,6415
"pour";2,5095;-0,3615;0,3319;-1,5935
"laëtitia";-0,7829;-0,9316;5,2472;-2,3856
"animal";0,3663;0,2646;0,3214;-0,4706
"pyramide";-0,6263;-0,7452;-2,0582;4,7134
"robot";-1,047;-0,4964;5,9271;-4,2034
"comme";-0,6664;-0,9869;0,5778;0,6687
"temps";0,2599;-0,2453;-0,2559;0,2865
"david";-0,2565;1,4148;-1,4745;0,5277
"façon";1,0236;-0,2166;-2,573;1,2812
"03";-0,8351;1,869;-2,1514;1,0799
"face";-0,5741;1,3203;0,4448;-0,981
"rouge";1,7071;0,4059;-0,5647;-0,856
"montrer";3,0941;0,682;-0,7431;-2,0002
"tenter";-2,1494;-0,7336;12,4003;-9,3898
"quitter";-2,0361;-1,033;0,7921;0,9555
"inviter";0,262;-0,4964;-2,0479;2,709
"ce";0,6331;0,9038;-0,9912;-0,2894
"après";-0,5423;-2,6687;6,6995;-2,99
"ados";-1,4094;-1,6772;0,5399;1,3717
"site";-0,4595;1,087;-2,735;1,8436
"politique";-0,5504;-0,7409;-0,2755;1,0899
"avoir";0,3596;-3,079;-1,7259;5,0688
"alliance";-0,8351;-0,9937;5,5971;-2,5447
"lune";0,2557;-0,4546;0,9242;-0,6415
"seul";1,3462;-0,5418;-0,2306;-0,5074
"tamaran";-1,3572;-1,615;0,6408;1,1554
"mauvais";-0,6263;0,3111;-0,8568;1,3641
"chez";-0,1764;2,9063;-0,9489;-0,8233
"chef";-0,6263;0,6818;-0,506;0,5318
"appeler";0,5013;0,4059;-1,6146;0,7911
"qui";-0,4451;-1,6597;1,8408;-0,5377
"falloir";-0,193;-0,6831;2,6827;-1,7493
"françois";0,5864;1,121;-0,9177;-0,3842
"soucoupe";1,0925;0,2126;0,4715;-1,5028
"nombre";-0,1645;-0,2166;-0,5647;0,7911
"pizza";-2,2451;-1,7898;13,3152;-6,8417
"l";3,7929;2,6375;-3,3661;-0,8867
"alexis";-0,6785;-0,8074;4,5474;-2,0674
"enlever";0,5013;-0,621;1,5822;-1,5903
"prendre";0,3763;-1,8663;8,6665;-7,8977
"alors";-0,2292;-0,3556;1,6104;-1,4357
"livreur";-2,2451;-1,7898;13,3152;-6,8417
"état";-0,4568;-0,5866;-2,7814;4,7025
"grave";-2,6108;-2,1675;1,1444;1,2293
"de";1,444;14,7779;0,4105;-14,571
"du";0,8809;10,8689;-3,3643;-2,3085
"déage";-0,5219;-0,621;-2,573;5,1357
"bien";-0,6472;-0,4331;0,7563;-0,2631
"ils";-0,7299;-3,1748;1,406;0,7232
"yacine";-0,7829;-0,9316;-3,8598;7,7045
"thierry";0,8818;-0,4055;0,2608;-0,4482
"carbonnier";-2,0884;-2,4851;-10,2974;20,5581
"jerry";-0,1645;-0,621;2,3713;-1,5903
"raid";-0,7829;-0,9316;5,2472;-2,3856
"déclaration";-1,1483;-1,3665;-0,8;3,4956
"contact";1,1705;-1,2422;-2,9961;2,7972
"the";-0,5741;4,9515;-1,8349;-0,5286
"photo";12,2085;-0,8194;-3,8733;-1,4355
"transformer";-0,5741;0,3548;-0,3925;0,6478
"lci";-1,0961;-1,3043;1,0646;0,5229
"bord";0,3966;2,6012;-0,506;-1,9084
"jacques";3,3869;2,9063;-2,5689;-2,8628
"loin";1,0236;-0,2166;0,3118;-0,856
"connaître";1,1118;0,3069;-0,245;-0,9189
"peupler";-1,3572;-0,9161;7,5757;-4,1357
"commencer";-0,3181;-0,4122;1,1338;-0,556
"archive";2,9763;1,1912;-3,0877;-0,6247
"sujet";-0,2774;1,3372;-0,952;0,3094
"zone";0,4452;0,3548;-1,8349;1,0661
"donner";1,2271;3,0683;-0,8958;-2,4749
"quelques";1,8421;-0,2217;-0,3318;-1,0058
"urgentiste";-0,6263;-0,7452;2,9973;-1,1085
"gilet";-1,0961;-1,3043;7,3469;-3,3401
"ciel";-0,4303;0,5025;-3,1739;3,018
"cas";1,1999;-1,2153;-2,7018;2,6353
"discussion";0,2846;-0,9316;0,7559;-0,3072
"cours";1,8114;-0,2789;-0,297;-0,919
"découvrir";0,5832;0,8202;-0,7395;-0,3649
"forme";-0,5196;-0,7011;-0,5029;1,5388
"nom";1,0236;0,4059;-2,573;0,7911
"non";0,3031;-1,2153;-1,754;3,1443
"nos";0,23;0,3985;0,4839;-0,7307
"en";8,0906;4,706;-3,4424;-4,1929
"ex";-1,0961;-1,3043;1,9124;-0,2806
"et";1,7471;1,4902;3,4196;-11,1797
"album";0,23;9,6023;-3,2058;-2,7037
"marine";-0,5741;-0,6831;0,4448;0,6478
"toulouse";-0,2227;0,3111;-2,0582;1,9614
"message";1,7071;0,4059;-0,9875;-0,4372
"incroyable";0,4764;-0,5418;-2,5689;2,7543
"premier";-0,2172;1,0586;-1,3754;0,6058
"déguiser";-0,3181;5,559;-0,9026;-2,3856
"deux";3,1715;1,278;-0,8986;-2,4918
"ligne";0,3966;1,1912;-2,0582;0,5318
"étrange";-1,0619;-1,3909;-1,5763;4,9685
"secrétaire";-0,8412;-1,0642;7,3275;-4,6131
"bruno";-1,0439;-0,632;2,8546;-1,0175
"leur";-2,1274;-1,2766;3,2078;-0,5663
"sport";1,0236;-0,2166;-0,9875;0,4341
"3";0,8584;-0,2496;-0,3963;-0,2926
"près_de";-0,2854;0,2409;0,9421;-0,8286
"tropical";-4,0222;-4,7863;26,9687;-12,2579
"maïa";-1,9317;-2,2986;-9,5246;19,0148
"prétexte";-4,0222;-4,7863;26,9687;-12,2579
"explication";0,8334;0,6818;-2,0582;0,5318
"ami";-0,2687;0,474;1,2351;-1,7514
"certains";0,7353;-0,3093;-2,2748;1,6943
"faire";1,4285;3,9516;-2,5114;-1,019
"héros";0,3966;1,1912;-0,2713;-1,1085
"vilain";-0,1645;-0,621;1,5822;-0,856
"vendre";-0,5219;0,8594;0,5932;-0,856
"loi";-0,5219;-0,621;0,3118;0,7911
"giorgio";-0,9917;-1,1801;-4,8895;9,76
"aile";-1,3572;-1,615;0,6408;1,1554
"iran";-0,4568;-0,5866;-4,8895;6,7956
"aimer";-0,193;0,3548;0,4448;-0,5286
"vidéo";-0,4568;-0,5866;-0,746;1,9023
"réalité";-1,0961;0,2646;0,3214;0,5229
"visage";0,3966;0,6818;-0,8568;0,2776
"posséder";-1,089;-0,8633;1,3038;0,2806
"diffuser";-0,5219;0,4059;1,0066;-0,856
"cet";-1,0961;-0,3408;1,0646;-0,2806
"ces";1,8592;-0,2297;-2,3227;0,7804
"base";1,5509;-0,6831;0,2255;-0,5286
"dire";0,7353;0,5651;0,2403;-1,0175
"selon";-0,7449;-1,5253;-3,1957;7,2289
"véritable";-0,6263;0,6818;-0,8568;0,891
"aussi";-1,3628;-0,6172;0,6697;0,6618
"jour";0,8373;-0,2453;-0,4023;-0,3161
"justice";-0,5741;-0,2532;1,2329;-0,5286
"voler";-1,0053;-1,2663;0,404;1,2823
"culture";-0,3738;1,3098;-1,7123;0,8492
"portrait";0,7556;0,2735;0,4585;-1,2381
"effet";0,4452;-0,6831;0,4448;-0,2594
"planète";-1,129;0,3704;0,4274;0,3918
"grand";-0,6213;0,7205;-1,3185;1,2826
"bon";0,2557;-0,4546;1,3358;-1,0455
"000";-0,7307;-0,3708;0,9421;-0,2498
"autres";-0,308;-1,962;0,5412;0,777
"pierre";4,6286;0,682;-1,8639;-1,4355
"jouer";0,7556;1,6711;-0,6296;-1,2381
"jamais";0,5704;-0,9937;-0,2421;0,4412
"être";0,4703;-5,8572;1,7363;0,5988
"hapsatou";-0,5741;-0,6831;3,8476;-1,7493
"univers";-0,3426;-0,3175;-0,8986;1,3744
"info";-0,8351;-0,1946;0,3692;0,4412
"cryogénisé";-2,2451;-1,7898;13,3152;-6,8417
"rester";0,6814;-0,678;-0,9952;1,1136
"visite";0,6814;-0,3408;-0,9952;0,7854
"structure";-0,5741;-0,6831;-1,8349;4,2361
"e";-0,6867;-0,2506;-1,2882;2,1839
"utiliser";0,7941;-0,2789;-1,0885;0,6999
"rencontre";1,2512;0,6317;-1,5597;0,2865
"suite";0,4764;-0,5418;1,2934;-1,2728
"scientologie";-0,8351;-0,9937;5,5971;-2,5447
"brigitte";-0,7307;-0,8695;4,8973;-2,2265
"élection";-0,6785;-0,8074;-0,6296;2,3243
"jump";-1,4094;-1,6772;0,5399;1,3717
"cela";0,4452;-0,2532;0,2255;-0,2594
"gens";0,4361;-0,5866;1,492;-1,3897
"danger";-1,5138;-0,3487;0,3787;0,8331
"gitan";-0,7307;-0,8695;4,8973;-2,2265
"volant";-0,2687;0,474;-0,3503;0,2734
"entrer";-0,6785;-0,8074;-0,361;1,6813
"heure";-0,6785;5,2481;-1,549;-0,7248
"également";1,0236;-0,621;-0,5647;0,4341
"rencontrer";0,3173;-0,3708;-0,2555;0,3592
"représentant";-0,193;-0,6831;-2,8303;4,2361
"avocat";-1,2527;-1,4907;3,2116;-0,6813
"université";0,23;0,7396;-1,7086;0,9345
"adopter";-1,5138;-1,8014;0,7659;1,1193
"sy";-1,2527;-1,4907;0,2723;1,8568
