"";"X.annéededecennie_1990";"X.annéededecennie_2000";"X.annéededecennie_2010";"X.annéededecennie_2020"
"39";-0,5219;-0,621;-1,6146;3,7621
"38";-0,5741;-0,6831;-1,169;3,1613
"33";-0,2535;-0,8074;-2,2839;4,0432
"31";-0,5741;-0,6831;-1,169;3,1613
"30";-0,7611;0,8507;-2,3773;2,2078
"35";-0,6785;-0,8074;-0,6296;2,3243
"souvent";0,2557;0,4424;-0,4256;0,2419
"terrien";-1,047;-2,1122;0,8948;0,8953
"laurie";-0,5219;-0,621;-2,573;5,1357
"chien";-0,5219;0,4059;-1,6146;1,9195
"extrait";0,3083;0,7366;-2,8689;1,5949
"le";1,5049;7,3695;-3,8119;-1,2542
"la";-1,0732;6,0947;-1,4378;-0,6466
"eux";0,6867;-0,8695;0,3519;-0,2498
"identifier";-0,3464;0,365;-4,0965;3,8778
"lfi";-0,7829;-0,9316;2,9906;-0,9357
"expliquer";4,0406;3,9389;-4,7969;-1,7531
"réseau";-0,5219;-0,621;-0,9875;2,7306
"là";-0,386;0,7396;0,2877;-0,4364
"que";0,6264;-0,687;-1,0531;1,2332
"écrire";2,1307;1,1912;-0,8568;-1,9084
"auproux";-0,6263;-0,7452;4,1975;-1,9084
"seines";-0,7307;-0,8695;4,8973;-2,2265
"mélenchon";-1,3572;-1,615;6,3711;-2,2541
"bernard";-0,3198;2,5864;0,6333;-3,8175
"beau";0,3966;0,6818;0,333;-1,1085
"sembler";-0,8351;0,4424;0,3692;0,2419
"cacher";-0,9917;1,008;-0,297;0,2587
"fatou";-4,0222;-4,7863;26,9687;-12,2579
"comment";2,568;0,3434;-0,3301;-1,9149
"annonce";0,4452;1,3203;-1,169;-0,2594
"agnès";1,0236;-0,621;-1,6146;1,2812
"moyen";1,7071;-0,2166;-2,573;0,7911
"raven";-1,3572;-1,615;0,6408;1,1554
"provoquer";-2,5504;-4,0776;20,2218;-9,4179
"système";-0,1982;-1,1801;-2,0826;3,8532
"adolescent";-1,2527;-1,4907;1,2148;0,5237
"toutes";0,4452;0,3548;-0,3925;-0,2594
"oise";-0,7829;-0,9316;5,2472;-2,3856
"j";1,1705;2,5542;-0,5838;-3,181
"48";-0,6785;-0,8074;0,2484;1,1588
"47";-0,7829;-0,9316;-0,9026;3,0842
"44";-0,8873;-1,0558;0,7529;0,6134
"45";-0,8873;0,7396;-0,3148;0,3699
"42";-0,5219;-0,621;-1,6146;3,7621
"40";-1,2527;-0,4408;1,2148;-0,2704
"membre";-1,0053;-2,05;9,9256;-5,2498
"parole";-1,4094;-1,6772;1,7501;0,3445
"philippe";-0,2227;0,6818;0,5957;-1,1085
"même";-0,6135;-0,4964;0,488;0,472
"pendant";0,3083;0,7366;0,7551;-1,8751
"mois";-0,2227;2,6012;-0,506;-1,1085
"me";-0,8873;-0,4978;4,6036;-2,7037
"naître";-1,775;-2,1122;1,16;0,8953
"mi";-0,6263;-0,2912;2,9973;-1,9084
"enquête";-0,5673;-0,3732;0,2568;0,6869
"nouvelle";0,3544;0,2735;0,2484;-0,3976
"mettre";1,2512;-0,4758;-0,4023;-0,3161
"autre";3,8021;0,2929;-1,2339;-1,0175
"jeune";-0,2381;-1,1858;1,265;-0,5019
"construire";-0,3181;-0,9316;-1,947;3,937
"émission";0,6141;2,3284;-1,3514;-0,6347
"coeur";-0,6785;0,2735;1,1748;-0,7248
"claude";2,2241;0,6483;0,3916;-3,7635
"présidentiel";-0,7307;-0,8695;-0,2555;1,4472
"âge";-0,6785;0,6101;-1,0152;1,1588
"candidat";0,9289;-1,0558;-1,2039;1,3376
"proposer";1,0066;-0,1946;-0,2421;-0,6415
"manquer";-1,6183;-1,9257;1,0254;0,9107
"2999";-2,2451;-1,7898;13,3152;-6,8417
"bande";0,6253;-0,4122;1,1338;-1,5028
"59";-0,6785;-0,8074;-1,0152;3,1031
"55";-0,9395;-0,5418;-1,3633;3,4672
"54";-0,7829;-0,9316;0,2689;1,2491
"56";-0,6263;-0,7452;0,333;0,891
"53";-0,5741;-0,6831;-0,7063;2,3029
"52";-0,6785;-0,8074;-2,2839;5,1936
"57";-0,6263;-0,7452;-0,506;1,9614
"50";-0,6436;-0,4408;0,2723;0,7683
"humanité";-0,6436;-1,4907;-1,4114;4,2261
"gouvernement";-0,9395;-1,118;-0,9489;3,4672
"plus";-1,4249;-0,4001;-2,7918;5,5185
"antique";-0,6785;-0,8074;-1,549;4,0432
"entrepreneur";-0,5741;-0,6831;3,8476;-1,7493
"exister";-0,3517;-0,1946;-1,5277;2,0743
"hugues";-0,7307;-0,8695;4,8973;-2,2265
"peret";-0,5219;-0,621;-2,573;5,1357
"actuel";-0,2854;-0,8695;-2,5117;4,4924
"retour";-1,5138;1,9711;-2,1927;1,4557
"valentin";-0,8873;-1,0558;-1,7086;4,796
"cnews";-1,2527;-1,4907;1,6007;0,334
"élément";0,4452;0,3548;-1,8349;1,0661
"groupe";-0,2854;-0,8695;-0,2555;0,987
"entier";-0,6052;-0,7718;-0,9177;2,5824
"humour";-2,3332;-1,6102;0,5597;1,8398
"langlois";-0,7307;-0,8695;4,8973;-2,2265
"frédéric";1,944;-0,2846;-5,1993;2,2558
"boucher";-0,193;-0,6831;2,6827;-1,7493
"courir";-1,1736;-0,9473;1,2947;0,3292
"haut";0,336;-1,3665;2,709;-1,7514
"antoine";-0,2939;-1,4286;-5,9192;8,6849
"1";-0,8873;-1,0558;1,547;-0,2416
"nombreux";-3,1595;-4,8865;18,2422;-6,48
"apporter";0,922;-0,6831;-0,3925;0,347
"revue";1,0236;0,4059;-2,573;0,7911
"média";-0,2535;-0,3304;-0,6296;1,1588
"gotham";-1,3572;-1,615;0,6408;1,1554
"animation";-1,3572;-1,615;0,6408;1,1554
"cnrs";6,8708;-0,2532;-1,8349;-1,7493
"chanteur";0,7556;1,6711;-2,2839;0,222
"trop";-0,5741;0,3548;1,8524;-1,7493
"20";-5,2533;-1,9379;-12,0548;27,1649
"devoir";0,7166;-0,2964;0,7028;-1,1731
"ne";0,8044;-0,6286;0,6538;-0,7836
"chercheur";0,5013;0,4059;-1,6146;0,7911
"départ";-2,3496;-1,2994;11,2937;-5,8394
"peu";0,7556;-0,8074;0,4585;-0,3976
"bellver";-2,5063;-2,9825;-12,3587;24,6746
"porter";0,5013;-0,2166;1,0066;-1,5903
"on";2,4878;0,5568;-0,4467;-1,7856
"ou";3,1849;-1,6993;-0,4335;-0,4791
"celui";0,5013;0,8594;0,3118;-1,5903
"envoyer";0,7556;0,2735;-0,361;-0,3976
"alain";-0,2535;1,6711;0,4585;-2,0674
"avec";-0,3374;2,9123;0,5289;-2,7396
"phénomène";2,4316;1,1568;-7,1593;1,3964
"5";0,4764;-0,2496;0,9119;-1,2728
"péril";-2,5586;-3,0447;1,2663;1,3226
"île";-2,5933;-5,2842;23,0738;-10,6634
"sud";-0,5219;-0,2166;-0,2905;0,7911
"sur";0,4707;1,3228;-5,3652;3,0119
"christian";1,7071;-0,2166;-0,5647;-0,4372
"grâce";-1,9317;-0,5933;1,0207;0,4772
"enfant";0,6807;0,2851;2,2543;-4,547
"vaisseau";-1,2527;2,0006;0,2723;-0,6813
"différents";0,6867;0,5472;0,6001;-2,2265
"emmanuel";-0,2854;-0,8695;-0,4612;1,4472
"bout";-0,5219;-0,2166;-0,2905;0,7911
"affrontement";-0,6785;-0,8074;4,5474;-2,0674
"blanc";0,5704;1,2879;-2,9729;0,7187
"passer";-0,3235;-0,7623;-3,7983;5,6493
"professeur";-0,2443;2,3993;0,3214;-2,3276
"dans";-0,2884;0,563;-2,2612;1,9215
"chaouch";-0,5219;-0,621;-2,573;5,1357
"maison";-0,4931;3,2606;-0,5838;-1,0175
"bfm";-0,9917;0,3244;-0,297;0,6999
"arriver";-0,3517;1,869;-0,2421;-1,0455
"tourner";1,7071;-0,621;-0,9875;0,4341
"vincent";-0,6263;-0,7452;0,9679;0,2776
"matin";0,3966;-0,2912;0,333;-0,3258
"raconter";6,7362;0,4316;-3,569;-0,8493
"année";0,4498;0,2773;-1,1768;0,9162
"c";0,6997;0,289;-0,7816;0,4175
"moins";-0,5741;0,7641;-0,7063;0,6478
"bristielle";-1,0961;-1,3043;-5,4043;10,7879
"propos";-0,6785;3,2156;-0,6296;-0,7248
"prince";-1,3572;-1,615;0,6408;1,1554
"plateau";7,7256;1,6987;-3,6013;-2,9716
"rien";0,922;1,3203;-0,3925;-1,7493
"réveiller";-2,2973;-1,8433;13,6557;-7,0009
"anne";-1,1483;-0,3732;-2,0472;4,2278
"savoir";-1,2005;-0,4065;1,0518;-0,2283
"question";1,2643;-0,2205;-1,6123;0,6665
"long";-0,2535;0,6101;-0,361;0,222
"présentation";-0,386;1,1853;-0,3148;-0,4364
"nasa";-0,7307;-0,8695;-1,1803;3,5164
"yves";1,9333;3,6899;-1,8937;-2,8628
"théâtre";-0,2227;0,6818;-0,2713;-0,3258
"chose";1,5509;0,3548;-0,3925;-0,981
"olivier";0,4764;0,6755;-1,3633;0,5233
"lrem";-0,8873;-1,0558;4,6036;-1,7733
"claviere";-0,7829;-0,9316;-3,8598;7,7045
"figure";-1,5661;-1,8636;0,6562;1,3226
"patron";-0,7307;-0,8695;3,634;-1,3696
"fédération";-0,5741;-0,6831;3,8476;-1,7493
"watrin";-0,5741;-0,6831;-2,8303;5,6494
"nuit";-0,193;0,3548;0,2255;-0,2594
"permettre";-0,2208;-0,632;0,4002;0,3795
"tsoukalos";-0,9395;-1,118;-4,632;9,2461
"polémiste";-0,7307;-0,8695;1,9686;-0,4745
"galley";-0,5219;2,2297;0,3118;-1,5903
"pomart";-0,7829;-0,9316;5,2472;-2,3856
"encore";0,3173;0,2409;-0,7622;0,6265
"chalumeau";-2,5063;-2,9825;-12,3587;24,6746
"xavier";-0,5219;1,4694;-1,6146;0,7911
"durant";-1,6528;-2,0588;11,1069;-5,2513
"rendre";-0,3426;1,6459;-0,6935;-0,378
"qu";4,0083;-0,3817;0,4791;-3,2049
"partie";0,3995;-1,2422;-1,2339;2,2055
"partir";-0,7215;-0,2698;0,892;-0,3651
"marier";0,6253;2,0219;-0,9026;-0,9357
"joe";-0,7829;-0,9316;3,9555;-1,5028
"certaines";-0,8873;-0,2214;-1,7086;3,0892
"disciple";-1,2005;-1,4286;1,0518;0,6002
"préparer";1,0236;-0,621;0,3118;-0,4372
"mère";-0,5219;0,4059;0,5932;-0,4372
"américain";-0,5504;-1,2153;-1,754;4,3197
"conquérant";-1,3572;-1,615;0,6408;1,1554
"série";-1,2591;-0,237;-0,2916;0,9555
"val";-0,3517;-0,9937;4,2787;-2,5447
"humain";0,3631;-2,3608;-0,5006;1,6491
"courant";9,3802;-0,7452;-3,0877;-1,1085
"décrire";2,9763;-0,2912;-3,0877;0,5318
"fantôme";-0,5741;6,2516;-2,8303;-0,5286
