"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";-1,40056037037773;0,263686484509108;-2,18660436229028;-0,536603773246321;0,101027535502438;-0,837764780596627;0,82049577697074;0,0118544649719801;0,16764975805728;0,25108606576953;0,00890009587583202;0,612011193109272;0,128002645245366;0,176703500913893;0,00399677088158682
"classe 2";-0,278860604965711;2,15577824590727;0,895914566440877;-0,118607122307164;0,91691206834643;0,38105722596309;0,0381319780396622;0,928873789720504;0,0329942322398341;0,011912614603826;0,711935962954325;0,122960595219162;0,153190827222687;0,163201442680542;0,00408019339453735
"classe 3";-0,495764554892767;-0,80946089842323;0,677262112665337;-0,425162524470051;-0,694185245066292;0,580812941762239;0,445820887616958;0,484434148234683;0,0697449641483598;0,104158655920336;0,277674609556085;0,194382866630244;0,423783867893334;0,0848548680864233;0,00305139159597701
"classe 4";1,4646039058656;-0,0710506437549249;-0,489343797983146;0,947458717277155;-0,0459629743742707;-0,316558658138106;0,989788228548658;0,000949448641190268;0,00926232281015057;0,632842663706307;0,00148933161375802;0,0706453450413218;0,295022659638613;0,168240496452147;0,00835057644871099
