"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"bout";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"affrontement";2,4083;-2,2245;-0,0142;-0,0108;-0,0978
"blanc";2,9645;-2,7382;-0,0175;-0,0133;-0,1204
"passer";3,168;-2,7242;-0,056;-0,0424;-0,3844
"professeur";-0,3446;0,4325;-0,023;-0,0174;-0,1581
"chaouch";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"maison";0,3693;-0,2929;-0,0219;-0,0166;-0,1506
"bfm";3,5209;-3,2521;-0,0208;-0,0158;-0,143
"arriver";-0,8147;0,9489;-0,0175;-0,0133;-0,1204
"tourner";0,2826;-0,498;-0,011;-0,0083;0,7984
"vincent";1,3545;-1,2209;-0,0131;-0,01;-0,0903
"matin";2,223;-2,0533;-0,0131;-0,01;-0,0903
"raconter";3,4138;-3,9464;-0,0329;-0,0249;0,3919
"année";5,9121;-6,2292;-0,056;-0,0424;0,2311
"bristielle";3,8919;-3,5947;-0,023;-0,0174;-0,1581
"propos";1,5096;-2,2245;-0,0142;-0,0108;0,6953
"prince";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"plateau";3,0333;-6,3383;1,0496;-0,0307;1,5971
"réveiller";-18,3523;19,5442;-0,0483;-0,0366;-0,3315
"anne";4,0774;-3,7661;-0,0241;-0,0183;-0,1656
"question";3,5723;-5,309;-0,034;-0,0257;1,0057
"long";1,5096;-2,2245;-0,0142;-0,0108;0,6953
"présentation";3,15;-2,9095;-0,0186;-0,0141;-0,128
"nasa";1,6667;-1,5055;-0,0153;-0,0116;-0,1054
"yves";2,3106;-3,0808;-0,0197;-0,0149;0,5719
"théâtre";2,223;-2,0533;-0,0131;-0,01;-0,0903
"chose";-0,8425;0,9564;-0,0121;-0,0091;-0,0828
"olivier";1,087;-3,0808;-0,0197;-0,0149;2,4724
"lrem";3,15;-2,9095;-0,0186;-0,0141;-0,128
"claviere";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"figure";-8,2334;8,9077;-0,0329;-0,0249;-0,2259
"patron";1,0592;-0,9331;-0,0153;-0,0116;-0,1054
"fédération";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"watrin";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"nuit";0,6868;-0,6;-0,0121;-0,0091;-0,0828
"permettre";1,8896;-1,6823;-0,0219;-0,0166;-0,1506
"tsoukalos";3,3354;-3,0808;-0,0197;-0,0149;-0,1355
"polémiste";2,5937;-2,3957;-0,0153;-0,0116;-0,1054
"galley";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"pomart";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"chalumeau";8,9072;-8,2269;-0,0527;-0,0399;-0,3617
"xavier";-0,3203;0,3774;-0,011;-0,0083;-0,0752
"rendre";-0,898;0,8942;-0,0472;-0,0357;0,2792
"partie";2,6398;-2,3951;-0,0219;-0,0166;-0,1506
"partir";1,5875;-1,3716;-0,0285;-0,0216;-0,1958
"marier";0,4429;-0,6422;-0,0164;-0,0124;0,6403
"joe";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"disciple";-10,5855;11,2288;-0,0252;-0,0191;-0,1732
"préparer";0,2826;-0,9452;-0,011;1,723;0,7984
"mère";-0,616;0,7049;-0,011;-0,0083;-0,0752
"américain";3,7316;-4,2631;-0,0351;1,2266;-0,241
"conquérant";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"série";-4,942;5,5386;-0,0428;-0,0324;-0,2938
"val";2,9645;-2,7382;-0,0175;-0,0133;-0,1204
"humain";0,3834;-0,2789;-0,0417;-0,0316;-0,2863
"courant";0,8066;-2,0533;-0,0131;-0,01;1,762
"décrire";1,3545;-2,0533;-0,0131;-0,01;0,7264
"fantôme";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
