"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"donner";0,3834;-0,7961;1,0386;-0,0316;0,8593
"urgentiste";2,223;-2,0533;-0,0131;-0,01;-0,0903
"gilet";3,8919;-3,5947;-0,023;-0,0174;-0,1581
"ciel";3,0996;-2,7813;-0,0307;-0,0232;-0,2108
"cas";4,6765;-4,2631;-0,0351;-0,0266;-0,241
"discussion";2,7791;-2,5669;-0,0164;-0,0124;-0,1129
"cours";1,7454;-1,5517;-0,0208;-0,0158;-0,143
"découvrir";-1,3454;1,1027;-0,0505;-0,0382;0,7287
"forme";2,2196;-1,9359;-0,034;-0,0257;-0,2335
"nom";1,0515;-0,9452;-0,011;-0,0083;-0,0752
"ex";1,456;-1,2713;-0,023;-0,0174;-0,1581
"album";-0,6879;-2,9095;-0,0186;-0,0141;9,8474
"marine";0,6868;-0,6;-0,0121;-0,0091;-0,0828
"toulouse";2,223;-2,0533;-0,0131;-0,01;-0,0903
"message";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"incroyable";3,3354;-3,0808;-0,0197;-0,0149;-0,1355
"premier";1,6985;-4,1022;-0,0582;-0,044;3,5519
"déguiser";-0,3704;0,2437;-0,0164;-0,0124;0,6403
"ligne";2,223;-2,0533;-0,0131;-0,01;-0,0903
"étrange";1,8192;-1,5057;-0,0516;-0,0391;-0,3542
"secrétaire";5,3765;-4,966;-0,0318;-0,0241;-0,2184
"bruno";2,6398;-3,4234;-0,0219;-0,0166;0,5332
"sport";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"près_de";-1,1432;0,8707;-0,0153;-0,0116;0,6667
"tropical";-35,5692;37,7364;-0,0846;-0,0641;-0,5809
"maïa";6,8623;-6,3383;-0,0406;-0,0307;-0,2787
"prétexte";-35,5692;37,7364;-0,0846;-0,0641;-0,5809
"explication";2,223;-2,0533;-0,0131;-0,01;-0,0903
"ami";-4,2571;3,8805;-0,0241;-0,0183;0,4988
"héros";-0,3891;0,2334;-0,0131;1,6446;-0,0903
"vilain";0,5721;-0,9452;-0,011;1,723;-0,0752
"vendre";-1,0388;1,1628;-0,011;-0,0083;-0,0752
"loi";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"giorgio";3,5209;-3,2521;-0,0208;-0,0158;-0,143
"aile";-11,9686;12,6961;-0,0285;-0,0216;-0,1958
"iran";3,5209;-3,2521;-0,0208;-0,0158;-0,143
"aimer";1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"vidéo";2,4747;-2,244;-0,0208;-0,0158;-0,143
"réalité";-0,3446;0,4325;-0,023;-0,0174;-0,1581
"visage";1,3545;-2,0533;-0,0131;-0,01;0,7264
"posséder";-3,7502;4,2368;-0,0384;-0,0291;-0,2636
"diffuser";1,8523;-1,7109;-0,011;-0,0083;-0,0752
"base";0,3629;-0,3053;-0,0121;-0,0091;-0,0828
"véritable";-0,3891;0,4607;-0,0131;-0,01;-0,0903
"jour";1,4675;-1,7441;-0,0274;-0,0208;0,4538
"justice";1,2016;-1,0817;-0,0121;-0,0091;-0,0828
"voler";-11,9064;12,7474;-0,0362;-0,0274;-0,2485
"culture";2,7894;-3,3187;-0,0285;-0,0216;0,4403
"portrait";0,9309;-1,3622;-0,0142;-0,0108;0,6953
"effet";-0,4894;0,5694;-0,0121;-0,0091;-0,0828
"planète";-7,2641;8,1841;-0,067;-0,0507;-0,4599
"grand";1,5602;-1,5411;0,8869;-0,0457;-0,4146
"pierre";2,4838;-4,1088;-0,0263;-0,0199;1,1988
"jouer";0,2929;-0,4631;-0,0142;-0,0108;0,6953
"hapsatou";2,0376;-1,8821;-0,0121;-0,0091;-0,0828
"univers";-4,9195;3,8166;0,9875;2,5217;-0,324
