"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"jacques";1,75;0,47;0;0;4,44
"connaître";2,81;0,47;0;0;4,44
"peupler";0,12;5,86;0;0;0
"commencer";1,4;0,47;0;0;4,44
"archive";1,29;0;30,3;0;0
"sujet";3,39;0,23;0;0;4,44
"zone";1,29;0;0;0;0
"donner";3,04;2,11;30,3;0;8,89
"urgentiste";1,4;0;0;0;0
"gilet";2,45;0;0;0;0
"ciel";3,04;0,47;0;0;0
"cas";3,62;0,23;0;0;0
"discussion";1,75;0;0;0;0
"cours";1,99;0,47;0;0;0
"découvrir";2,81;4,69;0;0;8,89
"forme";3,16;0,94;0;0;0
"nom";1,05;0,23;0;0;0
"ex";2,1;0,7;0;0;0
"album";1,05;0;0;0;35,56
"marine";1,05;0,47;0;0;0
"toulouse";1,4;0;0;0;0
"message";1,17;0;0;0;0
"incroyable";2,1;0;0;0;0
"premier";4,91;1,17;0;0;26,67
"déguiser";1,05;1,17;0;0;4,44
"ligne";1,4;0;0;0;0
"étrange";4,44;2,11;0;0;0
"secrétaire";3,39;0;0;0;0
"bruno";2,22;0;0;0;4,44
"sport";1,17;0;0;0;0
"près_de";0,7;1,64;0;0;4,44
"tropical";0;18,05;0;0;0
"maïa";4,32;0;0;0;0
"prétexte";0;18,05;0;0;0
"explication";1,4;0;0;0;0
"ami";0,58;3,75;0;0;4,44
"héros";0,82;0,94;0;40;0
"vilain";0,94;0,23;0;40;0
"vendre";0,47;1,41;0;0;0
"loi";1,17;0;0;0;0
"giorgio";2,22;0;0;0;0
"aile";0;6,1;0;0;0
"iran";2,22;0;0;0;0
"aimer";1,17;0,23;0;0;0
"vidéo";2,1;0,23;0;0;0
"réalité";1,52;1,88;0;0;0
"visage";1,29;0;0;0;4,44
"posséder";1,4;5,39;0;0;0
"diffuser";1,17;0;0;0;0
"base";0,94;0,7;0;0;0
"véritable";0,82;1,17;0;0;0
"jour";2,45;0,7;0;0;4,44
"justice";1,17;0,23;0;0;0
"voler";0,23;7,27;0;0;0
"culture";2,81;0,23;0;0;4,44
"portrait";1,29;0,23;0;0;4,44
"effet";0,7;1,17;0;0;0
"planète";2,22;9,85;0;0;0
"grand";5,03;2,58;30,3;0;0
"pierre";2,57;0;0;0;8,89
"jouer";1,05;0,7;0;0;4,44
"hapsatou";1,29;0;0;0;0
"univers";1,64;6,1;30,3;80;0
"info";1,64;0;60,61;0;0
"cryogénisé";0;10,08;0;0;0
"rester";1,87;1,17;0;0;0
"visite";2,1;0,7;0;0;0
"structure";1,29;0;0;0;0
"utiliser";1,75;0,7;0;0;4,44
"rencontre";2,57;0,47;0;0;4,44
"suite";2,1;0;0;0;0
"scientologie";1,87;0;0;0;0
"brigitte";1,64;0;0;0;0
"élection";1,52;0;0;0;0
"jump";0;6,33;0;0;0
"gens";2,1;0;0;0;4,44
"danger";0,23;6,33;0;0;0
"gitan";1,64;0;0;0;0
"volant";1,29;2,58;0;0;0
"entrer";1,17;0,7;0;0;0
"heure";1,4;0,23;0;0;0
"également";0,94;0,23;0;0;4,44
"rencontrer";1,05;1,17;0;0;0
"représentant";1,29;0;0;0;0
"avocat";2,81;0;0;0;0
"université";1,64;0,7;0;0;0
"adopter";0,35;6,1;0;0;0
"sy";2,81;0;0;0;0
"jaune";2,45;0;0;0;0
"médecin";2,1;0,23;0;0;0
"réaliser";0,94;1,41;0;0;0
"trouver";2,57;2,34;0;0;0
"mohammed";1,29;0;0;0;0
"preuve";4,21;0,23;0;0;4,44
"luc";3,74;0;0;0;0
