"";"*mediamatgroupe_Cultureconnaissance";"*mediamatgroupe_Fiction";"*mediamatgroupe_Information";"*mediamatgroupe_Jeunesse";"*mediamatgroupe_Variétésdivertissement"
"avenir";11;0;0;0;0
"conseil";11;1;0;0;0
"travailler";13;1;0;0;0
"lointain";8;28;0;0;0
"invité";58;0;0;0;2
"objet";24;3;0;0;0
"terrien";3;31;0;0;0
"laurie";10;0;0;0;0
"chien";1;9;0;0;0
"extrait";21;0;0;0;2
"identifier";20;5;0;0;0
"lfi";15;0;0;0;0
"expliquer";33;2;0;0;1
"réseau";10;0;0;0;0
"écrire";10;1;0;0;1
"auproux";12;0;0;0;0
"seines";14;0;0;0;0
"mélenchon";26;0;0;0;0
"bernard";24;0;0;0;0
"beau";9;2;0;0;1
"sembler";7;9;0;0;0
"cacher";11;8;0;0;0
"fatou";0;77;0;0;0
"annonce";11;0;0;0;0
"agnès";8;1;0;0;1
"moyen";10;0;0;0;0
"raven";0;26;0;0;0
"provoquer";5;79;0;0;0
"système";18;0;0;0;1
"adolescent";0;24;0;0;0
"oise";15;0;0;0;0
"membre";32;1;0;0;0
"parole";26;1;0;0;0
"philippe";12;0;0;0;0
"mois";11;0;0;0;1
"naître";8;26;0;0;0
"enquête";16;6;0;0;0
"nouvelle";6;5;0;0;2
"mettre";16;7;0;1;1
"jeune";25;37;0;0;1
"construire";14;1;0;0;0
"émission";42;2;1;0;0
"coeur";7;5;0;0;1
"claude";27;1;0;0;3
"présidentiel";14;0;0;0;0
"âge";11;2;0;0;0
"candidat";17;0;0;0;0
"proposer";13;1;0;0;2
"manquer";5;26;0;0;0
"bande";13;1;0;0;1
"humanité";24;0;0;0;0
"gouvernement";17;1;0;0;0
"antique";13;0;0;0;0
"entrepreneur";11;0;0;0;0
"exister";14;2;0;0;0
"hugues";14;0;0;0;0
"peret";10;0;0;0;0
"actuel";14;0;0;0;0
"retour";27;2;0;0;0
"valentin";17;0;0;0;0
"cnews";24;0;0;0;0
"élément";10;1;0;0;0
"groupe";12;2;0;0;0
"entier";20;3;0;0;0
"humour";10;52;0;0;1
"langlois";14;0;0;0;0
"frédéric";32;1;0;0;1
"boucher";11;0;0;0;0
"courir";6;30;0;0;1
"haut";21;0;0;0;1
"antoine";23;0;0;0;0
"nombreux";20;78;0;0;0
"apporter";8;2;0;0;1
"revue";8;0;0;0;2
"média";13;0;0;0;0
"gotham";0;26;0;0;0
"animation";0;26;0;0;0
"cnrs";11;0;0;0;0
"chanteur";8;0;0;0;5
"chercheur";8;1;1;0;0
"départ";2;43;0;0;0
"bellver";48;0;0;0;0
"porter";7;1;0;0;2
"envoyer";8;5;0;0;0
"alain";13;0;0;0;0
"phénomène";43;4;0;0;4
"péril";0;49;0;0;0
"île";7;77;0;0;1
"sud";10;0;0;0;0
"christian";10;0;0;0;0
"enfant";27;10;2;0;4
"vaisseau";7;17;0;0;0
"emmanuel";14;0;0;0;0
"bout";10;0;0;0;0
"affrontement";13;0;0;0;0
"blanc";16;0;0;0;0
"passer";44;7;0;0;0
"professeur";13;8;0;0;0
"chaouch";10;0;0;0;0
"maison";14;6;0;0;0
"bfm";19;0;0;0;0
"arriver";8;8;0;0;0
"tourner";7;2;0;0;1
"vincent";11;1;0;0;0
"matin";12;0;0;0;0
"raconter";28;1;0;0;1
"année";48;2;0;0;1
"bristielle";21;0;0;0;0
"propos";12;0;0;0;1
"prince";0;26;0;0;0
"plateau";33;0;1;0;3
"réveiller";1;43;0;0;0
"anne";22;0;0;0;0
"question";29;0;0;0;2
"long";12;0;0;0;1
"présentation";17;0;0;0;0
"nasa";13;1;0;0;0
"yves";17;0;0;0;1
"théâtre";12;0;0;0;0
"chose";5;6;0;0;0
"olivier";15;0;0;0;3
"lrem";17;0;0;0;0
"claviere";15;0;0;0;0
"figure";4;26;0;0;0
"patron";12;2;0;0;0
"fédération";11;0;0;0;0
"watrin";11;0;0;0;0
"nuit";9;2;0;0;0
"permettre";18;2;0;0;0
"tsoukalos";18;0;0;0;0
"polémiste";14;0;0;0;0
"galley";10;0;0;0;0
"pomart";15;0;0;0;0
"chalumeau";48;0;0;0;0
"xavier";6;4;0;0;0
"rendre";24;18;0;0;1
"partie";19;1;0;0;0
"partir";22;4;0;0;0
"marier";11;3;0;0;1
"joe";15;0;0;0;0
"disciple";0;23;0;0;0
"préparer";7;1;0;1;1
"mère";5;5;0;0;0
"américain";30;1;0;1;0
"conquérant";0;26;0;0;0
"série";12;27;0;0;0
"val";16;0;0;0;0
"humain";26;12;0;0;0
"courant";10;0;0;0;2
"décrire";11;0;0;0;1
"fantôme";11;0;0;0;0
