"";"banalfreq";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"maison";20;0,3693;-0,2929;-0,0219;-0,0166;-0,1506
"arriver";16;-0,8147;0,9489;-0,0175;-0,0133;-0,1204
"tourner";10;0,2826;-0,498;-0,011;-0,0083;0,7984
"vincent";12;1,3545;-1,2209;-0,0131;-0,01;-0,0903
"nasa";14;1,6667;-1,5055;-0,0153;-0,0116;-0,1054
"chose";11;-0,8425;0,9564;-0,0121;-0,0091;-0,0828
"patron";14;1,0592;-0,9331;-0,0153;-0,0116;-0,1054
"nuit";11;0,6868;-0,6;-0,0121;-0,0091;-0,0828
"permettre";20;1,8896;-1,6823;-0,0219;-0,0166;-0,1506
"galley";10;1,8523;-1,7109;-0,011;-0,0083;-0,0752
"xavier";10;-0,3203;0,3774;-0,011;-0,0083;-0,0752
"rendre";43;-0,898;0,8942;-0,0472;-0,0357;0,2792
"partir";26;1,5875;-1,3716;-0,0285;-0,0216;-0,1958
"marier";15;0,4429;-0,6422;-0,0164;-0,0124;0,6403
"préparer";10;0,2826;-0,9452;-0,011;1,723;0,7984
"mère";10;-0,616;0,7049;-0,011;-0,0083;-0,0752
"humain";38;0,3834;-0,2789;-0,0417;-0,0316;-0,2863
