"";"*baseid_SA";"*baseid_TV"
"pre";5689;5142
"ver_sup";451;393
"adj_dem";146;116
"ono";20;86
"pro_per";1527;1426
"num";1598;614
"adv";122;182
"ver";3251;3430
"adj_ind";97;105
"adj_pos";461;673
"aux";1872;1057
"nr";4642;3707
"pro_ind";340;283
"adj";3076;2318
"pro_dem";123;258
"nom";9686;8383
"art_ind";2020;1537
"adj_int";5;10
"pro_pos";2;3
"nom_sup";96;152
"adv_sup";1131;821
"adj_sup";18;52
"art_def";3519;3678
"adj_num";46;113
"pro_rel";771;553
"con";1488;1375
